PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1626169,Stanley Johnson,SAS,30.2,753,340,1.74,2022-23
1630649,Stanley Umude,DET,0.1,3,2,1.0,2022-23
201939,Stephen Curry,GSW,318.7,4359,1733,4.18,2022-23
1628425,Sterling Brown,LAL,0.7,24,11,1.0,2022-23
203500,Steven Adams,MEM,54.9,1814,961,0.46,2022-23
1629004,Svi Mykhailiuk,CHA,26.5,629,421,1.66,2022-23
204456,T.J. McConnell,IND,318.1,4121,1419,4.61,2022-23
203933,T.J. Warren,PHX,34.0,904,509,1.38,2022-23
201959,Taj Gibson,WAS,18.4,733,453,0.6,2022-23
1629659,Talen Horton-Tucker,UTA,249.4,2951,1097,4.42,2022-23
1631106,Tari Eason,HOU,98.4,2676,1306,1.53,2022-23
1627752,Taurean Prince,MIN,51.1,1498,1015,1.04,2022-23
1629611,Terance Mann,LAC,169.0,2998,1447,2.65,2022-23
1629056,Terence Davis,SAC,47.8,1321,888,1.64,2022-23
203082,Terrence Ross,PHX,49.4,1374,944,1.37,2022-23
1626179,Terry Rozier,CHA,362.7,4735,2262,4.15,2022-23
1630678,Terry Taylor,CHI,7.4,303,193,0.67,2022-23
201152,Thaddeus Young,TOR,40.5,1423,776,0.69,2022-23
203648,Thanasis Antetokounmpo,MIL,10.4,257,138,1.7,2022-23
1630177,Theo Maledon,CHA,156.2,2079,741,4.3,2022-23
1629033,Theo Pinson,DAL,28.9,649,293,1.61,2022-23
1628418,Thomas Bryant,DEN,38.5,1580,753,0.32,2022-23
203501,Tim Hardaway Jr.,DAL,121.5,3182,1691,1.52,2022-23
202699,Tobias Harris,PHI,160.4,3600,2134,1.75,2022-23
1628396,Tony Bradley,CHI,1.3,57,32,0.39,2022-23
1628470,Torrey Craig,PHX,74.2,2570,1269,0.79,2022-23
1629027,Trae Young,ATL,579.9,5859,1793,5.66,2022-23
1630200,Tre Jones,SAS,385.7,4359,1257,5.09,2022-23
1630544,Tre Mann,OKC,132.9,2033,1067,3.58,2022-23
1630570,Trendon Watford,POR,87.0,2139,975,1.49,2022-23
1630235,Trent Forrest,ATL,38.2,472,168,4.42,2022-23
1630243,Trevelin Queen,IND,5.8,121,68,2.41,2022-23
1631309,Trevor Hudgins,HOU,4.6,61,30,4.05,2022-23
1631211,Trevor Keels,NYK,0.6,8,6,1.63,2022-23
1626168,Trey Lyles,SAC,53.6,1968,1087,0.71,2022-23
1630530,Trey Murphy III,NOP,81.8,2836,1797,0.93,2022-23
1628972,Troy Brown Jr.,LAL,66.1,2029,1080,1.23,2022-23
1629660,Ty Jerome,GSW,123.2,1766,786,3.74,2022-23
1631102,TyTy Washington Jr.,HOU,57.7,885,405,3.57,2022-23
1628416,Tyler Dorsey,DAL,0.3,7,5,1.57,2022-23
1629639,Tyler Herro,MIA,286.5,4391,2327,3.2,2022-23
1630169,Tyrese Haliburton,IND,418.5,5274,1819,4.27,2022-23
1631213,Tyrese Martin,ATL,3.3,87,59,1.36,2022-23
1630178,Tyrese Maxey,PHI,304.2,4110,1793,3.85,2022-23
1626145,Tyus Jones,MEM,362.6,4398,1635,4.4,2022-23
1628962,Udoka Azubuike,UTA,7.4,308,195,0.37,2022-23
2617,Udonis Haslem,MIA,3.2,110,60,0.43,2022-23
1630586,Usman Garuba,HOU,32.7,1413,722,0.49,2022-23
1630176,Vernon Carey Jr.,UTA,1.2,44,27,0.64,2022-23
203506,Victor Oladipo,MIA,153.3,2093,894,3.8,2022-23
1631246,Vince Williams Jr.,MEM,3.1,121,79,0.68,2022-23
1630249,Vit Krejci,ATL,7.0,199,124,1.35,2022-23
1628427,Vlatko Cancar,DEN,40.1,1215,785,0.96,2022-23
1631117,Walker Kessler,UTA,41.4,1805,1142,0.34,2022-23
1628976,Wendell Carter Jr.,ORL,85.4,2984,1862,0.5,2022-23
1631111,Wendell Moore Jr.,MIN,13.5,263,122,2.63,2022-23
1629117,Wenyen Gabriel,LAL,29.8,1362,641,0.42,2022-23
202083,Wesley Matthews,MIL,18.3,759,471,0.62,2022-23
203115,Will Barton,TOR,103.1,1656,909,3.1,2022-23
1626195,Willy Hernangomez,NOP,23.3,887,564,0.6,2022-23
1641645,Xavier Cooks,WAS,5.5,188,89,0.94,2022-23
1629875,Xavier Moon,LAC,3.4,45,19,4.31,2022-23
1630270,Xavier Sneed,CHA,1.5,64,39,0.66,2022-23
1630214,Xavier Tillman,MEM,51.2,1911,1061,0.53,2022-23
1629139,Yuta Watanabe,BKN,27.5,984,578,0.94,2022-23
1628380,Zach Collins,SAS,71.2,2337,1611,0.64,2022-23
203897,Zach LaVine,CHI,332.1,4708,2461,3.5,2022-23
1630192,Zeke Nnaji,DEN,18.1,709,491,0.41,2022-23
1630533,Ziaire Williams,MEM,24.9,654,399,1.58,2022-23
1629627,Zion Williamson,NOP,111.9,1914,1035,2.94,2022-23
