PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Dragan Bender,PF,22,GSW,9,195,,,,9%,91%,-11.2,-2.5,8,1,16,4,6,1,43,1,4
,,,,,,,,,,,,,,,,,,,,,
Dāvis Bertāns,PF,27,WAS,54,1583,,,,84%,16%,-0.3,7.9,41,11,68,5,35,29,221,8,19
Patrick Beverley,PG,31,LAC,51,1342,60%,39%,1%,,,10.5,6.6,39,9,54,7,17,28,458,5,8
Khem Birch,C,27,ORL,48,922,,,,37%,64%,-6.9,-8.0,6,9,48,12,47,6,126,5,10
Goga Bitadze,C,20,IND,54,471,,,,2%,98%,-0.7,-3.4,7,5,38,8,13,1,54,1,3
Bismack Biyombo,C,27,CHO,53,1029,,,,3%,97%,-6.6,0.7,12,12,51,13,60,3,116,12,33
Nemanja Bjelica,PF,31,SAC,72,2011,,,,81%,19%,-1.1,2.4,39,23,103,17,40,7,500,14,27
Eric Bledsoe,PG,30,MIL,61,1646,100%,,,,,11.8,3.5,75,39,39,24,106,15,799,32,39
Bogdan Bogdanović,SG,27,SAC,61,1766,,52%,45%,3%,,-1.6,1.0,50,31,49,8,43,15,494,16,30
Bojan Bogdanović,SF,30,UTA,63,2083,,5%,63%,33%,,5.5,8.0,79,46,38,10,110,9,324,27,72
Bol Bol,PF,20,DEN,7,87,,,2%,92%,6%,-11.4,-13.9,2,3,8,2,5,0,13,1,1
Jonah Bolden,C,24,TOT,7,47,,,,21%,79%,-2.0,-2.9,1,1,5,0,1,1,0,0,1
Jonah Bolden,C,24,PHI,4,14,,,,34%,66%,-43.5,-46.1,1,1,2,0,1,0,0,0,0
Jonah Bolden,C,24,PHO,3,33,,,,15%,85%,15.7,15.4,0,0,3,0,0,1,0,0,1
Marques Bolden,C,21,CLE,1,3,,,,,100%,47.6,55.7,0,0,1,0,0,0,0,0,0
Jordan Bone,PG,22,DET,10,53,97%,3%,,,,4.3,8.6,0,0,1,1,0,0,21,0,1
Isaac Bonga,SF,20,WAS,66,1250,,2%,72%,25%,1%,0.0,7.1,29,14,89,6,43,26,190,15,14
Devin Booker,SG,23,PHO,70,2512,1%,86%,12%,1%,,2.1,6.0,137,65,65,46,187,24,1109,37,68
Chris Boucher,C,27,TOR,62,819,,,,19%,81%,7.4,1.0,12,8,72,3,58,7,68,16,19
Brian Bowen,SF,21,IND,6,31,,23%,77%,,,19.4,17.3,1,0,1,0,0,1,0,0,1
Ky Bowman,PG,22,GSW,45,1015,100%,,,,,-8.5,0.4,39,18,44,5,18,16,302,6,17
Avery Bradley,SG,29,LAL,49,1186,,85%,14%,1%,,7.6,2.8,26,11,41,4,9,7,141,2,23
Tony Bradley,C,22,UTA,58,663,,,,,100%,-1.3,-4.4,4,2,75,17,21,1,62,6,20
,,,,,,,,,,,,,,,,,,,,,
Jarrell Brantley,PF,23,UTA,9,96,,,35%,61%,4%,-19.5,-22.4,3,2,5,2,1,0,28,0,1
Ignas Brazdeikis,SF,21,NYK,9,53,,,92%,8%,,-14.3,-8.1,2,0,3,0,3,0,9,1,0
