PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Quincy Acy,PF,25,SAC,59,876,,,19%,79%,3%,-7.1,-5.5,8,6,52,5,28,5,62,9,6
Jordan Adams,SG,21,MEM,2,15,,59%,41%,,,9.3,11.7,0,2,0,0,2,0,6,1,0
Steven Adams,C,22,OKC,80,2014,,,,,100%,11.3,8.2,24,22,110,23,83,7,144,20,31
Arron Afflalo,SG,30,NYK,71,2371,1%,81%,18%,,,-3.6,-1.9,27,25,53,13,68,4,337,23,47
Alexis Ajinça,C,27,NOP,59,861,,,,,100%,-3.3,0.7,13,21,62,13,29,7,77,6,12
Cole Aldrich,C,27,LAC,60,800,,,,3%,97%,0.3,-5.0,20,16,79,19,40,2,125,6,18
LaMarcus Aldridge,PF,30,SAS,74,2261,,,,54%,46%,11.6,0.1,34,32,92,12,146,5,261,27,37
Cliff Alexander,PF,20,POR,8,36,,,,42%,58%,-17.0,-17.9,0,1,1,0,0,0,0,0,1
Lavoy Allen,PF,26,IND,79,1599,,,1%,89%,11%,6.3,7.3,39,11,95,11,32,3,183,7,22
Tony Allen,SG,34,MEM,64,1620,6%,93%,2%,,,-0.6,3.0,34,25,68,8,64,4,151,14,59
Al-Farouq Aminu,SF,25,POR,82,2341,,,56%,44%,1%,1.7,2.2,44,44,70,16,76,15,335,18,35
Lou Amundson,PF,33,NYK,29,204,,,,65%,35%,-10.4,-8.0,5,4,23,4,15,0,25,6,3
Chris Andersen,C,37,TOT,27,402,,,,,100%,-9.1,-7.7,4,2,17,2,12,2,28,0,6
Chris Andersen,C,37,MIA,7,36,,,,,100%,-21.5,-23.7,1,0,2,1,2,0,7,0,1
Chris Andersen,C,37,MEM,20,366,,,,,100%,-7.9,-6.1,3,2,15,1,10,2,21,0,5
Alan Anderson,SG,33,WAS,13,192,12%,33%,55%,,,6.6,7.4,2,0,12,0,7,0,31,3,3
James Anderson,SG,26,SAC,51,721,,33%,64%,3%,,-4.5,-2.0,17,13,35,4,13,2,98,3,11
Justin Anderson,SF,22,DAL,55,647,2%,14%,77%,7%,,1.4,1.9,11,6,28,2,25,0,70,3,11
Kyle Anderson,SF,22,SAS,78,1245,,1%,65%,34%,,9.4,-3.1,35,7,43,7,35,9,277,8,16
Ryan Anderson,PF,27,NOP,66,2008,,,1%,85%,14%,-0.7,6.6,31,32,50,11,95,8,177,14,41
Giannis Antetokounmpo,PG,21,MIL,80,2823,40%,59%,1%,,,-3.0,3.7,85,52,112,31,188,8,758,38,61
Thanasis Antetokounmpo,SF,23,NYK,2,6,,,100%,,,-46.2,-43.4,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,SF,31,NYK,72,2530,,2%,91%,8%,,-0.8,5.7,80,41,73,30,159,6,704,26,76
Joel Anthony,C,33,DET,19,96,,,,,100%,-7.7,-8.3,1,0,9,1,3,0,2,0,1
Keith Appling,PG,23,ORL,5,27,57%,43%,,,,19.2,21.0,2,1,2,0,1,0,3,0,0
Trevor Ariza,SF,30,HOU,81,2859,,,58%,41%,1%,0.7,2.4,68,18,56,9,68,5,456,10,38
Darrell Arthur,PF,27,DEN,70,1516,,,1%,79%,21%,-1.8,2.1,36,11,109,12,26,5,217,5,21
Ömer Aşık,C,29,NOP,68,1178,,,,9%,91%,-8.6,-6.7,23,15,61,16,55,5,60,5,38
D.J. Augustin,PG,28,TOT,62,1178,100%,,,,,-1.1,-2.9,52,19,41,8,50,14,445,11,32
D.J. Augustin,PG,28,OKC,34,519,100%,,,,,-1.5,-10.0,20,5,23,2,13,8,145,2,12
D.J. Augustin,PG,28,DEN,28,659,100%,,,,,-0.9,2.7,32,14,18,6,37,6,300,9,20
Jeff Ayres,C,28,LAC,17,107,,,,17%,83%,-20.8,-25.8,1,0,9,5,3,1,11,0,3
Luke Babbitt,SF,26,NOP,47,845,,,28%,66%,6%,-3.0,1.2,7,8,42,6,22,3,124,6,25
Cameron Bairstow,C,25,CHI,18,103,,,,35%,66%,-6.0,-4.5,1,2,12,1,3,1,13,0,5
Leandro Barbosa,SG,33,GSW,68,1079,1%,85%,14%,,,2.8,-11.3,27,16,37,9,31,7,191,6,20
J.J. Barea,PG,31,DAL,74,1667,100%,,,,,-2.2,-3.5,71,25,30,6,39,34,690,10,45
Andrea Bargnani,C,30,BRK,46,634,,,,33%,67%,-14.7,-8.4,7,7,27,6,26,3,43,11,14
Harrison Barnes,SF,23,GSW,66,2042,,,44%,55%,1%,10.4,-1.4,29,15,70,6,62,5,289,16,36
Matt Barnes,SF,35,MEM,76,2190,,10%,73%,17%,,-4.8,-5.5,82,25,135,10,52,5,355,8,35
Will Barton,SG,25,DEN,82,2353,,33%,63%,4%,,-2.9,0.6,59,45,54,13,108,11,454,28,58
Brandon Bass,PF,30,LAL,66,1342,,,1%,67%,32%,-1.2,13.9,13,11,75,10,77,4,175,17,35
Nicolas Batum,SF,27,CHO,70,2448,,3%,96%,1%,,4.5,4.2,134,37,46,17,62,4,955,15,27
Jerryd Bayless,SG,27,MIL,52,1505,10%,67%,24%,,,-5.6,-2.5,42,12,61,4,37,13,367,8,20
Aron Baynes,C,29,DET,81,1233,,,,2%,98%,-3.8,-6.0,11,18,78,28,64,4,124,11,26
,,,,,,,,,,,,,,,,,,,,,
Kent Bazemore,SF,26,ATL,75,2083,,20%,79%,,,2.4,-2.6,65,42,74,14,72,18,380,18,37
Bradley Beal,SG,22,WAS,55,1708,2%,90%,9%,,,-1.0,-1.0,48,41,55,11,69,8,374,21,27
Michael Beasley,PF,27,HOU,20,363,,,,91%,9%,-9.6,-10.6,12,5,23,2,23,1,36,5,13
Marco Belinelli,SG,29,SAC,68,1672,,56%,43%,1%,,-6.2,-5.9,51,17,42,4,51,10,300,17,9
Anthony Bennett,PF,22,TOR,19,84,,,3%,93%,4%,-13.8,-19.0,2,1,6,1,3,0,0,0,2
Patrick Beverley,PG,27,HOU,71,2041,94%,6%,,,,3.8,7.5,60,12,73,6,30,25,569,5,32
Bismack Biyombo,C,23,TOR,82,1808,,,,4%,96%,4.1,-1.3,9,17,120,28,89,5,72,15,45
Nemanja Bjelica,PF,27,MIN,60,1075,,,,98%,2%,-5.5,-3.0,15,15,77,6,23,3,184,6,10
Tarik Black,C,24,LAL,39,496,,,,2%,98%,1.0,12.9,4,11,41,5,19,3,39,1,9
DeJuan Blair,C,26,WAS,29,218,,,,1%,99%,-8.8,-8.9,6,1,25,8,6,2,27,1,4
Steve Blake,PG,35,DET,58,986,100%,,,,,-2.8,-4.2,59,15,25,0,6,7,477,2,10
Eric Bledsoe,PG,26,PHO,31,1059,86%,14%,,,,-2.9,5.9,67,24,27,9,66,10,447,14,25
Bojan Bogdanović,SF,26,BRK,79,2115,,30%,63%,5%,2%,-9.0,-3.0,43,48,46,8,55,5,227,11,74
Andrew Bogut,C,31,GSW,70,1451,,,,,100%,13.9,4.4,53,9,106,15,12,3,392,2,7
Matt Bonner,C,35,SAS,30,206,,,,48%,52%,16.8,5.6,2,1,8,0,1,0,22,0,2
Devin Booker,SG,19,PHO,76,2108,3%,82%,14%,1%,,-9.3,-4.3,99,33,102,17,95,14,470,19,64
Trevor Booker,PF,28,UTA,79,1632,,,,96%,4%,2.8,1.6,31,14,63,20,42,4,210,10,18
Chris Bosh*,PF,31,MIA,53,1778,,,,55%,45%,1.0,-1.9,37,29,57,5,127,3,295,26,32
Avery Bradley,SG,25,BOS,76,2536,10%,76%,14%,,,4.4,3.2,61,29,68,6,51,10,352,7,44
Elton Brand,C,36,PHI,17,225,,,,10%,90%,-7.6,3.2,3,6,20,0,5,3,47,3,2
,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,SF,29,HOU,82,1669,,5%,83%,12%,,-2.2,-3.8,45,20,54,6,61,18,257,15,27
Aaron Brooks,PG,31,CHI,69,1108,100%,,,,,-0.5,1.5,54,19,67,4,26,7,429,5,34
Anthony Brown,SF,23,LAL,29,599,,5%,95%,1%,,-3.8,7.6,8,6,19,0,9,1,45,2,10
Lorenzo Brown,PG,25,PHO,8,61,100%,,,,,-27.3,-20.3,4,2,1,2,2,0,25,2,0
Markel Brown,SG,24,BRK,62,982,5%,90%,5%,,,-11.2,-4.8,34,17,55,0,39,7,202,9,10
Kobe Bryant*,SF,37,LAL,66,1863,,2%,97%,1%,,-15.4,-9.8,85,36,45,3,107,2,416,16,35
Chase Budinger,SF,27,TOT,66,929,,7%,63%,30%,,-0.1,0.0,27,6,33,3,28,3,144,4,12
Chase Budinger,SF,27,IND,49,729,,8%,58%,34%,,2.6,0.9,16,6,25,2,24,3,109,4,8
Chase Budinger,SF,27,PHO,17,200,,3%,80%,17%,,-10.3,-3.2,11,0,8,1,4,0,35,0,4
Reggie Bullock,SF,24,DET,37,429,,40%,60%,,,-6.4,-7.6,2,1,16,3,6,3,64,1,5
Trey Burke,PG,23,UTA,64,1366,100%,,,,,-1.6,-5.2,48,22,39,6,33,1,339,11,33
Alec Burks,SG,24,UTA,31,797,30%,69%,,,,-1.4,-4.1,21,14,28,6,60,6,146,10,27
Caron Butler,SF,35,SAC,17,176,,7%,85%,8%,,-12.9,-10.5,2,1,11,0,4,0,24,1,0
Jimmy Butler,SG,26,CHI,67,2474,1%,81%,18%,,,-0.7,2.6,72,41,66,17,198,5,742,32,56
Rasual Butler,SF,36,SAS,46,432,,26%,69%,5%,,9.8,-1.9,7,1,7,0,7,1,58,2,4
Bruno Caboclo,SF,20,TOR,6,43,,5%,69%,26%,,-6.0,-10.9,3,1,0,0,0,0,3,0,2
José Calderón,PG,34,NYK,72,2024,79%,21%,,,,-2.2,1.2,63,17,68,1,14,15,692,4,10
Kentavious Caldwell-Pope,SG,22,DET,76,2789,,100%,,,,2.6,7.6,42,38,75,9,101,21,335,27,35
Isaiah Canaan,SG,24,PHI,77,1966,16%,81%,3%,,,-13.0,-4.7,49,19,56,7,64,18,324,16,39
Clint Capela,C,21,HOU,77,1471,,,,20%,80%,4.0,6.3,19,20,103,13,78,1,108,19,46
DeMarre Carroll,SF,29,TOR,26,786,,1%,81%,19%,,3.1,-2.2,11,12,28,2,21,6,66,3,18
Vince Carter,SG,39,MEM,60,1005,3%,59%,36%,2%,,-2.7,-0.4,18,8,58,7,28,8,127,6,14
,,,,,,,,,,,,,,,,,,,,,
Michael Carter-Williams,PG,24,MIL,54,1649,99%,1%,,,,-3.5,0.8,94,38,68,8,70,22,622,18,43
Omri Casspi,PF,27,SAC,69,1880,,,25%,72%,3%,0.4,6.0,52,22,68,8,77,8,210,17,29
Willie Cauley-Stein,C,22,SAC,66,1412,,,,28%,72%,-2.2,0.9,16,17,88,5,47,4,85,5,22
Mario Chalmers,PG,29,TOT,61,1373,85%,16%,,,,2.7,6.0,63,30,82,8,93,33,525,17,27
Mario Chalmers,PG,29,MIA,6,120,100%,,,,,25.1,23.8,7,1,9,2,2,0,48,0,4
Mario Chalmers,PG,29,MEM,55,1253,83%,17%,,,,0.6,4.3,56,29,73,6,91,33,477,17,23
Tyson Chandler,C,33,PHO,66,1618,,,,30%,70%,-11.7,-7.5,41,11,70,21,84,4,151,21,23
Rakeem Christmas,PF,24,IND,1,6,,,49%,51%,,-83.3,-85.4,0,0,1,0,0,0,0,0,0
Ian Clark,SG,24,GSW,66,578,48%,52%,1%,,,-6.3,-20.2,20,19,28,2,9,1,155,2,11
Coty Clarke,SF,23,BOS,3,6,,,,100%,,22.7,19.5,1,0,0,0,0,0,0,0,0
Jordan Clarkson,SG,23,LAL,79,2552,3%,96%,1%,,,-12.5,-6.3,55,45,71,17,86,13,450,16,87
Norris Cole,PG,27,NOP,45,1198,94%,6%,,,,-5.0,-1.7,49,11,52,7,26,5,370,4,17
Darren Collison,PG,28,SAC,74,2219,100%,,,,,-2.2,1.3,69,38,51,12,91,9,733,23,59
Nick Collison,PF,35,OKC,59,699,,,,86%,15%,2.2,-6.1,28,8,52,7,15,4,112,1,10
Mike Conley,PG,28,MEM,56,1761,100%,,,,,1.8,7.4,56,21,49,4,85,17,756,16,33
Pat Connaughton,SG,23,POR,34,143,,98%,2%,,,-7.1,-8.2,6,4,4,0,2,0,25,1,5
Chris Copeland,PF,31,MIL,24,156,,,34%,65%,1%,-26.5,-23.3,2,2,10,1,3,0,26,1,2
Bryce Cotton,PG,23,TOT,8,39,100%,,,,,-36.7,-30.3,3,2,2,0,0,0,7,0,0
Bryce Cotton,PG,23,PHO,3,33,100%,,,,,-25.1,-18.0,3,2,2,0,0,0,7,0,0
Bryce Cotton,PG,23,MEM,5,6,100%,,,,,-100.0,-97.8,0,0,0,0,0,0,0,0,0
DeMarcus Cousins,C,25,SAC,65,2246,,,,40%,61%,0.1,6.8,96,89,100,45,277,13,497,64,118
