PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Precious Achiuwa,C,22,TOR,73,1725,,,,2%,98%,2.2,0.0,19,26,70,24,64,10,200,15,51
Steven Adams,C,28,MEM,76,1999,,,,,100%,7.9,4.2,71,15,78,19,83,13,569,23,44
Bam Adebayo,C,24,MIA,56,1825,,,,2%,98%,7.6,5.5,59,39,72,38,173,8,480,48,40
Santi Aldama,PF,21,MEM,32,360,,,3%,49%,49%,2.3,-3.8,7,3,16,5,16,1,58,5,5
LaMarcus Aldridge,C,36,BRK,47,1050,,,,,100%,1.5,0.1,12,11,46,12,56,0,110,22,11
Nickeil Alexander-Walker,SG,23,TOT,65,1466,3%,42%,41%,14%,,-4.1,-5.6,63,18,48,7,47,11,373,7,43
Nickeil Alexander-Walker,SG,23,NOP,50,1317,4%,40%,42%,15%,,-5.3,-6.3,58,16,39,6,42,11,329,5,41
Nickeil Alexander-Walker,SG,23,UTA,15,149,,61%,38%,1%,,6.6,0.6,5,2,9,1,5,0,44,2,2
Grayson Allen,SG,26,MIL,66,1805,6%,84%,11%,,,5.6,4.4,27,7,46,5,30,8,242,6,25
Jarrett Allen,C,23,CLE,56,1809,,,,,100%,4.4,4.2,36,36,58,11,112,16,219,32,36
Jose Alvarado,PG,23,NOP,54,834,100%,,,,,8.1,11.7,26,11,34,2,20,14,354,4,19
Justin Anderson,SF,28,TOT,16,316,,1%,22%,61%,16%,-1.8,1.1,5,2,13,0,10,1,87,5,5
Justin Anderson,SF,28,CLE,3,47,,6%,75%,19%,,35.7,34.1,1,1,3,0,1,0,17,0,0
Justin Anderson,SF,28,IND,13,269,,,13%,69%,18%,-8.4,-4.6,4,1,10,0,9,1,70,5,5
Kyle Anderson,PF,28,MEM,69,1484,,,8%,62%,30%,3.0,-4.5,33,19,44,10,46,6,440,14,25
Giannis Antetokounmpo,PF,27,MIL,67,2204,,,1%,65%,34%,8.0,11.0,72,67,87,48,367,3,1020,86,63
Thanasis Antetokounmpo,SF,29,MIL,48,473,1%,27%,51%,20%,1%,-10.6,-15.6,8,6,33,4,20,7,53,2,13
Carmelo Anthony,PF,37,LAL,69,1793,,,14%,74%,12%,-3.0,0.3,20,9,87,22,60,2,167,13,18
Cole Anthony,PG,21,ORL,65,2059,99%,1%,,,,-5.9,4.9,106,48,90,4,93,20,902,21,44
OG Anunoby,SF,24,TOR,48,1728,3%,27%,61%,9%,,3.9,3.1,37,25,55,11,47,5,309,9,49
Ryan Arcidiacono,PG,27,NYK,10,76,15%,51%,34%,,,-7.3,-7.7,3,0,1,0,0,4,9,0,0
Trevor Ariza,SF,36,LAL,24,462,,,44%,55%,2%,-4.8,-1.9,5,3,13,0,6,4,72,3,3
D.J. Augustin,PG,34,TOT,55,883,100%,,,,,-11.7,-5.8,44,8,20,1,11,2,265,3,10
