SEASON,# of Semi-Ball Dominant Guards,# of Ball-Dominant Guards
2013-14,35,49
2014-15,33,58
2015-16,41,46
2016-17,35,40
2017-18,45,38
2018-19,51,35
2019-20,46,30
2020-21,51,34
2021-22,58,31
2022-23,61,29
