SEASON,PLAYER_ID,TEAM,OffPoss,Points,FG2M,FG2A,FG3M,FG3A,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks
2013-14,708,BKN,2072,352,157,353,0,3,38,252,62,0,0,16
2013-14,951,MIA,3637,701,124,234,116,309,105,128,120,333,15,2
2013-14,959,LAL,656,102,28,70,8,24,22,8,48,18,6,0
2013-14,965,OKC,2804,425,53,132,88,229,55,66,40,195,69,2
2013-14,977,LAL,357,83,28,57,3,16,18,14,42,6,3,2
2013-14,979,GSW,1724,349,125,248,0,0,99,148,102,0,0,34
2013-14,1495,SAS,4239,1119,444,901,0,5,231,594,294,0,0,88
2013-14,1497,DET,603,72,10,31,14,48,10,6,14,27,15,0
2013-14,1713,DAL,3889,967,184,440,146,371,161,76,292,333,105,24
2013-14,1717,DAL,5141,1735,502,944,131,329,338,502,502,372,21,28
2013-14,1718,BKN,3994,1010,209,412,112,300,256,198,220,318,18,10
2013-14,1733,WAS,986,225,48,107,34,100,27,62,34,102,0,6
2013-14,1737,CHI,1020,124,54,126,0,0,16,60,48,0,0,36
2013-14,1740,MIA,1811,268,52,102,46,134,26,60,44,138,0,6
2013-14,1882,ATL,2753,419,179,330,0,2,61,298,60,0,0,22
2013-14,1889,DEN,1090,176,57,126,9,18,35,22,92,24,3,2
2013-14,1889,WAS,764,107,38,84,2,3,25,14,62,6,0,0
2013-14,1890,DAL,4682,791,283,546,58,162,51,450,116,174,0,54
2013-14,1891,BKN,1099,159,16,49,39,103,10,18,14,99,18,0
2013-14,1897,NYK,756,139,39,87,17,54,10,20,58,42,9,6
2013-14,1905,BKN,1626,226,81,155,1,5,61,112,50,3,0,20
2013-14,1938,SAS,3121,838,204,369,90,258,160,172,236,222,48,18
2013-14,2030,NYK,1163,137,63,122,0,1,11,86,40,0,0,24
2013-14,2034,MEM,3245,579,106,210,107,233,46,142,70,312,9,14
2013-14,2037,LAC,4194,1282,260,565,161,446,279,188,332,363,120,6
2013-14,2045,LAC,760,115,20,59,22,50,9,28,12,60,6,0
2013-14,2199,NYK,3103,480,191,321,0,1,98,294,88,0,0,60
2013-14,2200,LAL,3878,1041,421,871,4,14,187,496,346,9,3,64
2013-14,2203,MIA,2795,298,32,65,73,210,15,40,24,210,9,12
2013-14,2207,BKN,4876,1245,300,614,162,404,159,150,450,411,75,16
2013-14,2210,UTA,4185,831,171,353,123,301,120,166,176,354,15,4
2013-14,2215,BKN,343,25,11,21,0,3,3,16,6,0,0,2
2013-14,2216,MEM,5028,1372,558,1178,2,20,250,514,602,6,0,174
2013-14,2222,BOS,2737,298,97,166,19,64,47,126,68,57,0,26
2013-14,2223,DAL,3128,529,214,376,0,1,101,322,106,0,0,88
2013-14,2225,SAS,3942,1134,431,847,25,67,197,280,582,72,3,0
2013-14,2229,CHI,133,11,4,16,1,5,0,0,8,3,0,0
2013-14,2248,POR,317,12,1,4,2,7,4,0,2,6,0,0
2013-14,2365,MIA,2600,477,174,263,3,12,120,246,102,9,0,84
2013-14,2399,CHI,4854,929,210,450,123,324,140,330,90,354,15,24
2013-14,2400,WAS,741,183,69,126,7,17,24,88,50,18,3,28
2013-14,2403,WAS,3064,754,298,589,1,5,155,368,228,3,0,18
2013-14,2405,NYK,2708,772,311,558,0,0,150,386,236,0,0,56
2013-14,2406,MIL,1577,374,84,207,53,147,47,92,76,150,9,8
2013-14,2406,OKC,1192,213,31,84,45,102,16,38,24,126,9,2
2013-14,2408,NOP,46,6,3,6,0,0,0,6,0,0,0,0
2013-14,2419,MEM,3583,454,180,423,20,69,34,240,120,60,0,16
2013-14,2422,SAC,855,105,25,75,16,42,7,24,26,45,3,0
2013-14,2422,TOR,2443,298,62,175,47,121,33,44,80,132,9,0
2013-14,2430,CHI,4077,1042,447,978,0,2,148,636,258,0,0,76
2013-14,2440,LAC,3498,625,134,244,97,283,66,202,66,282,9,24
2013-14,2446,IND,723,136,25,48,26,62,8,20,30,69,9,8
2013-14,2449,IND,2683,626,262,553,1,7,99,400,124,3,0,42
2013-14,2457,CHA,470,136,28,58,24,60,8,24,32,48,24,0
2013-14,2501,BKN,759,81,23,59,0,0,35,34,12,0,0,8
2013-14,2501,SAC,965,133,48,91,0,0,37,52,44,0,0,22
2013-14,2544,MIA,5550,2089,651,1047,116,306,439,514,788,186,162,58
2013-14,2546,NYK,5615,2112,576,1228,167,415,459,336,816,357,144,82
2013-14,2547,MIA,4819,1281,418,735,74,218,223,646,190,213,9,62
2013-14,2548,MIA,3418,1028,406,729,9,32,189,348,464,21,6,26
2013-14,2549,LAL,1527,404,176,343,0,3,52,232,120,0,0,32
2013-14,2550,CHI,3967,666,158,377,85,242,95,122,194,213,42,0
2013-14,2555,OKC,2651,338,130,224,4,17,66,182,78,12,0,64
2013-14,2557,CHA,715,100,30,68,12,40,4,14,46,27,9,2
2013-14,2557,MIL,1442,206,59,151,25,68,13,32,86,51,24,2
2013-14,2561,IND,4747,1118,454,924,4,15,198,604,304,12,0,52
2013-14,2564,SAS,3892,717,257,468,45,112,68,300,214,135,0,28
2013-14,2566,SAC,2093,343,89,209,41,117,42,88,90,114,9,18
2013-14,2570,OKC,2381,211,87,192,0,1,37,116,58,0,0,30
2013-14,2571,PHX,724,150,49,106,7,25,31,34,64,18,3,0
2013-14,2581,GSW,1212,122,18,41,27,79,5,12,24,72,9,0
2013-14,2581,LAL,1812,256,36,102,52,131,28,14,58,132,24,0
2013-14,2584,LAC,1724,273,61,150,41,121,28,86,36,114,9,2
2013-14,2585,MIL,2544,408,149,348,0,1,110,186,112,0,0,56
2013-14,2586,BOS,107,12,0,0,3,6,3,0,0,9,0,0
2013-14,2588,SAS,1366,197,31,66,42,98,9,48,14,123,3,0
2013-14,2590,POR,3628,721,197,447,83,225,78,86,308,192,57,4
2013-14,2592,MIA,430,97,3,14,28,54,7,2,4,84,0,2
2013-14,2594,ATL,4787,850,104,217,185,392,87,190,18,534,21,2
2013-14,2617,MIA,1213,173,74,146,0,0,25,124,24,0,0,18
2013-14,2694,HOU,37,4,2,6,0,0,0,4,0,0,0,0
2013-14,2730,HOU,4755,1297,471,793,2,7,349,480,462,6,0,152
2013-14,2732,CHA,542,99,29,79,8,29,17,38,20,24,0,0
2013-14,2733,BKN,3704,629,234,481,1,6,158,154,314,3,0,8
2013-14,2734,DAL,1590,315,65,153,31,101,92,34,96,63,30,2
2013-14,2736,CHI,1618,438,143,292,17,62,101,162,124,45,6,28
2013-14,2736,CLE,2602,573,171,379,40,127,111,202,140,114,6,22
2013-14,2738,GSW,4063,588,158,283,62,175,86,160,156,168,18,8
2013-14,2743,BOS,2635,579,231,459,0,2,117,336,126,0,0,46
2013-14,2744,CHA,4893,1594,697,1361,3,15,191,852,542,9,0,98
2013-14,2746,DET,5404,1264,447,968,70,265,160,486,408,201,9,56
2013-14,2747,NYK,4561,1071,207,475,189,480,90,82,332,513,54,6
2013-14,2748,POR,1945,343,42,95,69,202,52,50,34,201,6,8
2013-14,2749,ORL,4244,820,158,356,136,391,96,88,228,210,198,6
2013-14,2754,MEM,2388,495,193,366,11,47,76,224,162,33,0,34
2013-14,2755,MIN,4496,1298,325,726,115,297,303,380,270,306,39,10
2013-14,2756,LAC,22,5,1,3,1,2,0,2,0,3,0,0
2013-14,2757,MEM,112,27,8,16,2,2,5,2,14,6,0,0
2013-14,2757,NYK,1125,173,51,120,17,40,20,42,60,48,3,0
2013-14,2760,CLE,3419,546,227,452,0,7,92,310,144,0,0,64
2013-14,2772,WAS,5388,1107,209,411,180,442,149,246,172,519,21,24
2013-14,101106,GSW,3542,492,235,375,0,0,22,336,134,0,0,98
2013-14,101107,UTA,3171,603,147,292,84,234,57,178,116,249,3,56
2013-14,101108,LAC,4388,1185,328,658,78,212,295,100,556,114,120,8
2013-14,101109,NYK,3801,630,178,413,62,195,88,108,248,144,42,10
2013-14,101110,WAS,4169,759,108,215,146,372,105,152,64,417,21,8
2013-14,101111,DET,349,92,21,36,14,56,8,28,14,42,0,4
2013-14,101112,PHX,4589,910,176,346,160,432,78,168,184,471,9,44
2013-14,101114,BKN,3942,915,224,448,98,268,173,130,318,225,69,0
2013-14,101115,CLE,933,202,85,203,0,0,32,82,88,0,0,30
2013-14,101115,IND,70,23,9,22,0,0,5,8,10,0,0,6
2013-14,101122,IND,1292,242,49,129,31,94,51,38,60,90,3,8
2013-14,101122,LAC,385,96,24,50,12,34,12,30,18,36,0,4
2013-14,101123,PHX,4688,1295,244,496,204,510,195,184,304,513,99,16
2013-14,101126,DEN,1701,457,106,229,58,154,71,58,154,123,51,6
2013-14,101127,CLE,4319,760,223,513,63,185,125,144,302,150,39,2
2013-14,101128,HOU,2193,315,49,101,69,193,10,38,60,198,9,4
2013-14,101131,ORL,945,109,47,105,0,0,15,66,28,0,0,10
2013-14,101133,IND,2392,272,91,188,0,1,90,120,62,0,0,46
2013-14,101135,GSW,4600,1257,513,980,0,1,231,698,328,0,0,112
2013-14,101138,BOS,4380,911,350,719,2,6,205,422,278,3,3,66
2013-14,101139,CLE,1911,503,95,198,83,211,64,128,62,234,15,6
2013-14,101141,MIL,2837,618,200,448,37,131,107,310,90,111,0,44
2013-14,101142,MIN,1195,149,64,107,0,0,21,86,42,0,0,32
2013-14,101145,DAL,5929,1560,507,1069,69,209,339,272,742,174,33,10
2013-14,101150,ATL,2842,625,118,262,79,231,152,88,148,150,87,2
2013-14,101154,BKN,3100,821,306,620,15,54,164,330,282,42,3,72
2013-14,101161,TOR,4206,799,324,546,20,66,91,460,188,57,3,104
2013-14,101162,WAS,5200,1068,454,839,1,1,157,620,288,3,0,96
2013-14,101179,ORL,722,74,19,49,9,43,9,12,26,18,9,0
2013-14,101181,DAL,4837,925,150,323,191,425,52,90,210,486,87,6
2013-14,101183,PHX,182,20,7,14,0,0,6,8,6,0,0,4
2013-14,101187,BKN,3350,564,110,237,84,248,92,96,124,225,27,10
2013-14,101198,DET,2089,485,164,368,20,62,97,48,280,30,30,4
2013-14,101236,SAC,353,33,14,32,0,0,5,16,12,0,0,12
2013-14,101236,TOR,1082,99,42,97,0,1,15,50,34,0,0,20
2013-14,101249,UTA,1144,159,37,106,25,84,10,28,46,75,0,2
2013-14,200745,NYK,2361,558,192,394,30,108,84,292,92,87,3,26
2013-14,200746,POR,4928,1603,649,1408,3,15,296,778,520,6,3,112
2013-14,200751,DEN,5114,1068,172,377,189,498,157,92,252,432,135,6
2013-14,200752,SAC,3716,1107,364,706,43,138,250,214,514,96,33,58
2013-14,200752,TOR,1232,350,108,276,22,59,68,58,158,45,21,12
2013-14,200755,LAC,1983,532,108,213,73,185,97,180,36,201,18,0
2013-14,200756,GSW,195,25,9,19,0,0,7,8,10,0,0,4
2013-14,200757,OKC,3165,383,93,188,48,152,53,102,84,141,3,18
2013-14,200758,CHI,5,0,0,0,0,0,0,0,0,0,0,0
2013-14,200758,HOU,317,7,2,7,1,8,0,4,0,3,0,0
2013-14,200761,LAL,1510,202,31,63,42,129,14,46,16,120,6,6
2013-14,200765,BOS,1954,350,115,260,26,90,42,46,184,30,48,2
2013-14,200768,TOR,5553,1417,267,580,190,500,313,150,384,363,207,16
2013-14,200769,NYK,296,40,16,38,0,0,8,14,18,0,0,6
2013-14,200769,SAS,205,23,8,26,0,2,7,14,2,0,0,0
2013-14,200770,LAL,1885,416,81,204,70,160,44,42,120,135,75,4
2013-14,200777,POR,1417,174,77,160,0,2,20,116,38,0,0,26
2013-14,200779,TOR,1071,178,8,24,52,122,6,8,8,144,12,0
2013-14,200782,PHX,5008,760,191,424,74,191,156,188,194,213,9,50
2013-14,200794,ATL,4905,1328,407,835,76,212,286,522,292,222,6,60
2013-14,200797,LAC,950,141,53,72,0,0,35,76,30,0,0,20
2013-14,200811,CHI,3,0,0,0,0,0,0,0,0,0,0,0
2013-14,200811,NOP,341,38,16,32,0,0,6,24,8,0,0,8
2013-14,200826,MIN,2894,660,181,425,73,231,79,56,306,99,120,0
2013-14,201141,MIA,406,67,27,49,0,0,13,42,12,0,0,8
2013-14,201142,OKC,6270,2593,657,1197,192,491,703,588,726,321,255,44
2013-14,201143,ATL,1900,538,234,409,4,11,58,332,136,12,0,32
2013-14,201144,MEM,4573,1256,358,739,105,291,225,174,542,219,96,10
2013-14,201145,BOS,5490,1382,347,775,135,396,283,318,376,351,54,18
2013-14,201147,MIN,5397,998,329,596,59,211,163,444,214,168,9,26
2013-14,201148,DAL,2072,525,224,331,0,0,77,392,56,0,0,36
2013-14,201149,CHI,5263,1007,380,798,0,2,247,484,276,0,0,152
2013-14,201150,CLE,1564,365,92,192,47,105,40,114,70,141,0,22
2013-14,201150,PHI,3466,688,183,383,81,203,79,234,132,240,3,56
2013-14,201152,PHI,5596,1417,492,991,90,292,163,550,434,249,21,104
2013-14,201155,DET,3822,1012,348,765,24,88,244,282,414,72,0,8
2013-14,201156,LAL,3680,1144,252,539,135,350,235,240,264,321,84,4
2013-14,201158,SAS,3969,911,211,402,126,293,111,312,110,339,39,6
2013-14,201160,NOP,1593,301,131,282,0,0,39,222,40,0,0,18
2013-14,201162,LAC,3414,511,115,222,81,225,38,208,22,243,0,10
2013-14,201163,DEN,3942,846,185,387,122,351,110,184,186,354,12,10
2013-14,201166,DEN,1750,346,87,202,42,116,46,22,152,75,51,4
2013-14,201166,HOU,1419,299,50,131,54,132,37,16,84,126,36,0
2013-14,201167,ORL,4972,1330,336,711,128,300,274,356,316,339,45,6
2013-14,201168,SAS,2520,483,181,343,0,3,121,242,120,0,0,54
2013-14,201171,SAC,465,76,31,60,0,0,14,46,16,0,0,6
2013-14,201175,LAC,607,96,39,80,0,1,18,58,20,0,0,10
2013-14,201175,ORL,2598,545,228,502,4,10,77,306,150,9,3,36
2013-14,201177,CHA,4448,661,142,275,105,291,62,194,90,309,6,22
2013-14,201188,MEM,3645,859,334,700,2,11,185,464,204,3,3,24
2013-14,201189,SAC,656,60,25,57,0,1,10,32,18,0,0,14
2013-14,201189,TOR,37,5,2,3,0,0,1,4,0,0,0,0
2013-14,201196,CHA,2537,578,175,397,15,68,183,130,220,39,6,0
2013-14,201196,MIL,1746,443,120,248,20,56,143,98,142,54,6,4
2013-14,201202,BOS,292,22,10,26,0,0,2,12,8,0,0,0
2013-14,201202,MIA,72,6,2,6,0,0,2,2,2,0,0,0
2013-14,201228,IND,2337,414,93,189,53,145,69,72,114,132,27,2
2013-14,201229,CHA,2535,393,27,60,102,247,33,40,14,306,0,8
2013-14,201563,MIA,1584,436,156,301,21,54,61,172,140,63,0,18
2013-14,201564,MIL,2598,608,140,323,84,227,76,120,160,198,54,10
2013-14,201565,CHI,605,159,42,117,16,47,27,34,50,42,6,2
2013-14,201566,OKC,2894,1002,278,577,68,214,242,168,388,87,117,18
2013-14,201567,MIN,5765,2010,460,916,190,505,520,526,394,489,81,144
2013-14,201569,NOP,4003,988,255,559,101,258,175,190,320,264,39,2
2013-14,201571,CHI,3452,909,159,373,132,321,195,98,220,252,144,2
2013-14,201571,TOR,153,21,6,13,1,11,6,0,12,3,0,0
2013-14,201572,BKN,1018,352,129,228,0,1,94,156,102,0,0,24
2013-14,201573,BOS,1990,416,107,249,51,129,49,86,128,132,21,0
2013-14,201573,MEM,1212,250,65,156,25,83,45,42,88,75,0,0
2013-14,201574,SAC,3901,586,251,496,0,0,84,300,202,0,0,100
2013-14,201575,UTA,795,79,14,43,16,47,3,10,18,39,9,0
2013-14,201576,DEN,1081,206,50,115,18,61,52,56,44,54,0,8
2013-14,201577,POR,5117,908,355,643,0,1,198,450,260,0,0,174
2013-14,201578,GSW,1978,508,187,411,8,31,110,248,126,24,0,68
2013-14,201579,IND,4577,871,329,749,2,5,207,380,278,6,0,92
2013-14,201580,DEN,162,35,17,38,0,0,1,22,12,0,0,6
2013-14,201581,DEN,3775,814,332,646,0,8,150,460,204,0,0,88
2013-14,201582,NOP,1804,328,136,248,0,1,56,192,80,0,0,60
2013-14,201583,NOP,1548,436,88,190,67,164,59,74,102,198,3,38
2013-14,201584,BOS,957,221,67,131,23,52,18,62,72,54,15,4
2013-14,201584,MEM,2713,540,156,289,49,142,81,160,152,144,3,12
2013-14,201585,MEM,2510,514,227,459,0,0,60,334,120,0,0,78
2013-14,201586,OKC,5333,1227,501,918,23,60,156,792,210,66,3,122
2013-14,201587,POR,5865,1070,236,417,145,402,163,256,216,393,42,44
2013-14,201588,IND,4636,781,177,356,95,260,142,128,226,240,45,12
2013-14,201589,DEN,2346,401,138,346,24,64,53,230,46,72,0,16
2013-14,201591,CHA,22,0,0,1,0,0,0,0,0,0,0,0
2013-14,201593,MIN,3391,944,379,701,0,0,186,458,300,0,0,174
2013-14,201596,MIA,4194,716,167,334,87,226,121,72,262,234,27,4
2013-14,201599,LAC,5684,856,348,515,0,0,160,518,178,0,0,154
2013-14,201600,HOU,1974,280,101,190,0,0,78,130,72,0,0,52
2013-14,201601,MIN,1551,184,69,147,3,14,37,92,46,9,0,20
2013-14,201601,SAC,382,40,14,29,1,3,9,24,4,3,0,2
2013-14,201604,CHA,1955,339,60,120,51,132,66,64,56,147,6,10
2013-14,201609,PHX,5302,1542,430,794,122,299,316,180,680,195,171,12
2013-14,201627,NOP,2721,636,150,325,88,195,72,196,104,246,18,14
2013-14,201785,MIN,24,2,0,0,0,1,2,0,0,0,0,0
2013-14,201785,SAS,62,7,3,4,0,1,1,2,4,0,0,2
2013-14,201858,ATL,1605,314,50,110,56,146,46,82,18,159,9,6
2013-14,201858,CHI,90,15,2,3,3,5,2,4,0,9,0,0
2013-14,201880,NOP,1893,159,70,121,0,1,19,98,42,0,0,38
2013-14,201933,LAC,5704,1930,706,1315,12,44,482,916,496,30,6,118
2013-14,201934,OKC,393,27,13,23,0,0,1,22,4,0,0,2
2013-14,201935,HOU,5598,1851,372,722,177,483,576,166,578,312,219,22
2013-14,201936,NOP,3883,1042,370,802,21,95,239,218,522,45,18,22
2013-14,201937,MIN,5430,781,211,537,44,133,227,74,348,129,3,2
2013-14,201939,GSW,5748,1873,391,768,261,615,308,154,628,357,426,4
2013-14,201941,LAL,3008,696,286,520,0,1,124,334,238,0,0,126
2013-14,201942,TOR,5704,1791,540,1197,64,210,519,502,578,162,30,6
2013-14,201943,DET,5431,1241,269,678,154,457,241,124,414,207,255,4
2013-14,201945,CHA,4676,1081,363,815,40,115,235,400,326,108,12,14
2013-14,201946,TOR,1870,312,93,194,0,2,126,118,68,0,0,34
2013-14,201947,CLE,1342,234,50,124,40,116,14,70,30,120,0,4
2013-14,201947,NYK,141,23,6,15,1,6,8,2,10,3,0,0
2013-14,201948,SAS,230,58,9,26,12,29,4,6,12,36,0,4
2013-14,201948,TOR,70,8,3,5,0,8,2,2,4,0,0,2
2013-14,201949,MEM,1804,384,121,221,22,87,76,84,158,63,3,34
2013-14,201950,NOP,2237,487,173,377,30,77,51,56,290,42,48,10
2013-14,201951,DEN,4580,1090,275,604,72,202,324,66,484,132,84,0
2013-14,201952,ATL,5062,1304,382,815,74,225,318,152,612,132,90,0
2013-14,201954,LAC,4061,911,253,505,71,189,192,174,332,192,21,6
2013-14,201956,HOU,2624,490,112,234,61,176,83,156,68,165,18,18
2013-14,201957,LAC,320,67,13,25,13,39,2,16,10,36,3,6
2013-14,201957,PHI,514,122,27,51,20,50,8,32,22,60,0,14
2013-14,201959,CHI,4344,1069,429,889,0,7,211,574,284,0,0,106
2013-14,201960,ATL,4570,810,205,374,97,268,109,290,120,273,18,42
2013-14,201961,DAL,800,145,30,67,25,59,10,44,16,66,9,0
2013-14,201962,GSW,536,88,13,27,19,59,5,20,6,48,9,0
2013-14,201962,MIA,748,114,29,61,12,43,20,26,32,33,3,0
2013-14,201964,POR,359,47,14,24,3,18,10,24,4,9,0,2
2013-14,201965,SAS,1893,240,101,174,0,0,38,160,42,0,0,32
2013-14,201967,MIN,3238,510,236,504,0,5,38,400,72,0,0,42
2013-14,201971,DAL,2410,497,210,391,0,2,77,308,112,0,0,58
2013-14,201973,DET,1443,270,67,134,31,74,43,94,40,90,3,10
2013-14,201975,LAL,5272,1209,251,488,162,404,221,372,130,441,45,10
2013-14,201976,HOU,3438,573,107,226,92,255,83,44,170,264,12,22
2013-14,201977,BKN,1182,320,58,129,52,137,48,50,66,129,27,6
2013-14,201977,SAC,2167,383,85,194,57,179,42,92,78,150,21,14
2013-14,201978,MIN,1477,274,58,134,42,120,32,82,34,123,3,8
2013-14,201979,MEM,2195,347,123,250,19,61,44,92,154,48,9,4
2013-14,201980,SAS,3275,618,86,187,132,318,50,122,50,363,33,8
2013-14,201986,SAS,595,112,32,62,10,31,18,42,22,24,6,0
2013-14,201986,TOR,369,65,14,38,8,22,13,8,20,24,0,2
2013-14,201988,SAS,3028,826,174,348,135,318,73,154,194,294,111,4
2013-14,202066,WAS,1213,138,45,112,6,29,30,46,44,9,9,2
2013-14,202083,POR,5502,1343,244,498,201,511,252,268,220,570,33,16
2013-14,202087,CLE,1983,258,79,178,19,58,43,100,58,54,3,16
2013-14,202091,PHX,398,71,13,31,9,31,18,16,10,27,0,2
2013-14,202130,OKC,33,11,4,6,1,3,0,4,4,3,0,0
2013-14,202322,WAS,5876,1583,471,1029,108,308,317,166,776,213,111,12
2013-14,202323,IND,1080,192,66,166,12,24,24,32,100,36,0,2
2013-14,202323,PHI,3918,939,318,699,38,132,189,280,356,111,3,24
2013-14,202324,UTA,4179,970,390,746,0,1,190,490,290,0,0,118
2013-14,202325,LAL,4633,715,177,380,100,271,61,280,74,288,12,24
2013-14,202326,SAC,4519,1614,591,1184,0,7,432,630,552,0,0,160
2013-14,202327,MIL,1498,144,57,143,0,0,30,84,30,0,0,12
2013-14,202328,DET,5311,1249,504,1014,0,1,241,562,446,0,0,142
2013-14,202329,NOP,3896,572,221,446,13,48,91,298,144,39,0,56
2013-14,202330,UTA,5339,1248,341,752,85,280,311,274,408,228,27,24
2013-14,202331,IND,5561,1737,395,862,182,500,401,288,502,423,123,12
2013-14,202332,NYK,642,92,33,61,0,0,26,36,30,0,0,20
2013-14,202333,LAL,1873,432,116,264,28,81,116,102,130,78,6,2
2013-14,202334,MEM,1786,357,155,290,0,0,47,218,92,0,0,66
2013-14,202335,SAC,798,118,41,83,9,39,9,62,20,27,0,18
2013-14,202335,TOR,2136,437,129,255,46,112,41,186,72,135,3,46
2013-14,202336,MIL,1110,178,76,161,0,1,26,86,66,0,0,38
2013-14,202337,NOP,889,170,24,59,36,95,14,18,30,108,0,4
2013-14,202338,WAS,1091,249,111,220,0,0,27,118,104,0,0,28
2013-14,202339,PHX,2841,763,215,416,50,140,183,54,376,66,84,14
2013-14,202340,BOS,3629,891,282,625,79,200,90,306,258,222,15,26
2013-14,202341,PHI,4775,810,194,366,115,351,77,264,124,312,33,30
2013-14,202343,PHI,2386,404,103,212,37,125,87,120,86,96,15,8
2013-14,202344,WAS,2978,491,222,401,0,2,47,282,162,0,0,62
2013-14,202345,SAS,100,6,2,7,0,2,2,2,2,0,0,2
2013-14,202347,MEM,500,94,20,45,11,34,21,20,20,30,3,4
2013-14,202348,BOS,2360,536,138,298,50,157,110,24,252,72,78,4
2013-14,202348,GSW,1318,354,99,205,40,128,36,54,144,87,33,2
2013-14,202349,SAC,889,176,49,100,16,50,30,22,76,30,18,4
2013-14,202349,TOR,2464,582,119,269,93,239,65,50,188,234,45,6
2013-14,202361,TOR,616,68,27,62,0,5,14,30,24,0,0,8
2013-14,202362,IND,5258,1080,341,626,86,244,140,224,458,204,54,56
2013-14,202363,CHI,5,0,0,0,0,0,0,0,0,0,0,0
2013-14,202363,PHI,684,99,36,60,0,0,27,58,14,0,0,12
2013-14,202379,UTA,2270,401,175,330,0,2,51,250,100,0,0,70
2013-14,202388,IND,756,110,34,75,10,42,12,8,60,27,3,2
2013-14,202389,DEN,3596,770,281,521,4,24,196,424,138,12,0,72
2013-14,202390,CHA,970,247,57,125,28,69,49,60,54,60,24,0
2013-14,202390,MIL,1162,301,68,166,40,111,45,58,78,84,36,0
2013-14,202391,HOU,4188,890,213,433,82,229,218,138,288,210,36,4
2013-14,202397,PHX,1995,261,118,258,1,23,22,36,200,0,3,4
2013-14,202399,CHA,507,57,22,40,0,0,13,24,20,0,0,16
2013-14,202399,MIL,1353,305,121,235,0,0,63,160,82,0,0,46
2013-14,202412,LAL,352,73,21,50,7,20,10,16,26,18,3,0
2013-14,202498,NOP,78,6,2,9,0,0,2,4,0,0,0,0
2013-14,202620,CLE,11,0,0,1,0,0,0,0,0,0,0,0
2013-14,202620,NOP,50,3,1,4,0,0,1,0,2,0,0,0
2013-14,202681,CLE,4832,1478,409,893,123,344,291,218,600,168,201,8
2013-14,202682,MIN,324,54,17,39,2,15,14,24,10,6,0,2
2013-14,202682,SAC,3272,570,163,344,24,84,172,192,134,60,12,36
2013-14,202683,UTA,4026,987,419,852,0,1,149,452,386,0,0,148
2013-14,202684,CLE,4967,961,363,760,0,1,235,472,254,0,0,76
2013-14,202685,TOR,4348,916,359,675,0,1,198,426,292,0,0,108
2013-14,202686,DEN,631,93,41,81,0,0,11,58,24,0,0,14
2013-14,202686,WAS,878,104,48,92,0,0,8,72,24,0,0,10
2013-14,202687,CHA,2027,222,88,144,0,0,46,126,50,0,0,38
2013-14,202688,MIL,4595,1291,351,754,110,338,259,208,494,213,117,8
2013-14,202689,CHA,4999,1289,340,816,109,327,282,144,536,219,108,6
2013-14,202690,CHI,113,32,9,18,4,11,2,6,12,9,3,0
2013-14,202690,SAC,896,241,58,125,36,73,17,24,92,54,54,2
2013-14,202691,GSW,5739,1488,336,724,223,535,147,418,254,633,36,8
2013-14,202692,UTA,4178,1089,330,688,50,143,279,216,444,123,27,28
2013-14,202693,PHX,4315,1115,377,737,34,108,259,398,356,90,12,52
2013-14,202694,PHX,3581,796,189,391,99,260,121,166,212,282,15,48
2013-14,202695,SAS,3803,844,268,463,69,182,101,278,258,183,24,20
2013-14,202696,ORL,3542,811,353,696,0,0,105,442,264,0,0,144
2013-14,202697,NYK,3635,495,107,256,76,228,53,58,156,189,39,22
2013-14,202698,WAS,480,75,18,48,7,19,18,16,20,21,0,4
2013-14,202699,ORL,3583,893,300,590,32,126,197,342,258,87,9,60
2013-14,202700,HOU,1944,341,110,212,21,84,58,160,60,63,0,18
2013-14,202702,DEN,4440,1096,447,817,0,3,202,596,298,0,0,132
2013-14,202704,OKC,4513,1047,320,671,83,245,158,126,514,165,84,16
2013-14,202705,BOS,154,31,7,20,2,4,11,6,8,3,3,0
2013-14,202705,GSW,36,13,5,11,0,2,3,4,6,0,0,2
2013-14,202705,LAL,474,115,32,69,11,19,18,16,48,24,9,4
2013-14,202706,DEN,1345,266,54,125,45,129,23,50,58,114,21,10
2013-14,202706,HOU,714,138,23,53,25,69,17,30,16,69,6,0
2013-14,202708,MIA,3768,527,147,326,60,174,53,82,212,177,3,4
2013-14,202709,SAS,1844,343,114,227,12,38,79,90,138,36,0,14
2013-14,202710,CHI,4826,878,207,453,68,240,260,246,168,201,3,30
2013-14,202713,DET,4615,784,175,356,94,246,152,240,110,276,6,32
2013-14,202714,ATL,2907,544,147,317,62,184,64,108,186,129,57,4
2013-14,202718,HOU,5574,1226,336,636,130,351,164,354,318,369,21,30
2013-14,202719,NYK,774,146,60,116,0,0,26,58,62,0,0,28
2013-14,202720,MEM,1219,302,98,197,23,49,37,136,60,69,0,14
2013-14,202721,LAC,104,9,4,6,0,7,1,6,2,0,0,0
2013-14,202721,MEM,113,15,4,9,2,7,1,0,8,3,3,0
2013-14,202721,PHI,383,83,19,43,10,24,15,8,30,18,12,0
2013-14,202725,DET,631,93,26,51,12,31,5,26,26,36,0,18
2013-14,202730,IND,212,40,17,34,0,0,6,28,6,0,0,2
2013-14,202730,PHI,1987,263,115,253,2,13,27,156,74,6,0,42
