SEASON,PLAYER_NAME,TEAM_ID,POS_EST
2013-14,Chris Copeland,1610612754.0,3.78
2013-14,Robert Covington,1610612745.0,2.89
2013-14,Allen Crabbe,1610612757.0,3.04
2013-14,Jamal Crawford,1610612746.0,2.22
2013-14,Jordan Crawford,,1.31
2013-14,Jordan Crawford,1610612738.0,1.02
2013-14,Jordan Crawford,1610612744.0,1.84
2013-14,Jae Crowder,1610612742.0,3.1
2013-14,Dante Cunningham,1610612750.0,4.03
2013-14,Jared Cunningham,,1.93
2013-14,Jared Cunningham,1610612737.0,2.0
2013-14,Jared Cunningham,1610612758.0,1.91
2013-14,Seth Curry,,1.0
2013-14,Seth Curry,1610612763.0,1.0
2013-14,Seth Curry,1610612739.0,1.0
2013-14,Stephen Curry,1610612744.0,1.0
2013-14,Samuel Dalembert,1610612742.0,5.0
2013-14,Troy Daniels,1610612745.0,2.14
2013-14,Gigi Datome,1610612765.0,2.82
2013-14,Brandon Davies,1610612755.0,4.66
2013-14,Anthony Davis,1610612740.0,4.29
2013-14,Ed Davis,1610612763.0,4.08
2013-14,Glen Davis,,4.61
2013-14,Glen Davis,1610612753.0,4.54
2013-14,Glen Davis,1610612746.0,4.91
2013-14,Austin Daye,,3.56
2013-14,Austin Daye,1610612761.0,3.8
2013-14,Austin Daye,1610612759.0,3.48
2013-14,Nando De Colo,,2.79
2013-14,Nando De Colo,1610612759.0,2.73
2013-14,Nando De Colo,1610612761.0,2.91
2013-14,Dewayne Dedmon,,4.96
2013-14,Dewayne Dedmon,1610612744.0,4.67
2013-14,Dewayne Dedmon,1610612755.0,4.9
2013-14,Dewayne Dedmon,1610612753.0,5.0
2013-14,Matthew Dellavedova,1610612739.0,1.79
2013-14,Luol Deng,,3.05
2013-14,Luol Deng,1610612741.0,3.03
2013-14,Luol Deng,1610612739.0,3.06
2013-14,DeMar DeRozan,1610612761.0,2.56
2013-14,Boris Diaw,1610612759.0,4.0
2013-14,Gorgui Dieng,1610612750.0,5.0
2013-14,Toney Douglas,,1.49
2013-14,Toney Douglas,1610612744.0,1.04
2013-14,Toney Douglas,1610612748.0,1.79
2013-14,Chris Douglas-Roberts,1610612766.0,2.68
2013-14,Goran Dragic,1610612756.0,1.49
2013-14,Andre Drummond,1610612765.0,5.0
2013-14,Jared Dudley,1610612746.0,3.1
2013-14,Tim Duncan,1610612759.0,5.0
2013-14,Mike Dunleavy,1610612741.0,2.87
2013-14,Kevin Durant,1610612760.0,3.22
2013-14,Shane Edwards,1610612739.0,3.12
2013-14,Wayne Ellington,1610612742.0,2.35
2013-14,Monta Ellis,1610612742.0,1.97
2013-14,Melvin Ely,1610612740.0,4.63
2013-14,Jeremy Evans,1610612762.0,3.96
2013-14,Reggie Evans,,4.26
2013-14,Reggie Evans,1610612751.0,4.35
2013-14,Reggie Evans,1610612758.0,4.19
2013-14,Tyreke Evans,1610612740.0,2.72
2013-14,Kenneth Faried,1610612743.0,3.84
2013-14,Jordan Farmar,1610612747.0,1.0
2013-14,Vitor Luiz Faverani,1610612738.0,5.0
