PLAYER_NAME,FIRST_NAME,LAST_NAME,PLAYER_ID
Lamar Odom,Lamar,Odom,1885
Samuel Dalembert,Samuel,Dalembert,2223
Amar'e Stoudemire,Amar'e,Stoudemire,2405
Kenyon Martin,Kenyon,Martin,2030
Jeremy Tyler,Jeremy,Tyler,202719
Tim Hardaway Jr.,Tim,Hardaway Jr.,203501
Carmelo Anthony,Carmelo,Anthony,2546
JR Smith,JR,Smith,2747
Pablo Prigioni,Pablo,Prigioni,203143
Iman Shumpert,Iman,Shumpert,202697
Toure' Murry,Toure',Murry,203315
Shannon Brown,Shannon,Brown,200769
Cole Aldrich,Cole,Aldrich,202332
Andrea Bargnani,Andrea,Bargnani,200745
Doron Lamb,Doron,Lamb,203117
Kyle O'Quinn,Kyle,O'Quinn,203124
Dewayne Dedmon,Dewayne,Dedmon,203473
Arron Afflalo,Arron,Afflalo,201167
Victor Oladipo,Victor,Oladipo,203506
Nikola Vucevic,Nikola,Vucevic,202696
Ronnie Price,Ronnie,Price,101179
Tobias Harris,Tobias,Harris,202699
Jameer Nelson,Jameer,Nelson,2749
Maurice Harkless,Maurice,Harkless,203090
Andrew Nicholson,Andrew,Nicholson,203094
Jason Maxiell,Jason,Maxiell,101131
E'Twaun Moore,E'Twaun,Moore,202734
Lance Stephenson,Lance,Stephenson,202362
George Hill,George,Hill,201588
Luis Scola,Luis,Scola,2449
Lavoy Allen,Lavoy,Allen,202730
Rasual Butler,Rasual,Butler,2446
Solomon Hill,Solomon,Hill,203524
Evan Turner,Evan,Turner,202323
Donald Sloan,Donald,Sloan,202388
Andrew Bynum,Andrew,Bynum,101115
David West,David,West,2561
Chris Copeland,Chris,Copeland,203142
Paul George,Paul,George,202331
Ian Mahinmi,Ian,Mahinmi,101133
C.J. Watson,C.J.,Watson,201228
Roy Hibbert,Roy,Hibbert,201579
Michael Carter-Williams,Michael,Carter-Williams,203487
Nerlens Noel,Nerlens,Noel,203457
Arnett Moultrie,Arnett,Moultrie,203102
Adonis Thomas,Adonis,Thomas,203519
Tony Wroten,Tony,Wroten,203100
James Anderson,James,Anderson,202341
Casper Ware,Casper,Ware,203810
Brandon Davies,Brandon,Davies,203561
Thaddeus Young,Thaddeus,Young,201152
Jason Richardson,Jason,Richardson,2202
Elliot Williams,Elliot,Williams,202343
Byron Mullens,Byron,Mullens,201957
Hollis Thompson,Hollis,Thompson,203138
Henry Sims,Henry,Sims,203156
Jarvis Varnado,Jarvis,Varnado,202363
Goran Dragic,Goran,Dragic,201609
Eric Bledsoe,Eric,Bledsoe,202339
Ish Smith,Ish,Smith,202397
Channing Frye,Channing,Frye,101112
Leandro Barbosa,Leandro,Barbosa,2571
Markieff Morris,Markieff,Morris,202693
Gerald Green,Gerald,Green,101123
Marcus Morris Sr.,Marcus,Morris Sr.,202694
P.J. Tucker,P.J.,Tucker,200782
Archie Goodwin,Archie,Goodwin,203462
Alex Len,Alex,Len,203458
Miles Plumlee,Miles,Plumlee,203101
Dionte Christmas,Dionte,Christmas,202091
Shavlik Randolph,Shavlik,Randolph,101183
Emeka Okafor,Emeka,Okafor,2731
Damian Lillard,Damian,Lillard,203081
Dorell Wright,Dorell,Wright,2748
Wesley Matthews,Wesley,Matthews,202083
CJ McCollum,CJ,McCollum,203468
Will Barton,Will,Barton,203115
Meyers Leonard,Meyers,Leonard,203086
LaMarcus Aldridge,LaMarcus,Aldridge,200746
Earl Watson,Earl,Watson,2248
Victor Claver,Victor,Claver,201964
Joel Freeland,Joel,Freeland,200777
Allen Crabbe,Allen,Crabbe,203459
Mo Williams,Mo,Williams,2590
Thomas Robinson,Thomas,Robinson,203080
Robin Lopez,Robin,Lopez,201577
Nicolas Batum,Nicolas,Batum,201587
Ray McCallum,Ray,McCallum,203492
Quincy Acy,Quincy,Acy,203112
Rudy Gay,Rudy,Gay,200752
Jared Cunningham,Jared,Cunningham,203099
Derrick Williams,Derrick,Williams,202682
DeMarcus Cousins,DeMarcus,Cousins,202326
Ben McLemore,Ben,McLemore,203463
Isaiah Thomas,Isaiah,Thomas,202738
Carl Landry,Carl,Landry,201171
Travis Outlaw,Travis,Outlaw,2566
Reggie Evans,Reggie,Evans,2501
Jason Terry,Jason,Terry,1891
Aaron Gray,Aaron,Gray,201189
Jason Thompson,Jason,Thompson,201574
Willie Reed,Willie,Reed,203186
Kawhi Leonard,Kawhi,Leonard,202695
Marco Belinelli,Marco,Belinelli,201158
Danny Green,Danny,Green,201980
Cory Joseph,Cory,Joseph,202709
Damion James,Damion,James,202345
Patty Mills,Patty,Mills,201988
Tony Parker,Tony,Parker,2225
Jeff Ayres,Jeff,Ayres,201965
Matt Bonner,Matt,Bonner,2588
