"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Donatas Motiejunas","HOU",5,98,193,44,12,28,0.42857142857142855,4,9,0.4444444444444444,0.4444444444444444,8,16,8,12,0,0.6666666666666666,0.8,1,0.24324324324324326,0.465804054054054,0.4864864864864865,0.4888888888888889,4,2,0.07142857142857142,0,0,24.25531914893617
"James Johnson","TOR",10,98,185,30,8,16,0.5,4,9,0.4444444444444444,0.4444444444444444,2,12,4,12,0,0.75,0.75,1,0.36,0.53274,0.56,0.5769230769230769,0,1,0.0625,0,0,16.336633663366335
"Lance Stephenson","MEM",4,95,176,52,21,39,0.5384615384615384,2,5,0.4,0.4,4,16,26,6,0,0.38095238095238093,0.38095238095238093,1,0.11363636363636363,0.47624999999999995,0.5454545454545454,0.5652173913043478,0,3,0.07692307692307693,0,0,24.257425742574256
"Justin Anderson","DAL",5,95,177,47,13,24,0.5416666666666666,4,13,0.3076923076923077,0.3076923076923077,9,20,6,12,0,0.7692307692307693,0.8333333333333334,1,0.35135135135135137,0.6006067567567567,0.5135135135135135,0.5340909090909091,2,1,0.041666666666666664,0,0,23.902439024390247
"Tony Allen","MEM",4,94,176,30,9,26,0.34615384615384615,1,7,0.14285714285714285,0.14285714285714285,9,14,4,3,0,0.7777777777777778,1,1,0.21212121212121213,0.5056257575757576,0.3181818181818182,0.38461538461538464,4,3,0.11538461538461539,0,0,21.22641509433962
"Anderson Varejao","GSW",17,93,180,20,5,14,0.35714285714285715,0,0,0,0,10,4,6,0,0,0.4,0.6666666666666666,0,0,0.4821071428571429,0.35714285714285715,0.43478260869565216,4,2,0.14285714285714285,0,0,11.737089201877934
"CJ Miles","IND",7,92,171,24,8,18,0.4444444444444444,2,20,0.1,0.10526315789473684,2,10,6,6,0,0.625,0.7142857142857143,1,0.5263157894736842,0.5048094594594594,0.2894736842105263,0.3076923076923077,2,2,0.1111111111111111,1,0.05,21.98952879581152
"Vince Carter","MEM",4,91,168,45,8,23,0.34782608695652173,7,10,0.7,0.7,8,8,8,18,3,0.5,0.5714285714285714,0.8571428571428571,0.30303030303030304,0.5158545454545455,0.5606060606060606,0.6081081081081081,2,9,0.391304347826087,0,0,20.304568527918782
"Xavier Munford","MEM",4,89,167,19,8,20,0.4,1,8,0.125,0.14285714285714285,0,0,16,3,0,0,0,1,0.2857142857142857,0.4826388888888889,0.3392857142857143,0.3275862068965517,0,0,0,0,0,18.085106382978726
"Tim Hardaway Jr.","ATL",9,87,167,20,5,12,0.4166666666666667,2,14,0.14285714285714285,0.14285714285714285,4,10,0,3,3,1,1,0.5,0.5384615384615384,0.5226576923076923,0.3076923076923077,0.3392857142857143,0,0,0,0,0,16.402116402116402
"Udonis Haslem","MIA",9,85,156,21,8,15,0.5333333333333333,0,0,0,0,5,10,6,0,0,0.625,0.7142857142857143,0,0,0.5102266666666667,0.5333333333333333,0.5833333333333334,2,1,0.06666666666666667,0,0,13.812154696132596
"Amar'e Stoudemire","MIA",9,82,150,30,11,19,0.5789473684210527,0,0,0,0,8,12,10,0,0,0.5454545454545454,0.5454545454545454,0,0,0.5681526315789474,0.5789473684210527,0.6818181818181818,0,0,0,0,0,18.02325581395349
"Stanley Johnson","DET",4,81,140,32,6,13,0.46153846153846156,6,10,0.6,0.6,2,4,8,18,0,0.3333333333333333,0.3333333333333333,1,0.43478260869565216,0.4934608695652174,0.6521739130434783,0.6666666666666666,0,0,0,0,0,17.307692307692307
"Jared Sullinger","BOS",6,81,168,31,11,38,0.2894736842105263,2,4,0.5,0.5,3,18,4,6,0,0.8181818181818182,1,1,0.09523809523809523,0.4829392857142857,0.3333333333333333,0.3522727272727273,4,4,0.10526315789473684,0,0,25.641025641025642
"Michael Beasley","HOU",5,80,168,52,20,40,0.5,2,6,0.3333333333333333,0.4,6,24,16,6,0,0.6,0.6,1,0.13043478260869565,0.4674611111111111,0.5,0.5306122448979592,0,4,0.1,0,0,29.015544041450777
"Chris Andersen","MEM",4,79,144,15,5,12,0.4166666666666667,0,0,0,0,5,4,6,0,0,0.4,1,0,0,0.6061416666666667,0.4166666666666667,0.46875,6,0,0,0,0,12.42603550295858
"Nick Collison","OKC",9,79,149,9,4,6,0.6666666666666666,0,0,0,0,1,8,0,0,0,1,1,0,0,0.5815166666666667,0.6666666666666666,0.6428571428571429,0,0,0,0,0,4.733727810650888
"Luc Mbah a Moute","LAC",5,78,152,9,4,6,0.6666666666666666,0,0,0,0,1,6,2,0,0,0.75,0.75,0,0,0.722,0.6666666666666666,0.75,0,1,0.16666666666666666,0,0,4.733727810650888
"Corey Brewer","HOU",5,77,165,22,6,17,0.35294117647058826,1,10,0.1,0.1,7,6,6,3,0,0.5,0.6,1,0.37037037037037035,0.49997407407407407,0.2777777777777778,0.3548387096774194,2,3,0.17647058823529413,0,0,18.974358974358974
"Cole Aldrich","LAC",6,77,152,23,10,15,0.6666666666666666,0,0,0,0,3,14,6,0,0,0.7,0.875,0,0,0.4471866666666667,0.6666666666666666,0.6388888888888888,4,0,0,0,0,11.30952380952381
"Wesley Johnson","LAC",6,77,155,16,2,5,0.4,3,9,0.3333333333333333,0.375,3,0,4,9,0,0,0,1,0.6428571428571429,0.4995181818181818,0.4642857142857143,0.5333333333333333,4,0,0,0,0,9.289617486338797
"Anthony Morrow","OKC",14,76,155,37,6,10,0.6,5,14,0.35714285714285715,0.35714285714285715,10,6,6,15,0,0.5,0.5,1,0.5833333333333334,0.5108166666666667,0.5625,0.6607142857142857,0,0,0,0,0,17.877094972067038
"Salah Mejri","DAL",4,76,149,19,7,10,0.7,0,0,0,0,5,8,6,0,0,0.5714285714285714,1,0,0,0.68607,0.7,0.59375,6,1,0.1,0,0,9.580838323353294
"Timofey Mozgov","CLE",13,76,151,15,6,15,0.4,0,0,0,0,3,4,8,0,0,0.3333333333333333,1,0,0,0.61202,0.4,0.4411764705882353,8,0,0,0,0,15.060240963855422
"Ty Lawson","IND",7,74,139,16,6,15,0.4,0,3,0,0,4,0,12,0,0,0,0,0,0.16666666666666666,0.5167805555555556,0.3333333333333333,0.38095238095238093,0,2,0.13333333333333333,0,0,17.197452229299362
"JaMychal Green","MEM",4,72,135,27,12,21,0.5714285714285714,0,1,0,0,3,20,4,0,0,0.8333333333333334,1,0,0.045454545454545456,0.5770590909090909,0.5454545454545454,0.54,4,2,0.09523809523809523,0,0,19.463087248322147
"Mo Williams","CLE",13,68,137,20,5,15,0.3333333333333333,3,13,0.23076923076923078,0.23076923076923078,1,6,4,3,6,0.6,0.6,0.3333333333333333,0.4642857142857143,0.4557357142857143,0.3392857142857143,0.3448275862068966,0,0,0,0,0,26.53061224489796
"Mike Muscala","ATL",9,67,130,24,8,14,0.5714285714285714,2,6,0.3333333333333333,0.3333333333333333,2,10,6,6,0,0.625,0.7142857142857143,1,0.3,0.554535,0.55,0.5714285714285714,2,1,0.07142857142857142,0,0,16
"Cameron Payne","OKC",10,64,124,18,5,16,0.3125,2,10,0.2,0.2222222222222222,2,2,8,6,0,0.2,0.2,1,0.38461538461538464,0.44832,0.3076923076923077,0.32142857142857145,0,2,0.125,0,0,26.27737226277372
"Dwight Powell","DAL",4,64,115,24,9,18,0.5,0,1,0,0,6,14,4,0,0,0.7777777777777778,0.875,0,0.05263157894736842,0.5967052631578947,0.47368421052631576,0.5,2,1,0.05555555555555555,0,0,18.51851851851852
"Tyler Johnson","MIA",5,61,110,21,2,5,0.4,3,6,0.5,0.5,8,4,0,9,0,1,1,1,0.5454545454545454,0.48603636363636366,0.5909090909090909,0.65625,0,0,0,0,0,14.634146341463415
"Kris Humphries","ATL",4,56,108,37,8,18,0.4444444444444444,5,10,0.5,0.5,6,14,2,15,0,0.875,0.875,1,0.35714285714285715,0.5598410714285714,0.5535714285714286,0.5967741935483871,0,0,0,0,0,26.612903225806452
"Jason Thompson","TOR",10,55,107,8,4,8,0.5,0,1,0,0,0,4,4,0,0,0.5,1,0,0.1111111111111111,0.5749833333333334,0.4444444444444444,0.4,4,0,0,0,0,9.090909090909092
"James Jones","CLE",12,55,111,6,1,3,0.3333333333333333,1,7,0.14285714285714285,0.14285714285714285,1,2,0,3,0,1,1,1,0.7,0.484,0.25,0.25,0,0,0,0,0,10.743801652892563
"Paul Pierce","LAC",5,54,104,6,1,7,0.14285714285714285,1,5,0.2,0.2,1,2,0,3,0,1,1,1,0.4166666666666667,0.4692541666666667,0.20833333333333334,0.21428571428571427,0,0,0,0,0,13.559322033898306
"Spencer Hawes","CHA",5,53,108,18,5,9,0.5555555555555556,1,4,0.25,0.25,5,2,8,3,0,0.2,0.25,1,0.3076923076923077,0.45240769230769234,0.5,0.5625,2,1,0.1111111111111111,0,0,17.094017094017094
"Lavoy Allen","IND",6,51,100,6,3,10,0.3,0,0,0,0,0,6,0,0,0,1,1,0,0,0.49097,0.3,0.3,0,2,0.2,0,0,10
"Kyle Singler","OKC",6,51,96,8,1,5,0.2,2,4,0.5,0.5,0,2,0,6,0,1,1,1,0.4444444444444444,0.45781111111111117,0.4444444444444444,0.4,0,0,0,0,0,9.09090909090909
"Dahntay Jones","CLE",15,50,104,17,5,10,0.5,1,3,0.3333333333333333,0.3333333333333333,4,4,6,3,0,0.4,0.4,1,0.23076923076923078,0.4999692307692308,0.5,0.5666666666666667,0,0,0,0,0,14.15929203539823
