"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jayson Tatum","BOS",18,714,1417,498,120,217,0.5529953917050692,52,152,0.34210526315789475,0.34210526315789475,102,102,138,78,78,0.425,0.45535714285714285,0.5,0.41192411924119243,0.5171468834688348,0.5365853658536586,0.5878859857482185,16,21,0.0967741935483871,0,0,29.829005699810008
"Jaylen Brown","BOS",18,669,1338,408,125,226,0.5530973451327433,39,100,0.39,0.3939393939393939,41,104,146,81,36,0.416,0.4444444444444444,0.6923076923076923,0.3067484662576687,0.524362,0.5628834355828221,0.5811965811965812,16,28,0.12389380530973451,0,0,27.2911051212938
"LeBron James","LAL",16,619,1259,392,119,189,0.6296296296296297,28,106,0.2641509433962264,0.2641509433962264,70,104,134,66,18,0.4369747899159664,0.46846846846846846,0.7857142857142857,0.3593220338983051,0.5168298305084745,0.5457627118644067,0.5835820895522388,16,8,0.042328042328042326,0,0,26.728439059158948
"Anthony Davis","LAL",16,608,1247,361,127,239,0.5313807531380753,5,15,0.3333333333333333,0.35714285714285715,92,186,68,15,0,0.7322834645669292,0.8454545454545455,1,0.05905511811023622,0.5133430830039526,0.5295275590551181,0.594059405940594,34,16,0.06694560669456066,0,0,24.20977011494253
"Marcus Smart","BOS",18,601,1194,268,51,93,0.5483870967741935,39,105,0.37142857142857144,0.375,49,48,54,111,6,0.47058823529411764,0.5106382978723404,0.9487179487179487,0.5303030303030303,0.5137426020408163,0.553030303030303,0.5929203539823009,8,9,0.0967741935483871,1,0.009523809523809525,19.954819277108435
"Jamal Murray","DEN",15,587,1178,415,106,201,0.527363184079602,47,118,0.3983050847457627,0.3983050847457627,62,56,156,72,69,0.2641509433962264,0.26666666666666666,0.5106382978723404,0.36990595611285265,0.47238652037617557,0.5532915360501567,0.5922190201729106,2,13,0.06467661691542288,1,0.00847457627118644,28.41079460269865
"Nikola Jokic","DEN",15,583,1176,449,144,261,0.5517241379310345,27,57,0.47368421052631576,0.47368421052631576,80,158,130,51,30,0.5486111111111112,0.6422764227642277,0.6296296296296297,0.1792452830188679,0.46932893081761007,0.5801886792452831,0.6167582417582418,42,16,0.06130268199233716,0,0,30.941704035874437
"Austin Reaves","LAL",16,579,1180,270,51,106,0.4811320754716981,39,88,0.4431818181818182,0.4418604651162791,51,34,68,99,18,0.3333333333333333,0.3541666666666667,0.8461538461538461,0.4536082474226804,0.49573072916666666,0.5644329896907216,0.6146788990825688,6,13,0.12264150943396226,0,0,18.32579185520362
"Jimmy Butler","MIA",15,579,1164,432,136,253,0.5375494071146245,16,48,0.3333333333333333,0.3404255319148936,112,84,188,21,27,0.3088235294117647,0.32061068702290074,0.4375,0.15946843853820597,0.49913327759197323,0.53156146179402,0.6008403361344538,10,23,0.09090909090909091,3,0.0625,29.632465543644717
"Bam Adebayo","MIA",16,553,1095,280,114,220,0.5181818181818182,0,2,0,0,52,144,84,0,0,0.631578947368421,0.6990291262135923,0,0.009009009009009009,0.5087921171171171,0.5135135135135135,0.56,22,12,0.05454545454545454,0,0,24.084621643612696
"Al Horford","BOS",18,551,1096,121,20,31,0.6451612903225806,26,87,0.2988505747126437,0.2988505747126437,3,28,12,78,0,0.7,0.8235294117647058,1,0.7372881355932204,0.5447652542372882,0.5,0.5041666666666667,6,1,0.03225806451612903,0,0,10.603588907014682
"Aaron Gordon","DEN",15,534,1057,195,59,110,0.5363636363636364,13,37,0.35135135135135137,0.3611111111111111,38,76,42,39,0,0.6440677966101694,0.76,1,0.25170068027210885,0.553392808219178,0.5340136054421769,0.5668604651162791,18,17,0.15454545454545454,0,0,15.75
"Derrick White","BOS",18,515,1023,238,39,68,0.5735294117647058,45,94,0.4787234042553192,0.4787234042553192,25,44,34,114,21,0.5641025641025641,0.5945945945945946,0.8444444444444444,0.5802469135802469,0.5332432098765433,0.6574074074074074,0.6878612716763006,4,9,0.1323529411764706,0,0,16.449086161879894
