SEASON,MINUTES_ON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HOG%,AGE,EXP,POS_EST
2017-18,212,Derrick Jones Jr.,1627884,1610612748,16.085,5.0,MIA,410,4.5,21,1,2.86
2017-18,33,Derrick Jones Jr.,1627884,1610612756,11.781,0.8,PHX,73,5.6,21,1,2.42
2016-17,545,Derrick Jones Jr.,1627884,1610612756,13.684,12.8,PHX,1136,4.9,20,0,2.72
2022-23,884,Derrick Jones Jr.,1627884,1610612741,13.995,24.2,CHI,1827,5.7,26,6,4.06
2022-23,12,Dereon Seabron,1631220,1610612740,12.667,0.8,NOP,24,15.8,23,0,3.45
2021-22,584,Daniel Theis,1628464,1610612745,14.688,20.5,HOU,1199,7.0,30,4,4.44
2021-22,393,Daniel Theis,1628464,1610612738,14.974,12.2,BOS,784,6.2,30,4,4.7
2020-21,574,Daniel Theis,1628464,1610612741,15.234,22.0,CHI,1159,7.5,29,3,4.45
2020-21,1027,Daniel Theis,1628464,1610612738,14.809,40.3,BOS,2095,7.8,29,3,5.0
2019-20,1566,Daniel Theis,1628464,1610612738,14.607,59.5,BOS,3181,7.7,28,2,5.0
2018-19,908,Daniel Theis,1628464,1610612738,13.925,34.4,BOS,1885,7.9,27,1,4.95
2017-18,936,Daniel Theis,1628464,1610612738,15.432,37.6,BOS,1837,8.0,26,0,4.64
2022-23,109,Daniel Theis,1628464,1610612754,14.817,4.2,IND,224,7.6,31,5,5.0
2021-22,638,Dennis Smith Jr.,1628372,1610612757,14.468,124.8,POR,1308,39.6,24,4,1.05
2020-21,392,Dennis Smith Jr.,1628372,1610612765,15.293,77.8,DET,778,39.2,23,3,1.03
2020-21,28,Dennis Smith Jr.,1628372,1610612752,15.309,5.6,NYK,55,39.9,23,3,1.15
2019-20,537,Dennis Smith Jr.,1628372,1610612752,14.732,117.6,NYK,1100,43.5,22,2,1.0
2018-19,908,Dennis Smith Jr.,1628372,1610612742,14.78,167.6,DAL,1886,36.1,21,1,1.11
2018-19,600,Dennis Smith Jr.,1628372,1610612752,14.649,128.1,NYK,1235,42.5,21,1,1.0
2017-18,2049,Dennis Smith Jr.,1628372,1610612742,15.584,448.9,DAL,4097,42.2,20,0,1.26
2022-23,1390,Dennis Smith Jr.,1628372,1610612766,14.161,205.0,CHA,2893,30.0,25,5,1.02
2021-22,2204,Giannis Antetokounmpo,203507,1610612749,13.549,303.6,MIL,4618,29.1,27,8,4.33
2020-21,2013,Giannis Antetokounmpo,203507,1610612749,13.179,279.3,MIL,4280,29.7,26,7,4.1
2019-20,1917,Giannis Antetokounmpo,203507,1610612749,12.851,280.9,MIL,4206,31.2,25,6,4.23
2018-19,2358,Giannis Antetokounmpo,203507,1610612749,13.419,331.8,MIL,5053,29.4,24,5,4.27
2017-18,2756,Giannis Antetokounmpo,203507,1610612749,14.347,352.0,MIL,5490,26.8,23,4,4.07
2016-17,2845,Giannis Antetokounmpo,203507,1610612749,15.022,426.4,MIL,5562,30.6,22,3,3.28
2015-16,2823,Giannis Antetokounmpo,203507,1610612749,14.986,311.8,MIL,5532,22.6,21,2,1.61
2014-15,2541,Giannis Antetokounmpo,203507,1610612749,14.78,177.6,MIL,4940,14.6,20,1,2.89
2013-14,1897,Giannis Antetokounmpo,203507,1610612749,15.684,123.3,MIL,3642,13.0,19,0,3.2
2022-23,2024,Giannis Antetokounmpo,203507,1610612749,13.883,330.7,MIL,4261,33.5,28,9,4.41
2021-22,1500,Jerami Grant,203924,1610612765,14.938,112.0,DET,3028,14.9,28,7,4.01
2020-21,1829,Jerami Grant,203924,1610612765,15.265,138.7,DET,3728,14.6,27,6,3.68
2019-20,1892,Jerami Grant,203924,1610612743,15.31,75.8,DEN,3807,7.8,26,5,3.87
2018-19,2612,Jerami Grant,203924,1610612760,12.94,88.1,OKC,5604,7.3,25,4,4.01
2017-18,1647,Jerami Grant,203924,1610612760,14.721,65.2,OKC,3262,8.1,24,3,3.85
2016-17,1490,Jerami Grant,203924,1610612760,14.388,48.0,OKC,3007,6.7,23,2,3.58
2016-17,41,Jerami Grant,203924,1610612755,15.881,2.2,PHI,84,9.9,23,2,3.93
2015-16,2066,Jerami Grant,203924,1610612755,15.097,109.5,PHI,4155,10.5,22,1,3.9
2014-15,1377,Jerami Grant,203924,1610612755,14.986,77.5,PHI,2750,11.3,21,0,3.57
2022-23,2246,Jerami Grant,203924,1610612757,14.998,140.4,POR,4559,12.3,29,8,3.98
2021-22,1191,James Johnson,201949,1610612751,15.031,66.8,BKN,2376,11.2,35,12,3.74
2020-21,539,James Johnson,201949,1610612740,14.137,28.0,NOP,1137,10.5,34,11,3.59
2020-21,514,James Johnson,201949,1610612742,14.499,29.3,DAL,1048,11.6,34,11,4.0
2019-20,281,James Johnson,201949,1610612748,15.071,19.0,MIA,564,13.4,33,10,4.01
2019-20,338,James Johnson,201949,1610612750,12.995,28.2,MIN,751,17.3,33,10,4.75
2018-19,1164,James Johnson,201949,1610612748,15.2,101.7,MIA,2350,17.1,32,9,3.95
2017-18,1943,James Johnson,201949,1610612748,15.253,184.5,MIA,3855,18.8,31,8,4.07
2016-17,2085,James Johnson,201949,1610612748,15.444,200.7,MIA,4172,18.7,30,7,4.11
2015-16,926,James Johnson,201949,1610612761,16.234,42.2,TOR,1764,8.8,29,6,3.16
2014-15,1370,James Johnson,201949,1610612761,15.759,70.5,TOR,2629,10.2,28,5,3.16
2013-14,956,James Johnson,201949,1610612763,16.04,62.7,MEM,1804,13.0,27,4,3.14
2022-23,156,James Johnson,201949,1610612754,13.676,11.1,IND,337,14.5,36,13,4.22
2021-22,304,James Bouknight,1630547,1610612766,13.739,26.2,CHA,641,17.9,21,0,1.82
2022-23,489,James Bouknight,1630547,1610612766,14.326,39.7,CHA,1073,15.5,22,1,1.96
2020-21,1704,Jamal Murray,1627750,1610612743,15.22,252.1,DEN,3389,29.3,24,4,1.58
2019-20,1904,Jamal Murray,1627750,1610612743,15.324,346.7,DEN,3803,35.7,23,3,1.16
2018-19,2447,Jamal Murray,1627750,1610612743,14.901,419.7,DEN,4954,34.1,22,2,1.27
2017-18,2565,Jamal Murray,1627750,1610612743,14.945,417.2,DEN,5117,32.7,21,1,1.1
2016-17,1764,Jamal Murray,1627750,1610612743,14.509,188.0,DEN,3615,21.5,20,0,1.68
2022-23,2133,Jamal Murray,1627750,1610612743,14.766,371.8,DEN,4318,35.0,26,5,1.19
2021-22,1279,Chimezie Metu,1629002,1610612758,14.233,58.6,SAC,2638,9.4,25,3,4.16
2020-21,488,Chimezie Metu,1629002,1610612758,14.245,24.1,SAC,1024,9.9,24,2,4.62
2019-20,105,Chimezie Metu,1629002,1610612759,14.027,5.5,SAS,225,10.5,23,1,4.72
2018-19,145,Chimezie Metu,1629002,1610612759,14.385,9.4,SAS,314,12.5,22,0,4.29
2022-23,677,Chimezie Metu,1629002,1610612758,13.282,30.6,SAC,1465,9.4,26,4,4.3
2022-23,222,Jamal Cain,1631288,1610612748,14.535,7.5,MIA,497,6.2,24,0,3.24
2022-23,2276,Jalen Williams,1631114,1610612760,13.754,200.0,OKC,4798,18.2,22,0,2.15
2021-22,1307,Jalen Suggs,1630591,1610612753,14.204,198.9,ORL,2716,30.9,20,0,1.54
2022-23,1226,Jalen Suggs,1630591,1610612753,14.374,140.2,ORL,2577,22.7,21,1,1.71
2021-22,543,Jalen Smith,1630188,1610612754,14.661,21.1,IND,1103,7.8,22,1,4.82
2021-22,382,Jalen Smith,1630188,1610612756,14.646,13.2,PHX,786,6.9,22,1,4.71
2020-21,156,Jalen Smith,1630188,1610612756,14.063,5.4,PHX,333,6.9,21,0,4.32
2022-23,1279,Jalen Smith,1630188,1610612754,13.954,48.1,IND,2691,7.7,23,2,4.71
2021-22,895,Jalen McDaniels,1629667,1610612766,14.431,43.3,CHA,1839,9.8,24,2,3.64
2020-21,904,Jalen McDaniels,1629667,1610612766,14.892,45.4,CHA,1803,10.1,23,1,3.35
2019-20,293,Jalen McDaniels,1629667,1610612766,15.449,12.6,CHA,574,8.5,22,0,3.62
2022-23,1494,Jalen McDaniels,1629667,1610612766,14.17,81.9,CHA,3119,11.1,25,3,3.2
2022-23,401,Jalen McDaniels,1629667,1610612755,14.963,14.7,PHI,850,6.9,25,3,3.37
2021-22,120,Jalen Johnson,1630552,1610612737,14.055,6.1,ATL,255,10.2,20,0,4.13
2022-23,1023,Jalen Johnson,1630552,1610612737,14.114,53.3,ATL,2166,10.5,21,1,4.01
2021-22,2138,Jalen Green,1630224,1610612745,14.577,209.7,HOU,4493,19.2,20,0,1.84
2022-23,2575,Jalen Green,1630224,1610612745,15.141,368.6,HOU,5383,27.1,21,1,1.79
2022-23,1636,Jalen Duren,1631105,1610612765,15.057,62.9,DET,3401,7.4,19,0,4.91
2021-22,2524,Jalen Brunson,1628973,1610612742,15.969,427.2,DAL,4930,32.6,25,3,1.57
2020-21,1701,Jalen Brunson,1628973,1610612742,15.232,265.7,DAL,3419,30.6,24,2,1.22
2019-20,1022,Jalen Brunson,1628973,1610612742,14.962,157.7,DAL,2087,30.3,23,1,1.04
2018-19,1591,Jalen Brunson,1628973,1610612742,15.044,228.5,DAL,3253,28.0,22,0,1.24
2022-23,2379,Jalen Brunson,1628973,1610612752,15.569,577.0,NYK,4788,46.4,26,4,1.0
2021-22,1690,Chris Boucher,1628449,1610612761,15.227,55.7,TOR,3345,6.6,29,4,3.11
2020-21,1453,Chris Boucher,1628449,1610612761,14.428,61.9,TOR,2967,8.7,28,3,4.83
2019-20,819,Chris Boucher,1628449,1610612761,14.333,33.7,TOR,1701,8.3,27,2,4.81
2018-19,163,Chris Boucher,1628449,1610612761,13.983,7.1,TOR,354,8.6,26,1,4.64
2017-18,1,Chris Boucher,1628449,1610612744,19.0,0.1,GSW,3,10.5,25,0,4.0
2022-23,1504,Chris Boucher,1628449,1610612761,15.344,49.7,TOR,3044,6.4,30,5,3.46
2021-22,1970,Jakob Poeltl,1627751,1610612759,14.165,101.9,SAS,4044,10.7,26,5,5.0
2020-21,1845,Jakob Poeltl,1627751,1610612759,14.774,70.5,SAS,3749,7.6,25,4,5.0
2019-20,1171,Jakob Poeltl,1627751,1610612759,13.927,55.3,SAS,2464,9.7,24,3,5.0
2018-19,1273,Jakob Poeltl,1627751,1610612759,14.921,46.8,SAS,2585,7.3,23,2,4.74
2017-18,1524,Jakob Poeltl,1627751,1610612761,14.75,47.1,TOR,3039,6.3,22,1,5.0
2016-17,626,Jakob Poeltl,1627751,1610612761,15.718,14.9,TOR,1219,4.7,21,0,5.0
2022-23,696,Jakob Poeltl,1627751,1610612761,14.864,31.1,TOR,1431,8.8,27,6,5.0
2022-23,1199,Jakob Poeltl,1627751,1610612759,14.46,69.1,SAS,2487,11.5,27,6,5.0
2022-23,414,Jake LaRavia,1631222,1610612763,14.73,14.3,MEM,860,6.8,21,0,4.01
2021-22,2057,Jae'Sean Tate,1630256,1610612745,14.623,141.5,HOU,4271,13.6,26,1,3.9
2020-21,2043,Jae'Sean Tate,1630256,1610612745,14.291,109.6,HOU,4273,10.8,25,0,3.07
2022-23,676,Jae'Sean Tate,1630256,1610612745,15.161,74.5,HOU,1384,21.3,27,2,2.69
2021-22,1886,Jae Crowder,203109,1610612756,14.118,74.7,PHX,3889,8.2,31,9,3.81
2020-21,1648,Jae Crowder,203109,1610612756,14.587,60.6,PHX,3353,7.4,30,8,3.75
2019-20,553,Jae Crowder,203109,1610612748,14.456,20.2,MIA,1133,7.4,29,7,3.97
2019-20,1322,Jae Crowder,203109,1610612763,14.023,71.7,MEM,2818,10.9,29,7,3.01
2018-19,2166,Jae Crowder,203109,1610612762,14.302,111.8,UTA,4532,10.3,28,6,3.28
2017-18,1346,Jae Crowder,203109,1610612739,14.848,45.2,CLE,2736,6.7,27,5,2.93
2017-18,744,Jae Crowder,203109,1610612762,14.793,35.0,UTA,1498,9.5,27,5,3.05
2016-17,2335,Jae Crowder,203109,1610612738,14.661,101.7,BOS,4706,8.8,26,4,3.22
2015-16,2308,Jae Crowder,203109,1610612738,13.772,97.5,BOS,4752,8.9,25,3,3.21
2014-15,1382,Jae Crowder,203109,1610612738,14.724,59.6,BOS,2742,8.9,24,2,3.23
2014-15,265,Jae Crowder,203109,1610612742,15.069,11.8,DAL,522,9.0,24,2,2.55
2013-14,1253,Jae Crowder,203109,1610612742,15.387,52.5,DAL,2441,8.4,23,1,3.1
2022-23,315,Jae Crowder,203109,1610612749,13.971,11.7,MIL,715,7.0,32,10,3.68
2021-22,6,Jaden Springer,1630531,1610612755,14.154,0.4,PHI,13,13.0,19,0,2.63
2022-23,87,Jaden Springer,1630531,1610612755,15.086,4.4,PHI,192,9.1,20,1,1.05
2021-22,1541,Chris Duarte,1630537,1610612754,14.834,124.6,IND,3118,16.2,24,0,1.98
2022-23,897,Chris Duarte,1630537,1610612754,14.166,49.0,IND,1868,11.1,25,1,3.19
2021-22,792,James Harden,201935,1610612755,15.332,182.3,PHI,1589,44.9,32,12,1.72
2021-22,1627,James Harden,201935,1610612751,14.869,414.7,BKN,3315,50.5,32,12,1.28
2020-21,1319,James Harden,201935,1610612751,14.728,317.8,BKN,2683,48.3,31,11,1.99
2020-21,290,James Harden,201935,1610612745,14.579,59.5,HOU,601,40.7,31,11,2.15
2019-20,2483,James Harden,201935,1610612745,13.672,582.4,HOU,5268,48.5,30,10,1.96
2018-19,2867,James Harden,201935,1610612745,15.103,722.0,HOU,5778,49.6,29,9,1.42
2017-18,2551,James Harden,201935,1610612745,14.73,634.1,HOU,5134,50.3,28,8,1.87
2016-17,2947,James Harden,201935,1610612745,13.783,749.9,HOU,6147,53.1,27,7,1.0
2015-16,3125,James Harden,201935,1610612745,14.287,541.9,HOU,6334,35.9,26,6,2.23
2014-15,2981,James Harden,201935,1610612745,14.779,503.1,HOU,5970,34.2,25,5,2.06
2013-14,2778,James Harden,201935,1610612745,14.337,382.2,HOU,5598,28.6,24,4,2.04
2022-23,2135,James Harden,201935,1610612755,15.532,497.5,PHI,4207,45.7,33,13,1.0
2020-21,836,James Wiseman,1630164,1610612744,13.399,34.5,GSW,1808,8.5,20,0,5.0
2022-23,262,James Wiseman,1630164,1610612744,14.1,10.9,GSW,570,8.1,22,1,5.0
2022-23,580,James Wiseman,1630164,1610612765,15.13,25.1,DET,1218,8.2,22,1,5.0
2021-22,316,Collin Sexton,1629012,1610612739,15.401,37.4,CLE,646,22.6,23,3,1.98
2020-21,2115,Collin Sexton,1629012,1610612739,15.422,351.5,CLE,4287,31.9,22,2,1.56
2019-20,2143,Collin Sexton,1629012,1610612739,15.342,302.8,CLE,4405,26.9,21,1,1.0
2018-19,2605,Collin Sexton,1629012,1610612739,15.86,477.1,CLE,5246,34.4,20,0,1.0
2022-23,1145,Collin Sexton,1629012,1610612762,14.611,178.0,UTA,2390,30.6,24,4,1.26
2021-22,1849,Jeff Green,201145,1610612743,15.009,64.6,DEN,3740,6.9,35,13,3.43
2020-21,1835,Jeff Green,201145,1610612751,14.247,77.6,BKN,3795,8.6,34,12,3.97
2019-20,407,Jeff Green,201145,1610612745,12.754,18.6,HOU,892,9.8,33,11,4.96
2019-20,553,Jeff Green,201145,1610612762,14.897,21.5,UTA,1136,7.6,33,11,4.18
2018-19,2097,Jeff Green,201145,1610612764,14.049,90.0,WAS,4389,8.8,32,10,4.24
2017-18,1828,Jeff Green,201145,1610612739,14.53,109.8,CLE,3712,12.2,31,9,3.54
2016-17,1534,Jeff Green,201145,1610612753,15.121,87.6,ORL,3030,11.5,30,8,3.6
2015-16,709,Jeff Green,201145,1610612746,15.292,42.5,LAC,1393,12.0,29,7,3.81
2015-16,1544,Jeff Green,201145,1610612763,16.161,110.0,MEM,2965,13.8,29,7,3.48
2014-15,1361,Jeff Green,201145,1610612763,16.297,84.0,MEM,2577,12.0,28,6,3.21
2014-15,1093,Jeff Green,201145,1610612738,14.019,62.4,BOS,2214,12.1,28,6,3.11
2013-14,2805,Jeff Green,201145,1610612738,15.596,179.1,BOS,5490,12.6,27,5,3.06
2022-23,1093,Jeff Green,201145,1610612743,15.345,46.8,DEN,2187,8.4,36,14,3.95
2021-22,1462,Cedi Osman,1626224,1610612739,15.547,99.8,CLE,2939,13.1,27,4,2.8
2020-21,1511,Cedi Osman,1626224,1610612739,15.543,117.6,CLE,3040,14.9,26,3,3.0
2019-20,1910,Cedi Osman,1626224,1610612739,15.313,115.9,CLE,3920,11.6,25,2,3.15
2018-19,2444,Cedi Osman,1626224,1610612739,15.96,189.0,CLE,4898,14.5,24,1,3.55
2017-18,672,Cedi Osman,1626224,1610612739,14.692,33.7,CLE,1368,10.1,23,0,2.93
2022-23,1534,Cedi Osman,1626224,1610612739,15.561,85.3,CLE,3071,10.7,28,5,3.34
2021-22,2731,Jayson Tatum,1628369,1610612738,14.919,348.8,BOS,5462,25.7,24,4,3.31
2020-21,2290,Jayson Tatum,1628369,1610612738,14.904,307.2,BOS,4663,26.5,23,3,3.31
2019-20,2265,Jayson Tatum,1628369,1610612738,14.572,225.2,BOS,4654,19.9,22,2,4.1
2018-19,2455,Jayson Tatum,1628369,1610612738,14.233,161.3,BOS,5052,13.5,21,1,3.03
2017-18,2443,Jayson Tatum,1628369,1610612738,15.172,138.8,BOS,4836,11.4,20,0,3.12
2022-23,2732,Jayson Tatum,1628369,1610612738,14.743,358.0,BOS,5587,26.1,25,5,3.21
2022-23,914,Jaylin Williams,1631119,1610612760,14.694,43.0,OKC,1896,9.3,20,0,5.0
2021-22,975,Jaylen Nowell,1629669,1610612750,13.756,102.5,MIN,2058,21.7,22,2,2.16
2020-21,759,Jaylen Nowell,1629669,1610612750,14.094,63.7,MIN,1598,17.0,21,1,1.91
2019-20,151,Jaylen Nowell,1629669,1610612750,13.258,8.9,MIN,333,12.1,20,0,1.74
2022-23,1252,Jaylen Nowell,1629669,1610612750,13.922,117.6,MIN,2669,19.0,23,3,2.07
2021-22,2220,Jaylen Brown,1627759,1610612738,14.81,215.1,BOS,4479,19.5,25,5,2.63
2020-21,1999,Jaylen Brown,1627759,1610612738,14.509,154.9,BOS,4116,15.6,24,4,2.48
2019-20,1934,Jaylen Brown,1627759,1610612738,14.637,123.2,BOS,3945,12.8,23,3,2.54
2018-19,1913,Jaylen Brown,1627759,1610612738,13.846,91.8,BOS,3969,10.0,22,2,2.4
2017-18,2152,Jaylen Brown,1627759,1610612738,15.024,103.8,BOS,4297,9.6,21,1,2.51
2016-17,1341,Jaylen Brown,1627759,1610612738,15.042,58.6,BOS,2661,8.8,20,0,2.89
2022-23,2405,Jaylen Brown,1627759,1610612738,14.461,249.5,BOS,4965,20.8,26,6,2.64
2021-22,121,Jay Scrubb,1630206,1610612746,12.446,6.7,LAC,271,11.9,21,1,1.93
2020-21,84,Jay Scrubb,1630206,1610612746,14.835,4.0,LAC,176,9.2,20,0,2.99
2022-23,30,Jay Scrubb,1630206,1610612753,15.413,3.2,ORL,63,19.8,22,2,1.59
2021-22,20,Jay Huff,1630643,1610612747,12.318,0.8,LAL,44,8.9,24,0,5.0
2022-23,95,Jay Huff,1630643,1610612764,13.587,3.1,WAS,208,6.6,25,1,5.0
2021-22,1398,Jaxson Hayes,1629637,1610612740,14.803,41.5,NOP,2832,5.9,22,2,4.52
2020-21,964,Jaxson Hayes,1629637,1610612740,14.192,32.3,NOP,2020,6.8,21,1,4.91
2019-20,1080,Jaxson Hayes,1629637,1610612740,13.309,36.8,NOP,2353,7.1,20,0,5.0
2022-23,610,Jaxson Hayes,1629637,1610612740,14.519,18.3,NOP,1256,6.0,23,3,4.54
2021-22,1519,Javonte Green,1629750,1610612741,14.741,35.7,CHI,3087,4.7,28,2,3.06
2020-21,345,Javonte Green,1629750,1610612738,15.058,12.8,BOS,701,7.3,27,1,2.7
2020-21,128,Javonte Green,1629750,1610612741,14.446,4.1,CHI,267,6.4,27,1,2.1
2019-20,468,Javonte Green,1629750,1610612738,14.492,18.5,BOS,978,7.8,26,0,2.41
2022-23,480,Javonte Green,1629750,1610612741,13.802,14.5,CHI,996,6.3,29,3,3.19
2021-22,168,Charles Bassey,1629646,1610612755,15.368,6.5,PHI,340,7.5,21,0,5.0
2022-23,508,Charles Bassey,1629646,1610612759,14.07,21.6,SAS,1068,8.6,22,1,4.96
2022-23,124,Jason Preston,1630554,1610612746,14.195,24.1,LAC,257,39.6,23,0,1.0
2021-22,1810,Jarrett Allen,1628386,1610612739,15.691,78.1,CLE,3585,8.3,24,4,5.0
2020-21,1544,Jarrett Allen,1628386,1610612739,15.592,67.9,CLE,3102,8.4,23,3,4.94
2020-21,320,Jarrett Allen,1628386,1610612751,13.378,12.6,BKN,677,8.3,23,3,5.0
2019-20,1852,Jarrett Allen,1628386,1610612751,14.302,62.4,BKN,3863,6.8,22,2,5.0
2018-19,2096,Jarrett Allen,1628386,1610612751,14.345,70.8,BKN,4397,6.7,21,1,5.0
2017-18,1441,Jarrett Allen,1628386,1610612751,15.183,50.6,BKN,2912,6.9,20,0,4.98
2022-23,2208,Jarrett Allen,1628386,1610612739,15.443,73.3,CLE,4383,6.5,25,5,5.0
2021-22,1880,Jarred Vanderbilt,1629020,1610612750,14.373,58.8,MIN,3861,6.4,23,3,4.04
2020-21,1139,Jarred Vanderbilt,1629020,1610612750,14.14,44.9,MIN,2388,8.0,22,2,4.25
2019-20,41,Jarred Vanderbilt,1629020,1610612743,13.857,1.3,DEN,91,6.2,21,1,4.19
2019-20,5,Jarred Vanderbilt,1629020,1610612750,14.091,0.1,MIN,11,3.9,21,1,3.99
2018-19,69,Jarred Vanderbilt,1629020,1610612743,13.145,2.9,DEN,159,8.3,20,0,3.32
2022-23,1254,Jarred Vanderbilt,1629020,1610612762,14.787,63.3,UTA,2571,10.0,24,4,3.58
2022-23,606,Jarred Vanderbilt,1629020,1610612747,14.578,23.0,LAL,1288,7.3,24,4,3.8
2021-22,2126,Jaren Jackson Jr.,1628991,1610612763,14.303,92.7,MEM,4396,8.8,22,3,4.44
2020-21,258,Jaren Jackson Jr.,1628991,1610612763,13.689,11.2,MEM,533,9.2,21,2,4.67
2019-20,1622,Jaren Jackson Jr.,1628991,1610612763,13.893,75.1,MEM,3470,9.3,20,1,4.55
2018-19,1515,Jaren Jackson Jr.,1628991,1610612763,15.954,73.6,MEM,2962,9.3,19,0,4.36
2022-23,1788,Jaren Jackson Jr.,1628991,1610612763,13.83,86.2,MEM,3749,10.0,23,4,4.77
2022-23,163,Jared Rhoden,1631197,1610612765,15.299,7.2,DET,401,7.0,23,0,3.26
2021-22,360,Jared Butler,1630215,1610612762,14.625,60.1,UTA,742,33.2,21,0,1.42
2022-23,31,Jared Butler,1630215,1610612760,15.055,9.6,OKC,160,23.9,22,1,1.99
2021-22,1803,Jaden McDaniels,1630183,1610612750,13.847,62.6,MIN,3775,7.2,21,1,3.67
2020-21,1511,Jaden McDaniels,1630183,1610612750,14.306,49.9,MIN,3166,6.6,20,0,3.8
2022-23,2407,Jaden McDaniels,1630183,1610612750,14.247,97.3,MIN,4996,8.2,22,2,3.13
2022-23,2268,Jaden Ivey,1631093,1610612765,14.818,349.9,DET,4744,29.9,21,0,1.83
2022-23,680,Jaden Hardy,1630702,1610612742,14.994,79.9,DAL,1468,21.8,20,0,1.61
2022-23,51,Jack White,1631298,1610612743,16.381,2.6,DEN,132,7.2,25,0,3.5
2021-22,1981,Isaac Okoro,1630171,1610612739,15.457,78.7,CLE,3923,7.8,21,1,2.34
2020-21,2173,Isaac Okoro,1630171,1610612739,15.531,102.8,CLE,4352,9.1,20,0,2.54
2022-23,1652,Isaac Okoro,1630171,1610612739,15.316,47.7,CLE,3270,5.7,22,2,2.85
2021-22,1802,Immanuel Quickley,1630193,1610612752,15.272,302.7,NYK,3535,33.6,22,1,1.41
2020-21,1243,Immanuel Quickley,1630193,1610612752,15.479,189.0,NYK,2459,29.8,21,0,1.39
2022-23,2307,Immanuel Quickley,1630193,1610612752,15.366,318.7,NYK,4698,26.5,23,2,1.75
2021-22,2335,Herbert Jones,1630529,1610612740,14.741,108.7,NOP,4723,9.4,23,0,3.79
2022-23,1912,Herbert Jones,1630529,1610612740,14.394,102.4,NOP,3963,10.8,24,1,3.8
2021-22,163,Haywood Highsmith,1629312,1610612748,14.304,4.9,MIA,335,6.1,25,1,3.8
2018-19,40,Haywood Highsmith,1629312,1610612755,14.443,1.2,PHI,88,5.7,22,0,3.41
2022-23,943,Haywood Highsmith,1629312,1610612748,15.39,32.2,MIA,1930,6.5,26,2,3.76
2021-22,2042,Clint Capela,203991,1610612737,14.666,64.7,ATL,4165,6.4,28,7,5.0
2020-21,1898,Clint Capela,203991,1610612737,14.815,70.0,ATL,3831,7.4,27,6,5.0
2019-20,1279,Clint Capela,203991,1610612745,13.435,,HOU,2736,,26,5,5.0
2018-19,2249,Clint Capela,203991,1610612745,15.104,103.2,HOU,4501,9.1,25,4,5.0
2017-18,2034,Clint Capela,203991,1610612745,14.909,94.3,HOU,4058,9.4,24,3,4.99
2016-17,1551,Clint Capela,203991,1610612745,14.004,67.4,HOU,3164,9.1,23,2,5.0
2015-16,1471,Clint Capela,203991,1610612745,14.284,51.8,HOU,2963,7.3,22,1,4.8
2014-15,90,Clint Capela,203991,1610612745,13.513,3.3,HOU,189,7.8,21,0,5.0
2022-23,1730,Clint Capela,203991,1610612737,14.139,52.2,ATL,3622,6.1,29,8,5.0
2021-22,2587,Harrison Barnes,203084,1610612758,14.188,134.7,SAC,5356,10.6,29,9,3.55
2020-21,2102,Harrison Barnes,203084,1610612758,14.177,116.8,SAC,4354,11.4,28,8,3.72
2019-20,2482,Harrison Barnes,203084,1610612758,14.395,122.6,SAC,5126,10.0,27,7,3.6
2018-19,1584,Harrison Barnes,203084,1610612742,14.96,101.6,DAL,3260,12.5,26,6,3.82
2018-19,949,Harrison Barnes,203084,1610612758,13.312,43.2,SAC,2048,9.5,26,6,3.38
2017-18,2634,Harrison Barnes,203084,1610612742,15.748,188.9,DAL,5226,13.8,25,5,3.61
2016-17,2804,Harrison Barnes,203084,1610612742,16.512,169.5,DAL,5372,11.5,24,4,3.93
2015-16,2041,Harrison Barnes,203084,1610612744,13.856,91.4,GSW,4211,9.4,23,3,3.57
2014-15,2318,Harrison Barnes,203084,1610612744,13.541,110.5,GSW,4750,10.3,22,2,3.39
2013-14,2204,Harrison Barnes,203084,1610612744,14.562,114.2,GSW,4420,10.6,21,1,3.6
2022-23,2644,Harrison Barnes,203084,1610612758,13.699,136.8,SAC,5549,10.8,30,10,3.84
2021-22,1675,Coby White,1629632,1610612741,15.007,173.3,CHI,3390,20.4,22,2,1.01
2020-21,2156,Coby White,1629632,1610612741,14.713,376.0,CHI,4471,34.3,21,1,1.08
2019-20,1674,Coby White,1629632,1610612741,14.397,203.0,CHI,3495,24.2,20,0,1.73
2022-23,1716,Coby White,1629632,1610612741,14.19,157.6,CHI,3553,18.8,23,3,1.55
2021-22,1269,Hamidou Diallo,1628977,1610612765,14.819,82.8,DET,2610,12.8,23,3,2.46
2020-21,465,Hamidou Diallo,1628977,1610612765,15.21,32.5,DET,923,13.9,22,2,2.9
2020-21,761,Hamidou Diallo,1628977,1610612760,14.33,73.7,OKC,1585,19.5,22,2,2.16
2019-20,896,Hamidou Diallo,1628977,1610612760,14.393,43.4,OKC,1861,9.7,21,1,2.67
2018-19,526,Hamidou Diallo,1628977,1610612760,13.948,16.9,OKC,1110,6.5,20,0,2.05
2022-23,996,Hamidou Diallo,1628977,1610612765,14.153,59.6,DET,2072,12.2,24,4,2.85
2021-22,1866,Cody Martin,1628998,1610612766,14.471,99.6,CHA,3809,10.8,26,2,2.24
