"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2017-04-02","MIL","DAL","08:43",17,5,1,1,1,1,2,0.5,0.5,0,2,0,3,0,1,1,1,0.6666666666666666,0.6532166666666667,0.8333333333333334,0.8333333333333334,0,0,0,0,0,26.31578947368421
"2017-04-04","MIL","OKC","29:56",58,6,2,6,0.3333333333333333,0,2,0,0,2,2,2,0,0,0.5,0.5,0,0.25,0.54058125,0.25,0.3333333333333333,0,2,0.3333333333333333,0,0,16.923076923076923
"2017-04-06","MIL","IND","14:53",31,2,1,2,0.5,0,2,0,0,0,2,0,0,0,1,1,0,0.5,0.4927,0.25,0.25,0,0,0,0,0,15.625
"2017-04-08","MIL","PHI","12:33",23,4,2,2,1,0,1,0,0,0,2,2,0,0,0.5,0.5,0,0.3333333333333333,0.47831666666666667,0.6666666666666666,0.6666666666666666,0,0,0,0,0,20
"2017-04-10","MIL","CHA","00:54",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-04-12","MIL","BOS","32:15",64,3,1,2,0.5,0,2,0,0,1,0,2,0,0,0,0,0,0.5,0.5006625,0.25,0.3,0,1,0.5,0,0,11.940298507462686
"2017-10-23","MIL","CHA","03:26",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.45825,0,0,0,0,0,0,0,12.5
"2017-11-18","MIL","DAL","04:48",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6024,0,0,0,0,0,0,0,11.11111111111111
"2017-11-20","MIL","WAS","14:38",26,8,4,5,0.8,0,1,0,0,0,6,2,0,0,0.75,0.75,0,0.16666666666666666,0.6687083333333333,0.6666666666666666,0.6666666666666666,0,0,0,0,0,26.923076923076923
"2017-11-22","MIL","PHX","09:25",19,5,1,3,0.3333333333333333,1,2,0.5,0.5,0,0,2,3,0,0,0,1,0.4,0.53418,0.5,0.5,2,1,0.3333333333333333,0,0,22.727272727272727
"2017-11-25","MIL","UTA","07:09",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-11-28","MIL","SAC","04:23",9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.32835,0,0,0,0,0,0,0,20
"2017-11-30","MIL","POR","00:53",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3549,0,0,0,0,0,0,0,33.333333333333336
"2017-12-08","MIL","DAL","05:16",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.67605,0,0,0,0,0,0,0,8.333333333333334
"2017-12-09","MIL","UTA","23:05",48,4,2,4,0.5,0,1,0,0,0,2,2,0,0,0.5,0.5,0,0.2,0.61136,0.4,0.4,0,0,0,0,0,11.320754716981131
