"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2017-10-19","LAL","LAC","12:13",27,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.3755,1,1,0,0,0,0,0,6.666666666666667
"2017-10-20","LAL","PHX","06:48",17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4078,0,0,0,0,0,0,0,11.76470588235294
"2017-12-20","LAL","HOU","03:03",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-12-22","LAL","GSW","07:00",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-12-23","LAL","POR","11:45",23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4271,0,0,0,0,0,0,0,7.692307692307692
"2017-12-25","LAL","MIN","10:22",21,2,1,2,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.46145,0.5,0.5,0,0,0,0,0,13.636363636363637
"2017-12-27","LAL","MEM","04:17",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,9.090909090909092
"2017-12-29","LAL","LAC","06:07",13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.345,0,0,0,0,0,0,0,7.692307692307692
"2017-12-31","LAL","HOU","08:42",17,4,2,5,0.4,0,0,0,0,0,4,0,0,0,1,1,0,0,0.52328,0.4,0.4,0,0,0,0,0,22.727272727272727
"2018-01-01","LAL","MIN","17:46",36,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0.673775,0,0.16666666666666666,0,0,0,0,0,15
