"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2019-11-03","NYK","SAC","04:11",9,4,1,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0.5,0.590175,0.5,0.6666666666666666,0,0,0,0,0,40
"2019-11-06","NYK","DET","03:43",7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40685,0,0,0,0,0,0,0,28.57142857142857
"2019-11-10","NYK","CLE","04:17",7,2,1,2,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4934,0.5,0.5,0,0,0,0,0,20
"2019-11-12","NYK","CHI","02:04",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.62235,0,0,0,0,0,0,0,20
"2019-11-27","NYK","TOR","09:35",19,2,1,3,0.3333333333333333,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5492666666666667,0.3333333333333333,0.3333333333333333,0,0,0,0,0,18.181818181818183
"2019-12-02","NYK","MIL","18:01",34,6,1,4,0.25,1,5,0.2,0.2,1,0,2,3,0,0,0,1,0.5555555555555556,0.4532611111111111,0.2777777777777778,0.3,0,0,0,0,0,25.64102564102564
"2019-12-10","NYK","POR","05:25",11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5781,0,0,0,0,0,0,0,8.333333333333334
"2019-12-26","NYK","BKN","01:00",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-08","NYK","UTA","04:59",10,3,1,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0.5,0.509375,0.5,0.75,0,0,0,0,0,20
"2020-12-27","NYK","MIL","01:16",3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.4478,0,0.5,0,0,0,0,0,50
"2020-12-31","NYK","TOR","00:45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-01-10","NYK","DEN","01:47",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-01-17","NYK","BOS","03:17",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
"2021-04-04","PHI","MEM","07:54",14,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5311833333333333,0,0,0,1,0.5,0,0,15
"2021-05-03","ORL","DET","31:35",64,14,4,7,0.5714285714285714,1,1,1,1,3,6,2,3,0,0.75,0.75,1,0.125,0.4776875,0.6875,0.7,0,1,0.14285714285714285,0,0,15.068493150684931
"2021-05-05","ORL","BOS","30:25",64,7,2,7,0.2857142857142857,1,2,0.5,0.5,0,2,2,0,3,0.5,0.5,0,0.2222222222222222,0.4357611111111111,0.3888888888888889,0.3888888888888889,0,1,0.14285714285714285,1,0.5,13.698630136986301
