"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2020-12-25","DAL","LAL","01:42",4,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.6117,1,1,0,0,0,0,0,25
"2020-12-27","DAL","LAC","08:46",16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.367475,0,0,0,0,0,0,0,10
"2020-12-30","DAL","CHA","03:40",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5004,0,0,0,0,0,0,0,12.5
"2021-01-03","DAL","CHI","00:16",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2973,0,0,0,0,0,0,0,33.333333333333336
"2021-01-13","DAL","CHA","01:15",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2021-01-15","DAL","MIL","04:48",10,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5559,1,1,0,0,0,0,0,10
"2021-01-17","DAL","CHI","15:21",34,4,2,2,1,0,2,0,0,0,0,4,0,0,0,0,0,0.5,0.57735,0.5,0.5,0,0,0,0,0,10.256410256410255
"2021-01-18","DAL","TOR","03:20",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5307,0,0,0,0,0,0,0,16.666666666666668
"2021-01-23","DAL","HOU","12:00",26,2,1,3,0.3333333333333333,0,1,0,0,0,0,2,0,0,0,0,0,0.25,0.4913625,0.25,0.25,0,0,0,0,0,12.5
"2021-01-27","DAL","UTA","01:34",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,25
"2021-01-29","DAL","UTA","03:36",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4151,0,0,0,0,0,0,0,22.22222222222222
"2021-12-26","MEM","SAC","02:57",8,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4823,1,1,0,0,0,0,0,11.11111111111111
"2021-12-31","MEM","SAS","00:06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
