"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2015-10-28","HOU","DEN","15:50",32,8,4,4,1,0,0,0,0,0,8,0,0,0,1,1,0,0,0.678975,1,1,0,0,0,0,0,11.76470588235294
"2015-10-30","HOU","GSW","21:10",43,17,7,9,0.7777777777777778,0,0,0,0,3,8,6,0,0,0.5714285714285714,0.6666666666666666,0,0,0.7244777777777778,0.7777777777777778,0.7727272727272727,2,0,0,0,0,21.56862745098039
"2015-11-01","HOU","MIA","22:16",46,7,3,4,0.75,0,0,0,0,1,4,2,0,0,0.6666666666666666,1,0,0,0.6272,0.75,0.7,2,0,0,0,0,11.76470588235294
"2015-11-02","HOU","OKC","02:39",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-11-04","HOU","ORL","02:58",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-11-06","HOU","SAC","06:36",15,3,1,4,0.25,0,0,0,0,1,2,0,0,0,1,1,0,0,0.511875,0.25,0.3,0,2,0.5,0,0,35
"2015-11-07","HOU","LAC","04:10",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-11-13","HOU","DEN","12:51",29,5,1,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0.8574,1,0.8333333333333334,2,0,0,0,0,12.121212121212121
"2015-11-14","HOU","DAL","11:03",20,5,2,3,0.6666666666666666,0,0,0,0,1,2,2,0,0,0.5,0.5,0,0,0.5922666666666666,0.6666666666666666,0.625,0,1,0.3333333333333333,0,0,14.814814814814813
"2015-11-16","HOU","BOS","11:57",26,4,2,3,0.6666666666666666,0,0,0,0,0,4,0,0,0,1,1,0,0,0.4330333333333333,0.6666666666666666,0.6666666666666666,0,0,0,0,0,17.24137931034483
"2015-11-18","HOU","POR","06:28",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-11-20","HOU","MEM","05:06",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.076923076923077
"2015-11-21","HOU","NYK","11:00",19,3,1,2,0.5,0,0,0,0,1,2,0,0,0,1,1,0,0,0.40675,0.5,0.5,0,0,0,0,0,12.5
"2015-11-30","HOU","DET","07:49",17,4,2,2,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0.8154,1,1,0,0,0,0,0,10.526315789473685
"2015-12-04","HOU","DAL","12:39",25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404675,0,0,0,1,0.25,0,0,14.285714285714285
