"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2020-12-23","WAS","PHI","28:06",67,7,0,0,0,2,2,1,1,1,0,0,6,0,0,0,1,1,0.53265,1.5,1.1666666666666667,0,0,0,0,0,5.714285714285714
"2020-12-26","WAS","ORL","14:40",33,5,1,1,1,1,1,1,1,0,2,0,3,0,1,1,1,0.5,0.4622,1.25,1.25,0,0,0,0,0,5.714285714285714
"2020-12-27","WAS","ORL","36:11",73,9,3,6,0.5,1,5,0.2,0.2,0,4,2,3,0,0.6666666666666666,0.6666666666666666,1,0.45454545454545453,0.519340909090909,0.4090909090909091,0.4090909090909091,0,0,0,0,0,13.953488372093023
"2020-12-29","WAS","CHI","26:19",57,9,0,1,0,3,5,0.6,0.6,0,0,0,9,0,0,0,1,0.8333333333333334,0.5637333333333333,0.75,0.75,0,0,0,0,0,11.475409836065573
"2020-12-31","WAS","CHI","24:32",54,6,2,2,1,0,3,0,0,2,4,0,0,0,1,1,0,0.6,0.57977,0.4,0.5,0,0,0,0,0,9.67741935483871
"2021-01-01","WAS","MIN","27:14",61,11,1,2,0.5,3,5,0.6,0.6,0,0,2,9,0,0,0,1,0.7142857142857143,0.5417500000000001,0.7857142857142857,0.7857142857142857,0,0,0,0,0,11.940298507462686
"2021-01-03","WAS","BKN","16:23",37,3,0,2,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.5,0.4613125,0.375,0.375,0,0,0,0,0,13.513513513513514
"2021-01-06","WAS","PHI","15:31",34,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,5.2631578947368425
"2021-01-08","WAS","BOS","14:25",31,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.5673833333333334,0,0,0,1,1,0,0,9.375
"2021-01-09","WAS","MIA","31:38",73,20,2,6,0.3333333333333333,5,9,0.5555555555555556,0.5555555555555556,1,2,2,12,3,0.5,0.5,0.8,0.6,0.5125666666666667,0.6333333333333333,0.6666666666666666,0,1,0.16666666666666666,1,0.1111111111111111,19.23076923076923
"2021-01-11","WAS","PHX","19:48",37,6,3,6,0.5,0,0,0,0,0,2,4,0,0,0.3333333333333333,0.5,0,0,0.43670000000000003,0.5,0.5,2,0,0,0,0,18.181818181818183
"2021-01-31","WAS","BKN","15:41",32,2,1,2,0.5,0,2,0,0,0,2,0,0,0,1,1,0,0.5,0.5050625,0.25,0.25,0,0,0,0,0,11.11111111111111
"2021-02-02","WAS","POR","23:04",44,13,3,3,1,2,3,0.6666666666666666,0.6666666666666666,1,2,4,6,0,0.3333333333333333,0.3333333333333333,1,0.5,0.49527499999999997,1,1.0833333333333333,0,0,0,0,0,12.5
"2021-02-03","WAS","MIA","32:55",65,13,2,4,0.5,3,5,0.6,0.6,0,2,2,9,0,0.5,0.5,1,0.5555555555555556,0.5905111111111112,0.7222222222222222,0.7222222222222222,0,0,0,0,0,14.473684210526315
"2021-02-05","WAS","MIA","16:06",35,4,2,3,0.6666666666666666,0,2,0,0,0,2,2,0,0,0.5,0.5,0,0.4,0.52285,0.4,0.4,0,0,0,0,0,12.5
"2021-02-07","WAS","CHA","15:25",34,4,2,3,0.6666666666666666,0,2,0,0,0,4,0,0,0,1,1,0,0.4,0.4901,0.4,0.4,0,0,0,0,0,15
"2021-02-08","WAS","CHI","28:27",60,4,2,4,0.5,0,5,0,0,0,2,2,0,0,0.5,0.5,0,0.5555555555555556,0.5404722222222222,0.2222222222222222,0.2,0,0,0,0,0,15.942028985507248
"2021-02-10","WAS","TOR","26:40",58,9,1,1,1,2,6,0.3333333333333333,0.3333333333333333,1,2,0,6,0,1,1,1,0.8571428571428571,0.5692071428571428,0.5714285714285714,0.5625,0,0,0,0,0,15.625
"2021-02-12","WAS","NYK","21:30",47,8,2,4,0.5,1,5,0.2,0.2,1,2,2,3,0,0.5,0.5,1,0.5555555555555556,0.5128222222222223,0.3888888888888889,0.4,0,1,0.25,0,0,22.22222222222222
"2021-02-14","WAS","BOS","27:59",60,8,1,4,0.25,1,5,0.2,0.2,3,2,0,3,0,1,1,1,0.5555555555555556,0.4460888888888889,0.2777777777777778,0.36363636363636365,0,0,0,0,0,18.571428571428573
"2021-02-15","WAS","HOU","19:39",45,5,1,1,1,1,3,0.3333333333333333,0.3333333333333333,0,2,0,3,0,1,1,1,0.75,0.5666375,0.625,0.625,0,0,0,0,0,8
"2021-02-17","WAS","DEN","20:40",46,3,0,0,0,1,3,0.3333333333333333,0.3333333333333333,0,0,0,0,3,0,0,0,1,0.4936,0.5,0.5,0,0,0,0,0,8
"2021-02-20","WAS","POR","11:05",23,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.6716,1,1,0,0,0,0,0,3.846153846153846
"2021-02-22","WAS","LAL","22:32",50,8,1,2,0.5,2,3,0.6666666666666666,0.6666666666666666,0,2,0,6,0,1,1,1,0.6,0.5606099999999999,0.8,0.8,0,1,0.5,0,0,10.526315789473685
"2021-02-23","WAS","LAC","11:31",25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.484375,0,0,0,0,0,0,0,14.285714285714285
"2021-02-25","WAS","DEN","19:31",39,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.4833,1,1,0,0,0,0,0,2.5
"2021-02-27","WAS","MIN","20:49",48,2,1,4,0.25,0,2,0,0,0,2,0,0,0,1,1,0,0.3333333333333333,0.4490083333333333,0.16666666666666666,0.16666666666666666,0,1,0.25,0,0,12.280701754385966
"2021-02-28","WAS","BOS","06:46",16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.47775,0,0,0,0,0,0,0,5.88235294117647
"2021-03-02","WAS","MEM","25:41",55,10,2,3,0.6666666666666666,2,4,0.5,0.5,0,4,0,6,0,1,1,1,0.5714285714285714,0.4609857142857143,0.7142857142857143,0.7142857142857143,0,0,0,0,0,15.789473684210527
