"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2021-12-18","HOU","DET","02:46",7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.5163,0,0,0,0,0,0,0,28.57142857142857
"2021-12-20","HOU","CHI","03:33",7,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.6528,1,1,0,0,0,0,0,14.285714285714285
"2021-12-22","HOU","MIL","04:20",9,2,1,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0.5,0.59035,0.5,0.5,0,0,0,0,0,22.22222222222222
"2021-12-27","HOU","CHA","28:32",59,17,2,3,0.6666666666666666,4,10,0.4,0.4,1,0,4,12,0,0,0,1,0.7692307692307693,0.5486961538461539,0.6153846153846154,0.6538461538461539,0,0,0,0,0,24.615384615384613
"2021-12-31","HOU","MIA","04:21",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2022-01-01","HOU","DEN","14:59",32,10,1,2,0.5,2,4,0.5,0.5,2,2,0,0,6,1,1,0,0.6666666666666666,0.6231583333333334,0.6666666666666666,0.7142857142857143,0,0,0,0,0,22.5
"2022-01-03","HOU","PHI","02:56",7,3,0,0,0,1,2,0.5,0.5,0,0,0,0,3,0,0,0,1,0.4518,0.75,0.75,0,0,0,0,0,25
"2022-01-07","HOU","DAL","07:30",17,3,0,0,0,1,3,0.3333333333333333,0.3333333333333333,0,0,0,0,3,0,0,0,1,0.40625,0.5,0.5,0,0,0,0,0,15
"2022-03-04","HOU","DEN","02:21",5,6,1,1,1,1,1,1,1,1,0,2,3,0,0,0,1,0.5,0.602925,1.25,1.5,2,0,0,0,0,33.333333333333336
"2022-03-07","HOU","MIA","03:08",7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.58805,0,0,0,0,0,0,0,20
"2022-12-04","IND","POR","12:59",26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.510375,0,0,0,0,0,0,0,12.903225806451614
"2022-12-05","IND","GSW","06:42",13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.44865,0,0,0,0,0,0,0,14.285714285714285
"2023-01-14","IND","MEM","09:48",22,5,1,2,0.5,0,3,0,0,3,2,0,0,0,1,1,0,0.6,0.52066,0.2,0.4166666666666667,0,0,0,0,0,23.076923076923077
"2023-01-18","IND","OKC","23:15",51,13,4,8,0.5,1,3,0.3333333333333333,0.3333333333333333,2,4,4,3,0,0.5,1,1,0.2727272727272727,0.5353,0.5,0.5416666666666666,4,1,0.125,0,0,22.058823529411764
"2023-01-20","IND","DEN","07:04",14,3,0,3,0,1,3,0.3333333333333333,0.3333333333333333,0,0,0,3,0,0,0,1,0.5,0.5268166666666666,0.25,0.25,0,0,0,0,0,28.571428571428573
"2023-01-24","IND","CHI","05:58",13,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.4812166666666667,0,0,0,0,0,0,0,18.75
"2023-01-25","IND","ORL","04:14",9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5436,0,0,0,0,0,0,0,20
