"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2013-11-20","UTA","NOP","12:00",22,11,4,6,0.6666666666666666,1,2,0.5,0.5,0,2,6,0,3,0.25,0.25,0,0.25,0.51094375,0.6875,0.6875,0,1,0.16666666666666666,0,0,30.769230769230766
"2013-11-22","UTA","DAL","19:36",39,5,2,4,0.5,0,4,0,0,1,0,4,0,0,0,0,0,0.5,0.54415,0.25,0.3125,0,0,0,0,0,22.727272727272727
"2013-11-24","UTA","OKC","20:11",37,4,2,7,0.2857142857142857,0,2,0,0,0,0,4,0,0,0,0,0,0.2222222222222222,0.43185555555555555,0.2222222222222222,0.2222222222222222,0,1,0.14285714285714285,0,0,22.727272727272727
"2013-11-25","UTA","CHI","34:13",61,14,3,12,0.25,2,5,0.4,0.4,2,2,4,3,3,0.3333333333333333,0.3333333333333333,0.5,0.29411764705882354,0.49265,0.35294117647058826,0.3888888888888889,0,0,0,0,0,32.3943661971831
"2013-11-29","UTA","PHX","25:25",49,13,5,10,0.5,1,4,0.25,0.25,0,0,10,0,3,0,0,0,0.2857142857142857,0.46235714285714286,0.4642857142857143,0.4642857142857143,0,4,0.4,0,0,26.923076923076923
"2013-11-30","UTA","PHX","32:12",61,20,2,9,0.2222222222222222,4,6,0.6666666666666666,0.6666666666666666,4,0,4,9,3,0,0,0.75,0.4,0.46748666666666666,0.5333333333333333,0.5882352941176471,0,0,0,0,0,25.35211267605634
"2013-12-02","UTA","HOU","36:48",70,21,6,12,0.5,3,6,0.5,0.6,0,2,10,3,6,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.44283235294117645,0.5833333333333334,0.5833333333333334,0,1,0.08333333333333333,0,0,22.78481012658228
"2013-12-04","UTA","IND","38:49",73,13,3,10,0.3,2,2,1,1,1,2,4,6,0,0.3333333333333333,0.3333333333333333,1,0.16666666666666666,0.49069999999999997,0.5,0.5,0,0,0,0,0,17.073170731707318
"2013-12-06","UTA","POR","16:21",30,7,3,8,0.375,0,1,0,0,1,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0.1111111111111111,0.4652833333333333,0.3333333333333333,0.35,0,0,0,0,0,31.25
"2013-12-07","UTA","SAC","44:08",87,19,3,11,0.2727272727272727,2,8,0.25,0.25,7,2,4,6,0,0.3333333333333333,0.3333333333333333,1,0.42105263157894735,0.47765526315789475,0.3157894736842105,0.4090909090909091,0,1,0.09090909090909091,0,0,26
"2013-12-09","UTA","POR","34:32",63,15,4,10,0.4,1,2,0.5,0.5,4,0,8,3,0,0,0,1,0.16666666666666666,0.45244166666666663,0.4583333333333333,0.5357142857142857,0,1,0.1,0,0,22.22222222222222
"2013-12-11","UTA","SAC","21:27",39,11,3,4,0.75,1,4,0.25,0.25,2,2,4,3,0,0.3333333333333333,0.3333333333333333,1,0.5,0.5338625,0.5625,0.625,0,0,0,0,0,17.391304347826086
"2013-12-13","UTA","DEN","36:43",67,10,2,7,0.2857142857142857,1,5,0.2,0.2,3,2,2,0,3,0.5,0.5,0,0.4166666666666667,0.4924458333333333,0.2916666666666667,0.34615384615384615,0,0,0,0,0,19.444444444444446
"2013-12-14","UTA","SAS","32:08",62,20,8,14,0.5714285714285714,1,4,0.25,0.25,1,4,12,3,0,0.25,0.25,1,0.2222222222222222,0.4827166666666667,0.5277777777777778,0.5263157894736842,0,0,0,0,0,31.818181818181817
"2013-12-16","UTA","MIA","30:57",62,3,0,4,0,1,4,0.25,0.25,0,0,0,3,0,0,0,1,0.5,0.44825625,0.1875,0.1875,0,0,0,0,0,12.857142857142858
"2013-12-18","UTA","ORL","40:28",77,30,8,12,0.6666666666666666,4,8,0.5,0.5,2,4,12,12,0,0.25,0.25,1,0.4,0.5298575,0.7,0.725,0,1,0.08333333333333333,0,0,25
"2013-12-20","UTA","ATL","20:27",39,2,1,5,0.2,0,3,0,0,0,2,0,0,0,1,1,0,0.375,0.47985,0.125,0.125,0,1,0.2,0,0,19.565217391304348
"2013-12-21","UTA","CHA","26:23",47,20,3,8,0.375,4,8,0.5,0.5,2,2,4,6,6,0.3333333333333333,0.3333333333333333,0.5,0.5,0.49538125,0.5625,0.5882352941176471,0,0,0,0,0,32.69230769230769
"2013-12-23","UTA","MEM","35:40",66,18,3,6,0.5,2,6,0.3333333333333333,0.3333333333333333,6,2,4,6,0,0.3333333333333333,0.3333333333333333,1,0.5,0.4879708333333333,0.5,0.6,0,0,0,0,0,24.65753424657534
