"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2015-10-28","LAL","MIN","13:00",25,2,1,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0.5,0.398225,0.5,0.5,0,0,0,0,0,11.538461538461538
"2015-10-30","LAL","SAC","18:18",41,3,0,3,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.4,0.43964,0.3,0.3,0,0,0,0,0,13.043478260869565
"2015-11-01","LAL","DAL","11:00",19,4,2,3,0.6666666666666666,0,0,0,0,0,2,2,0,0,0.5,0.5,0,0,0.5907333333333333,0.6666666666666666,0.6666666666666666,0,1,0.3333333333333333,0,0,13.636363636363637
"2015-11-03","LAL","DEN","08:34",17,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5398333333333333,0,0,0,1,0.5,0,0,19.047619047619047
"2015-11-10","LAL","MIA","14:58",31,2,1,3,0.3333333333333333,0,0,0,0,0,0,2,0,0,0,0,0,0,0.3641666666666667,0.3333333333333333,0.3333333333333333,0,1,0.3333333333333333,0,0,16.666666666666668
"2015-11-11","LAL","ORL","10:11",18,5,1,1,1,1,2,0.5,0.5,0,0,2,3,0,0,0,1,0.6666666666666666,0.4573833333333333,0.8333333333333334,0.8333333333333334,0,0,0,0,0,25
"2015-11-16","LAL","PHX","13:47",30,7,2,2,1,1,2,0.5,0.5,0,0,4,3,0,0,0,1,0.5,0.4292125,0.875,0.875,0,0,0,0,0,18.18181818181818
"2015-11-24","LAL","GSW","12:00",21,7,2,3,0.6666666666666666,1,2,0.5,0.5,0,2,2,3,0,0.5,0.5,1,0.4,0.42447,0.7,0.7,0,1,0.3333333333333333,0,0,32
"2015-12-06","LAL","DET","12:00",24,8,2,4,0.5,1,1,1,1,1,0,4,0,3,0,0,0,0.2,0.52957,0.7,0.8,0,1,0.25,0,0,20.833333333333336
"2015-12-07","LAL","TOR","12:09",23,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.40825,0,0.3333333333333333,0,0,0,0,0,14.285714285714285
"2015-12-09","LAL","MIN","17:10",33,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.5418,1.5,1.5,0,0,0,0,0,5.555555555555555
"2015-12-11","LAL","SAS","20:25",37,4,2,2,1,0,2,0,0,0,2,2,0,0,0.5,0.5,0,0.5,0.5908,0.5,0.5,0,0,0,0,0,9.090909090909092
"2015-12-12","LAL","HOU","17:06",41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5571,0,0,0,0,0,0,0,15.217391304347826
"2015-12-15","LAL","MIL","01:49",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5016,0,0,0,0,0,0,0,40
"2015-12-19","LAL","OKC","12:00",24,3,1,4,0.25,0,0,0,0,1,2,0,0,0,1,1,0,0,0.4504,0.25,0.25,0,0,0,0,0,14.814814814814813
"2015-12-23","LAL","OKC","12:00",22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4741,0,0,0,0,0,0,0,8.695652173913043
"2015-12-25","LAL","LAC","12:00",24,6,3,4,0.75,0,0,0,0,0,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0,0.4492,0.75,0.75,0,0,0,0,0,14.814814814814813
"2015-12-27","LAL","MEM","07:18",17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38595,0,0,0,0,0,0,0,8.333333333333334
"2016-01-03","LAL","PHX","06:07",11,2,1,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0.6666666666666666,0.48268333333333335,0.3333333333333333,0.3333333333333333,0,0,0,0,0,33.333333333333336
"2016-01-05","LAL","GSW","19:15",37,9,3,6,0.5,1,2,0.5,0.5,0,2,4,3,0,0.3333333333333333,0.3333333333333333,1,0.25,0.5369625,0.5625,0.5625,0,2,0.3333333333333333,0,0,20.930232558139537
"2016-01-08","LAL","OKC","18:11",34,2,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0.5,0.605125,0.5,0.5,0,0,0,0,0,7.317073170731708
