"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2020-12-30","CHA","DAL","03:40",7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.472425,0,0,0,0,0,0,0,25
"2021-01-11","CHA","NYK","01:21",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-01-13","CHA","DAL","01:15",4,3,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.9119,1,0.75,2,0,0,0,0,33.333333333333336
"2021-03-13","CHA","TOR","04:35",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909090909092
"2021-03-17","CHA","DEN","07:08",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-03-20","CHA","LAC","03:50",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-03-24","CHA","HOU","02:58",6,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.4643,1,1,0,0,0,0,0,16.666666666666668
"2021-04-02","CHA","IND","01:41",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-04-04","CHA","BOS","03:07",7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.56955,0,0,0,0,0,0,0,37.5
"2021-04-09","CHA","MIL","03:33",8,3,1,1,1,0,1,0,0,1,2,0,0,0,1,1,0,0.5,0.439775,0.5,0.75,0,0,0,0,0,37.5
"2021-04-16","CHA","BKN","34:54",73,21,8,12,0.6666666666666666,1,2,0.5,0.5,2,12,4,3,0,0.75,0.75,1,0.14285714285714285,0.5513107142857143,0.6785714285714286,0.7,0,1,0.08333333333333333,0,0,18.75
"2021-04-18","CHA","POR","07:11",14,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5895333333333334,0,0,0,1,0.5,0,0,35.71428571428571
"2021-04-20","CHA","NYK","03:02",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-04-22","CHA","CHI","15:00",30,8,2,3,0.6666666666666666,0,0,0,0,4,4,0,0,0,1,1,0,0,0.5707333333333333,0.6666666666666666,0.8,0,1,0.3333333333333333,0,0,16.129032258064516
"2021-04-25","CHA","BOS","01:46",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05-02","CHA","MIA","04:53",7,4,2,3,0.6666666666666666,0,0,0,0,0,4,0,0,0,1,1,0,0,0.48993333333333333,0.6666666666666666,0.6666666666666666,0,0,0,0,0,30
"2021-05-04","CHA","DET","06:30",12,4,2,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.5962,1,1,4,0,0,0,0,14.285714285714285
"2021-05-06","CHA","CHI","04:25",8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34895,0,0,0,0,0,0,0,20
"2021-05-13","CHA","LAC","03:53",8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3866,0,0.25,0,0,0,0,0,25
"2021-10-24","CHA","BKN","00:47",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2931,0,0,0,0,0,0,0,100
"2021-12-10","CHA","SAC","11:05",23,7,3,5,0.6,0,0,0,0,1,2,4,0,0,0.3333333333333333,1,0,0,0.5663199999999999,0.6,0.7,4,0,0,0,0,21.428571428571427
"2022-01-21","CHA","OKC","02:34",6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,14.285714285714285
"2022-01-23","CHA","ATL","02:24",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-02-12","WAS","SAC","01:23",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-04-08","WAS","NYK","07:20",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,11.76470588235294
"2022-04-10","WAS","CHA","18:35",39,11,4,7,0.5714285714285714,0,0,0,0,3,2,6,0,0,0.25,0.5,0,0,0.5197857142857143,0.5714285714285714,0.55,4,0,0,0,0,22
"2022-10-28","WAS","IND","01:01",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
