"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2018-10-22","LAL","SAS","16:38",37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.554025,0,0,0,0,0,0,0,9.523809523809524
"2018-10-24","LAL","PHX","22:05",47,4,0,4,0,1,2,0.5,0.5,1,0,0,3,0,0,0,1,0.3333333333333333,0.4883916666666666,0.25,0.2857142857142857,0,1,0.25,0,0,14.545454545454545
"2018-10-25","LAL","DEN","12:24",25,4,2,3,0.6666666666666666,0,0,0,0,0,2,2,0,0,0.5,0.5,0,0,0.5370666666666667,0.6666666666666666,0.6666666666666666,0,0,0,0,0,9.67741935483871
"2018-10-27","LAL","SAS","01:56",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5793,0,0,0,0,0,0,0,33.333333333333336
"2018-11-04","LAL","TOR","09:32",19,2,1,1,1,0,2,0,0,0,2,0,0,0,1,1,0,0.6666666666666666,0.5032666666666666,0.3333333333333333,0.3333333333333333,0,0,0,0,0,14.285714285714286
"2018-11-10","LAL","SAC","01:39",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2018-11-17","LAL","ORL","10:30",23,8,0,0,0,2,3,0.6666666666666666,0.6666666666666666,2,0,0,6,0,0,0,1,1,0.54,1,1,0,0,0,0,0,15.384615384615383
"2018-11-18","LAL","MIA","03:15",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-25","LAL","ORL","08:58",20,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5138,0,0.16666666666666666,0,2,1,0,0,13.636363636363637
"2018-11-27","LAL","DEN","12:00",25,3,0,1,0,1,5,0.2,0.2,0,0,0,3,0,0,0,1,0.8333333333333334,0.5416916666666667,0.25,0.25,0,0,0,0,0,28.57142857142857
"2018-11-30","LAL","DAL","01:59",5,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.5586,1.5,1.5,0,0,0,0,0,20
"2018-12-02","LAL","PHX","07:04",16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.48525,0,0,0,0,0,0,0,12.5
"2018-12-05","LAL","SAS","11:36",27,4,0,2,0,1,5,0.2,0.2,1,0,0,3,0,0,0,1,0.7142857142857143,0.5516285714285715,0.21428571428571427,0.25,0,0,0,0,0,35.71428571428571
"2018-12-07","LAL","SAS","11:13",23,6,0,0,0,2,3,0.6666666666666666,0.6666666666666666,0,0,0,6,0,0,0,1,1,0.5321,1,1,0,0,0,0,0,11.11111111111111
"2018-12-08","LAL","MEM","23:01",46,11,1,2,0.5,3,6,0.5,0.5,0,2,0,6,3,1,1,0.6666666666666666,0.75,0.55100625,0.6875,0.6875,0,1,0.5,0,0,15.254237288135593
"2018-12-10","LAL","MIA","11:49",24,3,0,2,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.5,0.5008125,0.375,0.375,0,0,0,0,0,17.857142857142854
"2018-12-13","LAL","HOU","09:03",16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.53655,0,0,0,0,0,0,0,5.88235294117647
"2018-12-15","LAL","CHA","17:47",38,12,1,4,0.25,3,6,0.5,0.5,1,2,0,9,0,1,1,1,0.6,0.502515,0.55,0.5454545454545454,0,0,0,0,0,26.19047619047619
"2018-12-16","LAL","WAS","27:30",62,5,2,3,0.6666666666666666,0,3,0,0,1,2,2,0,0,0.5,0.5,0,0.5,0.5374916666666667,0.3333333333333333,0.4166666666666667,0,0,0,0,0,14.0625
"2018-12-18","LAL","BKN","05:30",12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.56565,0,0,0,0,0,0,0,15.384615384615383
"2018-12-25","LAL","GSW","01:50",5,6,0,0,0,2,2,1,1,0,0,0,6,0,0,0,1,1,0.473025,1.5,1.5,0,0,0,0,0,40
