"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2013-10-30","NYK","MIL","34:18",66,18,7,11,0.6363636363636364,0,1,0,0,4,2,12,0,0,0.14285714285714285,0.14285714285714285,0,0.08333333333333333,0.5723791666666667,0.5833333333333334,0.6428571428571429,0,0,0,0,0,23.61111111111111
"2013-10-31","NYK","CHI","36:45",70,13,4,11,0.36363636363636365,1,3,0.3333333333333333,0.3333333333333333,2,4,4,0,3,0.5,0.5,0,0.21428571428571427,0.4422142857142857,0.39285714285714285,0.43333333333333335,0,1,0.09090909090909091,0,0,20.238095238095237
"2013-11-03","NYK","MIN","38:07",77,8,3,9,0.3333333333333333,0,3,0,0,2,0,6,0,0,0,0,0,0.25,0.51125,0.25,0.3076923076923077,0,0,0,0,0,18.181818181818183
"2013-11-05","NYK","CHA","37:18",73,14,4,8,0.5,2,7,0.2857142857142857,0.2857142857142857,0,0,8,3,3,0,0,0.5,0.4666666666666667,0.49667333333333336,0.4666666666666667,0.4666666666666667,2,0,0,0,0,20
"2013-11-08","NYK","CHA","37:47",70,15,4,11,0.36363636363636365,2,6,0.3333333333333333,0.3333333333333333,1,4,4,6,0,0.5,0.5,1,0.35294117647058826,0.5122970588235294,0.4117647058823529,0.4117647058823529,0,1,0.09090909090909091,0,0,21.176470588235293
"2013-11-10","NYK","SAS","24:50",49,7,2,5,0.4,1,5,0.2,0.2,0,2,2,3,0,0.5,0.5,1,0.5,0.5259,0.35,0.35,0,2,0.4,0,0,20
"2013-11-13","NYK","ATL","31:37",59,10,5,9,0.5555555555555556,0,3,0,0,0,4,6,0,0,0.4,0.4,0,0.25,0.504525,0.4166666666666667,0.4166666666666667,0,1,0.1111111111111111,0,0,17.91044776119403
"2013-11-14","NYK","HOU","40:37",77,8,3,7,0.42857142857142855,0,2,0,0,2,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0.2222222222222222,0.5785722222222223,0.3333333333333333,0.4,0,0,0,0,0,16.666666666666668
"2013-11-16","NYK","ATL","33:23",65,7,2,4,0.5,1,4,0.25,0.25,0,2,2,3,0,0.5,0.5,1,0.5,0.58334375,0.4375,0.4375,0,0,0,0,0,15
"2013-11-27","NYK","LAC","35:25",67,12,3,5,0.6,2,4,0.5,0.5,0,2,4,6,0,0.3333333333333333,0.3333333333333333,1,0.4444444444444444,0.5313833333333333,0.6666666666666666,0.6666666666666666,0,0,0,0,0,17.333333333333332
"2013-11-29","NYK","DEN","37:10",74,8,2,5,0.4,1,4,0.25,0.25,1,0,4,3,0,0,0,1,0.4444444444444444,0.5553611111111111,0.3888888888888889,0.4,2,1,0.2,0,0,15.66265060240964
"2013-12-01","NYK","NOP","37:38",69,12,2,4,0.5,2,6,0.3333333333333333,0.3333333333333333,2,4,0,3,3,1,1,0.5,0.6,0.5244449999999999,0.5,0.5,0,0,0,0,0,16.049382716049383
"2013-12-05","NYK","BKN","28:30",48,13,2,4,0.5,3,5,0.6,0.6,0,2,2,3,6,0.5,0.5,0.3333333333333333,0.5555555555555556,0.4962722222222222,0.7222222222222222,0.7222222222222222,0,1,0.25,0,0,22.22222222222222
"2013-12-06","NYK","ORL","26:38",50,14,4,5,0.8,2,5,0.4,0.4,0,0,8,6,0,0,0,1,0.5,0.53118,0.7,0.7,2,0,0,0,0,16.949152542372882
"2013-12-08","NYK","BOS","20:21",37,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.4399166666666667,0,0,0,0,0,0,0,15.789473684210526
"2013-12-10","NYK","CLE","18:51",36,6,3,6,0.5,0,2,0,0,0,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0.25,0.5245375,0.375,0.375,0,0,0,0,0,20
"2013-12-23","NYK","ORL","25:27",46,13,2,7,0.2857142857142857,2,4,0.5,0.5,3,0,4,3,3,0,0,0.5,0.36363636363636365,0.4761545454545455,0.45454545454545453,0.5,0,2,0.2857142857142857,0,0,30.769230769230766
"2014-01-07","NYK","DET","30:36",59,12,3,7,0.42857142857142855,1,2,0.5,0.5,3,2,4,3,0,0.3333333333333333,0.3333333333333333,1,0.2222222222222222,0.49825555555555556,0.5,0.5454545454545454,0,0,0,0,0,22.388059701492537
"2014-01-09","NYK","MIA","38:30",70,13,5,8,0.625,1,6,0.16666666666666666,0.2,0,4,6,0,3,0.4,0.4,0,0.42857142857142855,0.5087192307692308,0.4642857142857143,0.4642857142857143,0,0,0,0,0,20.77922077922078
"2014-01-11","NYK","PHI","35:37",67,9,3,10,0.3,0,1,0,0,3,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0.09090909090909091,0.44961818181818186,0.2727272727272727,0.34615384615384615,0,0,0,0,0,17.105263157894736
