"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2013-11-01","SAS","LAL","00:20",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-11-06","SAS","PHX","02:18",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-11-10","SAS","NYK","06:59",13,4,1,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0.3551,1,1,0,0,0,0,0,13.333333333333334
"2013-11-11","SAS","PHI","07:08",16,6,1,4,0.25,0,0,0,0,4,0,2,0,0,0,0,0,0,0.415275,0.25,0.42857142857142855,0,1,0.25,0,0,44.44444444444444
"2013-11-13","SAS","WAS","08:25",17,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0.3333333333333333,0.43701666666666666,0,0.125,0,0,0,0,0,33.333333333333336
"2013-11-15","SAS","UTA","00:21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-11-20","SAS","BOS","01:04",3,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.372,1,1,0,0,0,0,0,66.66666666666667
"2013-11-23","SAS","CLE","18:49",39,8,2,5,0.4,0,0,0,0,4,2,2,0,0,0.5,0.5,0,0,0.42844,0.4,0.5714285714285714,0,0,0,0,0,21.951219512195124
"2013-11-25","SAS","NOP","09:53",21,6,2,3,0.6666666666666666,0,0,0,0,2,0,4,0,0,0,0,0,0,0.4941333333333333,0.6666666666666666,0.75,0,1,0.3333333333333333,0,0,22.727272727272727
"2013-11-27","SAS","OKC","00:18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-11-29","SAS","ORL","24:54",49,13,2,5,0.4,1,1,1,1,6,4,0,3,0,1,1,1,0.16666666666666666,0.48539166666666667,0.5833333333333334,0.7222222222222222,0,1,0.2,0,0,16.666666666666664
"2013-12-07","SAS","IND","05:46",14,4,2,3,0.6666666666666666,0,0,0,0,0,0,4,0,0,0,0,0,0,0.5508666666666667,0.6666666666666666,0.6666666666666666,0,0,0,0,0,18.75
"2013-12-10","SAS","TOR","07:40",15,4,2,2,1,0,1,0,0,0,2,2,0,0,0.5,0.5,0,0.3333333333333333,0.5389499999999999,0.6666666666666666,0.6666666666666666,0,0,0,0,0,20
"2013-12-11","SAS","MIL","19:22",36,10,5,10,0.5,0,0,0,0,0,2,8,0,0,0.2,0.25,0,0,0.51134,0.5,0.5,2,1,0.1,0,0,22.727272727272727
"2013-12-13","SAS","MIN","05:28",10,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5439,0.5,0.5,0,0,0,0,0,18.181818181818183
"2013-12-14","SAS","UTA","01:02",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4032,0,0,0,2,1,0,0,66.66666666666667
"2013-12-16","SAS","LAC","11:35",23,4,1,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0.4284,1,0.6666666666666666,0,0,0,0,0,20.833333333333336
"2013-12-18","SAS","PHX","16:28",34,4,2,5,0.4,0,0,0,0,0,2,2,0,0,0.5,0.5,0,0,0.5271,0.4,0.4,0,0,0,0,0,16.216216216216218
"2013-12-19","SAS","GSW","13:36",28,5,1,2,0.5,1,1,1,1,0,2,0,3,0,1,1,1,0.3333333333333333,0.41581666666666667,0.8333333333333334,0.8333333333333334,0,0,0,0,0,21.21212121212121
"2013-12-21","SAS","OKC","01:40",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3802,0,0,0,0,0,0,0,33.333333333333336
"2013-12-25","SAS","HOU","05:38",10,4,1,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0.5,0.469475,0.5,0.6666666666666666,0,0,0,0,0,27.272727272727273
"2013-12-29","SAS","SAC","00:12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
