"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2015-11-20","CHA","PHI","02:22",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-12-02","CHA","GSW","06:31",15,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.6396,1,0.5,0,0,0,0,0,12.5
"2015-12-07","CHA","DET","03:44",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4034,0,0,0,0,0,0,0,25
"2015-12-09","CHA","MIA","06:30",15,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,12.5
"2015-12-11","CHA","MEM","03:31",9,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.54375,1.5,1.5,0,0,0,0,0,11.11111111111111
"2016-01-02","CHA","OKC","03:49",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4773,0,0,0,0,0,0,0,10
"2016-01-13","CHA","ATL","05:12",13,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.46869999999999995,0,0,0,0,0,0,0,21.428571428571427
"2016-01-16","CHA","MIL","03:50",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-01-20","CHA","OKC","03:29",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-01-23","CHA","NYK","02:39",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-01-25","CHA","SAC","05:47",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
