"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2017-10-28","NOP","CLE","02:56",8,2,1,2,0.5,0,2,0,0,0,0,2,0,0,0,0,0,0.5,0.4855125,0.25,0.25,0,1,0.5,0,0,30.769230769230766
"2017-11-15","NOP","TOR","02:10",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-12-11","NOP","HOU","00:14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-12-19","NOP","WAS","03:54",8,4,0,0,0,1,1,1,1,1,0,0,3,0,0,0,1,1,0.5769,1.5,1,0,0,0,0,0,20
"2017-12-22","NOP","ORL","05:21",11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.429575,0,0,0,0,0,0,0,25
"2017-12-23","NOP","MIA","03:29",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3544,0,0,0,0,0,0,0,12.5
"2018-02-03","NOP","MIN","01:47",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2418,0,0,0,0,0,0,0,16.666666666666668
"2018-02-12","NOP","DET","01:10",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.55515,0,0,0,0,0,0,0,33.333333333333336
"2018-02-14","NOP","LAL","02:42",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-03-18","NOP","BOS","03:15",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-03-24","NOP","HOU","06:33",13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.560425,0,0,0,0,0,0,0,12.5
"2018-04-06","NOP","PHX","03:30",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423,0,0,0,0,0,0,0,10
"2018-04-11","NOP","SAS","01:05",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4851,0,0,0,0,0,0,0,50
