"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2013-10-30","MEM","SAS","07:54",16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39845,0,0,0,0,0,0,0,10.526315789473685
"2013-11-01","MEM","DET","16:51",31,5,2,2,1,0,0,0,0,1,2,2,0,0,0.5,1,0,0,0.4744,1,0.8333333333333334,2,0,0,0,0,15.625
"2013-11-02","MEM","DAL","05:55",14,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.4116,1,1,0,0,0,0,0,6.666666666666667
"2013-11-04","MEM","BOS","07:43",15,4,2,6,0.3333333333333333,0,0,0,0,0,4,0,0,0,1,1,0,0,0.5099166666666667,0.3333333333333333,0.3333333333333333,0,1,0.16666666666666666,0,0,44.44444444444444
"2013-11-06","MEM","NOP","24:17",42,7,3,4,0.75,0,0,0,0,1,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0,0.542225,0.75,0.7,0,0,0,0,0,10.869565217391305
"2013-11-09","MEM","GSW","01:28",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-11-11","MEM","IND","17:16",30,5,2,8,0.25,0,0,0,0,1,2,2,0,0,0.5,1,0,0,0.538475,0.25,0.2777777777777778,2,2,0.25,0,0,25.714285714285715
"2013-11-13","MEM","TOR","23:53",44,5,2,5,0.4,0,0,0,0,1,4,0,0,0,1,1,0,0,0.47885999999999995,0.4,0.4166666666666667,0,1,0.2,0,0,10.909090909090908
"2013-11-17","MEM","SAC","02:22",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3349,0,0,0,0,0,0,0,25
"2013-11-22","MEM","SAS","15:34",27,6,3,4,0.75,0,0,0,0,0,6,0,0,0,1,1,0,0,0.547025,0.75,0.75,0,0,0,0,0,16.129032258064516
"2013-11-25","MEM","HOU","15:35",29,6,3,5,0.6,0,0,0,0,0,4,2,0,0,0.6666666666666666,1,0,0,0.47709999999999997,0.6,0.6,2,1,0.2,0,0,14.705882352941176
"2013-11-27","MEM","BOS","24:11",43,11,3,5,0.6,0,0,0,0,5,6,0,0,0,1,1,0,0,0.45838,0.6,0.6875,0,0,0,0,0,15.384615384615383
"2013-11-30","MEM","BKN","29:29",53,10,5,11,0.45454545454545453,0,0,0,0,0,8,2,0,0,0.8,1,0,0,0.5258818181818182,0.45454545454545453,0.45454545454545453,2,0,0,0,0,20.689655172413794
"2013-12-03","MEM","PHX","32:32",61,21,8,11,0.7272727272727273,0,0,0,0,5,8,8,0,0,0.5,0.6666666666666666,0,0,0.5273272727272728,0.7272727272727273,0.7,4,1,0.09090909090909091,0,0,22.857142857142858
"2013-12-05","MEM","LAC","07:51",15,6,3,5,0.6,0,0,0,0,0,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0,0.49363999999999997,0.6,0.6,0,0,0,0,0,31.57894736842105
"2013-12-13","MEM","NOP","23:42",39,12,5,8,0.625,0,0,0,0,2,8,2,0,0,0.8,0.8,0,0,0.4866625,0.625,0.6666666666666666,0,0,0,0,0,25
"2013-12-15","MEM","MIN","06:54",11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3638,0,0,0,0,0,0,0,15.384615384615383
"2013-12-17","MEM","LAL","21:42",43,9,4,6,0.6666666666666666,0,0,0,0,1,4,4,0,0,0.5,1,0,0,0.6243,0.6666666666666666,0.6428571428571429,4,1,0.16666666666666666,0,0,20
"2013-12-18","MEM","DAL","23:04",39,12,6,11,0.5454545454545454,0,0,0,0,0,8,4,0,0,0.6666666666666666,0.8,0,0,0.4968727272727273,0.5454545454545454,0.5454545454545454,2,1,0.09090909090909091,0,0,25
"2013-12-21","MEM","NYK","25:19",44,10,5,6,0.8333333333333334,0,0,0,0,0,8,2,0,0,0.8,1,0,0,0.6169666666666667,0.8333333333333334,0.8333333333333334,2,0,0,0,0,11.11111111111111
"2013-12-23","MEM","UTA","20:15",39,8,3,7,0.42857142857142855,0,0,0,0,2,4,2,0,0,0.6666666666666666,1,0,0,0.5569,0.42857142857142855,0.5,2,1,0.14285714285714285,0,0,19.047619047619047
"2013-12-26","MEM","HOU","13:21",23,4,2,6,0.3333333333333333,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.42969999999999997,0.3333333333333333,0.3333333333333333,2,2,0.3333333333333333,0,0,20
"2013-12-28","MEM","DEN","22:50",43,17,6,8,0.75,0,0,0,0,5,8,4,0,0,0.6666666666666666,0.8,0,0,0.49145,0.75,0.7083333333333334,2,1,0.125,0,0,23.52941176470588
"2013-12-30","MEM","CHI","23:28",47,8,3,4,0.75,0,0,0,0,2,6,0,0,0,1,1,0,0,0.536875,0.75,0.6666666666666666,0,1,0.25,0,0,12.280701754385966
"2014-01-02","MEM","PHX","27:43",52,16,8,11,0.7272727272727273,0,0,0,0,0,8,8,0,0,0.5,0.6666666666666666,0,0,0.5228454545454545,0.7272727272727273,0.7272727272727273,4,1,0.09090909090909091,0,0,16.417910447761194
"2014-01-03","MEM","DEN","19:00",37,5,1,5,0.2,0,0,0,0,3,2,0,0,0,1,1,0,0,0.397,0.2,0.3125,0,0,0,0,0,22.5
"2014-01-05","MEM","DET","17:11",33,17,7,11,0.6363636363636364,0,0,0,0,3,12,2,0,0,0.8571428571428571,1,0,0,0.5602090909090909,0.6363636363636364,0.7083333333333334,2,1,0.09090909090909091,0,0,36.58536585365854
"2014-01-07","MEM","SAS","22:25",44,6,2,3,0.6666666666666666,0,0,0,0,2,4,0,0,0,1,1,0,0,0.4473666666666667,0.6666666666666666,0.75,0,0,0,0,0,9.803921568627452
"2014-01-10","MEM","PHX","30:06",54,10,5,9,0.5555555555555556,0,0,0,0,0,8,2,0,0,0.8,0.8,0,0,0.5478000000000001,0.5555555555555556,0.5,0,0,0,0,0,16.176470588235293
"2014-01-12","MEM","ATL","19:47",36,6,3,6,0.5,0,0,0,0,0,4,2,0,0,0.6666666666666666,1,0,0,0.6158,0.5,0.42857142857142855,2,1,0.16666666666666666,0,0,20
"2014-01-14","MEM","OKC","22:07",42,6,3,6,0.5,0,0,0,0,0,4,2,0,0,0.6666666666666666,1,0,0,0.5650166666666666,0.5,0.5,2,0,0,0,0,15.686274509803921
"2014-01-15","MEM","MIL","21:14",38,14,7,8,0.875,0,0,0,0,0,10,4,0,0,0.7142857142857143,1,0,0,0.6134875,0.875,0.7777777777777778,4,0,0,0,0,20
"2014-01-17","MEM","SAC","12:04",23,3,1,2,0.5,0,0,0,0,1,0,2,0,0,0,0,0,0,0.3945,0.5,0.5,0,0,0,0,0,12.5
"2014-01-20","MEM","NOP","09:58",17,4,1,3,0.3333333333333333,0,0,0,0,2,2,0,0,0,1,1,0,0,0.5533666666666667,0.3333333333333333,0.5,0,0,0,0,0,26.31578947368421
"2014-01-24","MEM","HOU","17:27",35,10,5,8,0.625,0,0,0,0,0,8,2,0,0,0.8,1,0,0,0.6145125,0.625,0.625,2,0,0,0,0,19.51219512195122
"2014-01-25","MEM","HOU","17:08",35,2,1,5,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4084,0.2,0.2,2,1,0.2,0,0,14.634146341463415
"2014-01-28","MEM","POR","12:29",23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4296,0,0,0,0,0,0,0,3.571428571428571
"2014-01-29","MEM","SAC","17:22",32,6,3,6,0.5,0,0,0,0,0,6,0,0,0,1,1,0,0,0.45554999999999995,0.5,0.5,0,0,0,0,0,16.666666666666668
"2014-01-31","MEM","MIN","13:32",25,6,3,5,0.6,0,0,0,0,0,6,0,0,0,1,1,0,0,0.52946,0.6,0.6,0,2,0.4,0,0,17.857142857142854
"2014-02-01","MEM","MIL","06:36",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3778,0,0,0,0,0,0,0,8.333333333333334
"2014-02-03","MEM","OKC","06:12",13,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5185,1,1,0,0,0,0,0,7.142857142857142
"2014-02-08","MEM","ATL","14:06",26,2,1,3,0.3333333333333333,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5507666666666667,0.3333333333333333,0.3333333333333333,0,0,0,0,0,10
"2014-02-09","MEM","CLE","10:36",18,2,1,4,0.25,0,0,0,0,0,2,0,0,0,1,1,0,0,0.40735,0.25,0.25,0,0,0,0,0,19.047619047619047
"2014-02-11","MEM","WAS","13:45",25,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.4492,0,0.25,0,0,0,0,0,18.51851851851852
"2014-02-12","MEM","ORL","06:15",11,2,1,4,0.25,0,0,0,0,0,2,0,0,0,1,1,0,0,0.448075,0.25,0.25,0,2,0.5,0,0,30.769230769230766
"2014-02-18","MEM","NYK","07:12",14,2,1,2,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.60545,0.5,0.5,2,1,0.5,0,0,20
"2014-02-21","MEM","LAC","03:58",9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4828,0,0,0,0,0,0,0,27.272727272727273
"2014-02-22","MEM","CHA","06:02",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692307692
"2014-03-03","MEM","WAS","04:50",8,4,2,3,0.6666666666666666,0,0,0,0,0,4,0,0,0,1,1,0,0,0.5383666666666667,0.6666666666666666,0.6666666666666666,0,0,0,0,0,37.5
"2014-03-05","MEM","BKN","12:54",25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3861,0,0,0,0,0,0,0,11.538461538461538
"2014-03-08","MEM","CHA","03:44",10,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.7472,1,1,2,0,0,0,0,8.333333333333334
"2014-03-15","MEM","PHI","19:39",41,6,3,4,0.75,0,0,0,0,0,2,4,0,0,0.3333333333333333,1,0,0,0.616675,0.75,0.6,4,0,0,0,0,12.5
"2014-03-24","MEM","MIN","18:19",36,12,6,8,0.75,0,0,0,0,0,10,2,0,0,0.8333333333333334,1,0,0,0.539875,0.75,0.75,2,0,0,0,0,18.181818181818183
"2014-03-30","MEM","POR","10:47",20,5,1,2,0.5,0,0,0,0,3,2,0,0,0,1,1,0,0,0.564,0.5,0.625,0,0,0,0,0,20.833333333333336
"2014-03-31","MEM","DEN","09:40",21,3,1,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0.5821,1,1.5,0,0,0,0,0,4.3478260869565215
"2014-04-02","MEM","MIN","16:48",33,10,5,8,0.625,0,0,0,0,0,4,6,0,0,0.4,1,0,0,0.5153125,0.625,0.625,6,0,0,0,0,23.684210526315788
"2014-04-04","MEM","DEN","06:14",12,2,1,4,0.25,0,0,0,0,0,2,0,0,0,1,1,0,0,0.50395,0.25,0.25,0,0,0,0,0,20
"2014-04-06","MEM","SAS","21:55",45,9,3,5,0.6,0,0,0,0,3,2,4,0,0,0.3333333333333333,0.5,0,0,0.47359999999999997,0.6,0.5625,2,1,0.2,0,0,18
"2014-04-09","MEM","MIA","05:36",9,3,1,2,0.5,0,0,0,0,1,0,2,0,0,0,0,0,0,0.6104,0.5,0.5,2,0,0,0,0,27.272727272727273
"2014-04-11","MEM","PHI","17:06",37,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.3562,0.5,0.3333333333333333,0,0,0,0,0,10.256410256410255
"2014-04-13","MEM","LAL","19:40",37,4,2,8,0.25,0,0,0,0,0,4,0,0,0,1,1,0,0,0.5067375,0.25,0.25,0,1,0.125,0,0,18
"2014-04-14","MEM","PHX","09:05",15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3512,0,0,0,1,1,0,0,5.88235294117647
"2014-04-16","MEM","DAL","12:10",18,4,2,2,1,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.4827,1,1,2,0,0,0,0,17.391304347826086
"2014-10-28","LAL","HOU","21:35",39,11,5,7,0.7142857142857143,0,0,0,0,1,8,2,0,0,0.8,0.8,0,0,0.5390714285714285,0.7142857142857143,0.6875,0,0,0,0,0,17.77777777777778
"2014-10-29","LAL","PHX","32:38",64,14,6,10,0.6,0,0,0,0,2,4,8,0,0,0.3333333333333333,0.6666666666666666,0,0,0.48975,0.6,0.5833333333333334,6,1,0.1,0,0,16.216216216216218
"2014-10-31","LAL","LAC","20:08",40,10,5,6,0.8333333333333334,0,0,0,0,0,6,4,0,0,0.6,0.75,0,0,0.5415,0.8333333333333334,0.8333333333333334,2,0,0,0,0,15.555555555555555
"2014-11-01","LAL","GSW","20:50",44,13,5,7,0.7142857142857143,0,0,0,0,3,6,4,0,0,0.6,0.75,0,0,0.5026428571428572,0.7142857142857143,0.7222222222222222,2,1,0.14285714285714285,0,0,19.23076923076923
"2014-11-04","LAL","PHX","18:29",37,4,1,3,0.3333333333333333,0,0,0,0,2,2,0,0,0,1,1,0,0,0.5612333333333334,0.3333333333333333,0.4,0,0,0,0,0,16.27906976744186
"2014-11-09","LAL","CHA","22:10",42,10,5,5,1,0,0,0,0,0,10,0,0,0,1,1,0,0,0.63692,1,1,0,0,0,0,0,13.043478260869565
"2014-11-11","LAL","MEM","27:00",54,6,3,4,0.75,0,0,0,0,0,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0,0.646375,0.75,0.75,0,0,0,0,0,7.936507936507937
"2014-11-12","LAL","NOP","26:59",53,8,3,6,0.5,0,0,0,0,2,2,4,0,0,0.3333333333333333,0.5,0,0,0.4886333333333333,0.5,0.5714285714285714,2,3,0.5,0,0,14.516129032258064
"2014-11-14","LAL","SAS","20:00",37,6,3,5,0.6,0,0,0,0,0,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0,0.5579799999999999,0.6,0.5,0,0,0,0,0,17.94871794871795
"2014-11-16","LAL","GSW","25:43",54,10,5,10,0.5,0,0,0,0,0,8,2,0,0,0.8,1,0,0,0.46532999999999997,0.5,0.5,2,0,0,0,0,15.625
"2014-11-18","LAL","ATL","22:28",43,6,3,7,0.42857142857142855,0,0,0,0,0,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0,0.6416857142857142,0.42857142857142855,0.42857142857142855,0,1,0.14285714285714285,0,0,14.285714285714286
"2014-11-19","LAL","HOU","18:30",33,6,3,5,0.6,0,0,0,0,0,0,6,0,0,0,0,0,0,0.65566,0.6,0.6,6,0,0,0,0,11.363636363636363
"2014-11-21","LAL","DAL","12:15",24,4,2,2,1,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.6724,1,1,2,0,0,0,0,6.451612903225807
"2014-11-23","LAL","DEN","22:27",44,4,1,3,0.3333333333333333,0,0,0,0,2,2,0,0,0,1,1,0,0,0.6022666666666666,0.3333333333333333,0.4,0,1,0.3333333333333333,0,0,12.765957446808512
"2014-11-26","LAL","MEM","22:46",39,2,1,3,0.3333333333333333,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5768333333333333,0.3333333333333333,0.3333333333333333,2,2,0.6666666666666666,0,0,8.88888888888889
"2014-11-28","LAL","MIN","14:50",32,6,3,3,1,0,0,0,0,0,4,2,0,0,0.6666666666666666,1,0,0,0.5905666666666667,1,0.75,2,0,0,0,0,10.256410256410255
"2014-11-30","LAL","TOR","17:42",33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2.7777777777777777
"2014-12-02","LAL","DET","19:26",36,3,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.5948,1,0.75,2,0,0,0,0,9.30232558139535
"2014-12-03","LAL","WAS","22:26",44,4,1,2,0.5,0,0,0,0,2,0,2,0,0,0,0,0,0,0.63135,0.5,0.6666666666666666,2,0,0,0,0,6.122448979591836
"2014-12-05","LAL","BOS","29:44",60,6,2,4,0.5,0,0,0,0,2,2,2,0,0,0.5,0.5,0,0,0.583175,0.5,0.42857142857142855,0,1,0.25,0,0,10.606060606060606
"2014-12-07","LAL","NOP","29:48",58,12,5,6,0.8333333333333334,0,0,0,0,2,10,0,0,0,1,1,0,0,0.6792333333333334,0.8333333333333334,0.75,0,1,0.16666666666666666,0,0,12.5
"2014-12-09","LAL","SAC","25:33",49,11,5,5,1,0,0,0,0,1,10,0,0,0,1,1,0,0,0.69956,1,0.7857142857142857,0,0,0,0,0,11.666666666666668
"2014-12-12","LAL","SAS","20:34",38,2,1,3,0.3333333333333333,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5231,0.3333333333333333,0.3333333333333333,2,1,0.3333333333333333,0,0,8.88888888888889
"2014-12-14","LAL","MIN","20:56",41,6,3,6,0.5,0,0,0,0,0,6,0,0,0,1,1,0,0,0.6282,0.5,0.5,0,0,0,0,0,15.555555555555555
