"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2018-10-17","SAC","UTA","12:07",26,6,3,6,0.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0.4308166666666667,0.5,0.5,2,1,0.16666666666666666,0,0,21.428571428571427
"2018-10-19","SAC","NOP","32:38",77,19,7,7,1,0,3,0,0,5,4,10,0,0,0.2857142857142857,0.3333333333333333,0,0.3,0.602325,0.7,0.7307692307692307,2,0,0,0,0,16.27906976744186
"2018-10-21","SAC","OKC","23:44",52,13,5,13,0.38461538461538464,0,0,0,0,3,6,4,0,0,0.6,1,0,0,0.5401461538461538,0.38461538461538464,0.43333333333333335,4,2,0.15384615384615385,0,0,30.64516129032258
"2018-10-23","SAC","DEN","32:20",65,20,8,10,0.8,1,1,1,1,1,6,10,3,0,0.375,0.42857142857142855,1,0.09090909090909091,0.556459090909091,0.8636363636363636,0.8333333333333334,2,0,0,0,0,22.22222222222222
"2018-10-24","SAC","MEM","22:20",45,13,4,8,0.5,0,0,0,0,5,4,4,0,0,0.5,0.5,0,0,0.4719875,0.5,0.5416666666666666,0,1,0.125,0,0,24.074074074074073
"2018-10-26","SAC","WAS","22:56",51,11,4,10,0.4,1,1,1,1,0,0,8,3,0,0,0,1,0.09090909090909091,0.49063636363636365,0.5,0.4583333333333333,6,0,0,0,0,27.868852459016395
"2018-10-29","SAC","MIA","16:57",36,7,2,6,0.3333333333333333,1,1,1,1,0,2,2,3,0,0.5,1,1,0.14285714285714285,0.50845,0.5,0.5,2,0,0,0,0,21.42857142857143
"2018-10-30","SAC","ORL","22:43",47,10,1,4,0.25,2,3,0.6666666666666666,0.6666666666666666,2,2,0,3,3,1,1,0.5,0.42857142857142855,0.47942142857142855,0.5714285714285714,0.5555555555555556,0,1,0.25,0,0,22.22222222222222
"2018-11-01","SAC","ATL","24:07",56,18,7,10,0.7,0,0,0,0,4,8,6,0,0,0.5714285714285714,0.6666666666666666,0,0,0.57622,0.7,0.75,2,1,0.1,0,0,20
"2018-11-04","SAC","MIL","20:18",46,11,2,7,0.2857142857142857,1,3,0.3333333333333333,0.3333333333333333,4,0,4,3,0,0,0,1,0.3,0.499855,0.35,0.39285714285714285,2,0,0,0,0,29.41176470588235
"2018-11-07","SAC","TOR","25:23",55,13,4,7,0.5714285714285714,1,1,1,1,2,2,6,3,0,0.25,0.25,1,0.125,0.45738125,0.6875,0.7222222222222222,0,0,0,0,0,18.333333333333336
"2018-11-09","SAC","MIN","16:18",35,6,2,6,0.3333333333333333,0,1,0,0,2,2,2,0,0,0.5,0.5,0,0.14285714285714285,0.4973,0.2857142857142857,0.375,0,0,0,0,0,22.5
"2018-11-10","SAC","LAL","21:52",46,13,5,12,0.4166666666666667,0,0,0,0,3,4,6,0,0,0.4,0.4,0,0,0.470625,0.4166666666666667,0.43333333333333335,0,0,0,0,0,33.33333333333333
