PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Dante Cunningham,13,323,13.417,15.527,-2.11,2018-19,1610612759
DeMar DeRozan,251,85,15.635,14.916,0.72,2018-19,1610612759
LaMarcus Aldridge,244,92,15.509,15.290,0.22,2018-19,1610612759
Rudy Gay,178,158,15.629,15.247,0.38,2018-19,1610612759
Derrick White,191,145,15.290,15.657,-0.37,2018-19,1610612759
Lonnie Walker IV,21,315,13.825,15.556,-1.73,2018-19,1610612759
Davis Bertans,79,257,15.217,15.524,-0.31,2018-19,1610612759
Donatas Motiejunas,18,318,14.676,15.492,-0.81,2018-19,1610612759
Patty Mills,152,184,15.705,15.234,0.47,2018-19,1610612759
Marco Belinelli,131,205,14.996,15.758,-0.76,2018-19,1610612759
Jakob Poeltl,177,159,15.556,15.331,0.23,2018-19,1610612759
Bryn Forbes,212,124,15.735,14.984,0.75,2018-19,1610612759
Quincy Pondexter,12,324,13.217,15.531,-2.31,2018-19,1610612759
