PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Marcus Georges-Hunt,3,237,6.500,15.404,-8.90,2017-18,1610612750
Andrew Wiggins,164,76,15.389,15.074,0.32,2017-18,1610612750
Taj Gibson,123,117,16.118,14.500,1.62,2017-18,1610612750
Tyus Jones,55,185,15.396,15.259,0.14,2017-18,1610612750
Gorgui Dieng,70,170,14.816,15.483,-0.67,2017-18,1610612750
Aaron Brooks,3,237,11.667,15.337,-3.67,2017-18,1610612750
Karl-Anthony Towns,170,70,15.483,14.816,0.67,2017-18,1610612750
Nemanja Bjelica,47,193,13.630,15.740,-2.11,2017-18,1610612750
Jamal Crawford,123,117,14.907,15.713,-0.81,2017-18,1610612750
Derrick Rose,119,121,14.945,15.642,-0.70,2017-18,1610612750
Jimmy Butler,170,70,15.488,14.830,0.66,2017-18,1610612750
Jeff Teague,153,87,15.690,14.599,1.09,2017-18,1610612750
