PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Jason Terry,487,329,13.778,14.052,-0.27,2014-15,1610612745
Josh Smith,396,420,13.687,14.072,-0.38,2014-15,1610612745
James Harden,636,180,13.798,14.225,-0.43,2014-15,1610612745
Nick Johnson,49,767,12.333,13.984,-1.65,2014-15,1610612745
Kostas Papanikolaou,21,795,12.413,13.926,-1.51,2014-15,1610612745
Trevor Ariza,655,161,13.993,13.456,0.54,2014-15,1610612745
Dwight Howard,574,242,14.070,13.478,0.59,2014-15,1610612745
Terrence Jones,401,415,14.279,13.505,0.77,2014-15,1610612745
Corey Brewer,428,388,13.613,14.189,-0.58,2014-15,1610612745
Joey Dorsey,13,803,14.000,13.884,0.12,2014-15,1610612745
Clint Capela,127,689,13.696,13.920,-0.22,2014-15,1610612745
Pablo Prigioni,293,523,14.248,13.689,0.56,2014-15,1610612745
