PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Dennis Schroder,212,76,14.951,14.692,0.26,2016-17,1610612737
Ersan Ilyasova,90,198,14.380,15.125,-0.74,2016-17,1610612737
Kent Bazemore,150,138,13.935,15.924,-1.99,2016-17,1610612737
Malcolm Delaney,3,285,15.375,14.873,0.50,2016-17,1610612737
Taurean Prince,187,101,15.081,14.531,0.55,2016-17,1610612737
Paul Millsap,219,69,15.153,14.028,1.13,2016-17,1610612737
Dwight Howard,157,131,15.053,14.674,0.38,2016-17,1610612737
Jose Calderon,75,213,15.252,14.751,0.50,2016-17,1610612737
Mike Dunleavy,53,235,14.043,15.090,-1.05,2016-17,1610612737
Mike Muscala,81,207,15.037,14.821,0.22,2016-17,1610612737
Thabo Sefolosha,9,279,15.000,14.877,0.12,2016-17,1610612737
Tim Hardaway Jr.,200,88,15.163,14.240,0.92,2016-17,1610612737
Kris Humphries,3,285,15.143,14.877,0.27,2016-17,1610612737
