PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Jarell Martin,46,146,16.116,16.266,-0.15,2015-16,1610612763
Tony Allen,94,98,15.739,16.707,-0.97,2015-16,1610612763
PJ Hairston,22,170,17.487,16.075,1.41,2015-16,1610612763
Lance Stephenson,95,97,16.011,16.442,-0.43,2015-16,1610612763
JaMychal Green,72,120,15.252,16.824,-1.57,2015-16,1610612763
Zach Randolph,120,72,16.613,15.576,1.04,2015-16,1610612763
Vince Carter,91,101,16.458,16.026,0.43,2015-16,1610612763
Jordan Farmar,113,79,16.823,15.392,1.43,2015-16,1610612763
Chris Andersen,79,113,16.792,15.850,0.94,2015-16,1610612763
Matt Barnes,139,53,16.112,16.546,-0.43,2015-16,1610612763
Xavier Munford,89,103,15.743,16.658,-0.91,2015-16,1610612763
