PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Pau Gasol,90,150,16.282,16.613,-0.33,2017-18,1610612759
Dejounte Murray,96,144,16.983,16.174,0.81,2017-18,1610612759
Rudy Gay,160,80,17.029,15.457,1.57,2017-18,1610612759
Brandon Paul,3,237,5.714,16.649,-10.93,2017-18,1610612759
Bryn Forbes,54,186,14.710,17.011,-2.30,2017-18,1610612759
LaMarcus Aldridge,176,64,17.017,15.024,1.99,2017-18,1610612759
Patty Mills,165,75,17.302,14.804,2.50,2017-18,1610612759
Manu Ginobili,107,133,15.918,16.984,-1.07,2017-18,1610612759
Kyle Anderson,74,166,16.387,16.528,-0.14,2017-18,1610612759
Tony Parker,67,173,16.674,16.411,0.26,2017-18,1610612759
Davis Bertans,82,158,14.599,17.532,-2.93,2017-18,1610612759
Joffrey Lauvergne,6,234,12.417,16.592,-4.17,2017-18,1610612759
Derrick White,18,222,11.895,16.891,-5.00,2017-18,1610612759
Danny Green,103,137,17.832,15.556,2.28,2017-18,1610612759
