PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Kent Bazemore,325,160,14.149,15.395,-1.25,2015-16,1610612737
Jeff Teague,279,206,14.251,14.970,-0.72,2015-16,1610612737
Kirk Hinrich,27,458,15.857,14.474,1.38,2015-16,1610612737
Mike Muscala,67,418,14.954,14.481,0.47,2015-16,1610612737
Paul Millsap,365,120,14.532,14.583,-0.05,2015-16,1610612737
Dennis Schroder,191,294,15.080,14.221,0.86,2015-16,1610612737
Mike Scott,161,324,14.984,14.328,0.66,2015-16,1610612737
Al Horford,327,158,14.095,15.503,-1.41,2015-16,1610612737
Lamar Patterson,20,465,15.135,14.521,0.61,2015-16,1610612737
Thabo Sefolosha,203,282,15.057,14.204,0.85,2015-16,1610612737
Kris Humphries,56,429,15.370,14.440,0.93,2015-16,1610612737
Tim Hardaway Jr.,87,398,15.323,14.381,0.94,2015-16,1610612737
Kyle Korver,316,169,14.302,15.048,-0.75,2015-16,1610612737
