PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Monta Ellis,225,111,14.734,16.060,-1.33,2015-16,1610612754
CJ Miles,92,244,15.129,15.166,-0.04,2015-16,1610612754
Jordan Hill,15,321,15.667,15.130,0.54,2015-16,1610612754
Ian Mahinmi,172,164,14.829,15.500,-0.67,2015-16,1610612754
Lavoy Allen,51,285,14.790,15.225,-0.43,2015-16,1610612754
Glenn Robinson III,10,326,16.000,15.127,0.87,2015-16,1610612754
Joe Young,10,326,16.000,15.127,0.87,2015-16,1610612754
George Hill,235,101,15.018,15.469,-0.45,2015-16,1610612754
Paul George,275,61,15.053,15.612,-0.56,2015-16,1610612754
Rodney Stuckey,125,211,15.872,14.751,1.12,2015-16,1610612754
Myles Turner,197,139,15.309,14.943,0.37,2015-16,1610612754
Solomon Hill,198,138,15.477,14.705,0.77,2015-16,1610612754
Ty Lawson,74,262,15.540,15.047,0.49,2015-16,1610612754
