PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Zhou Qi,6,810,14.917,15.528,-0.61,2017-18,1610612745
Luc Mbah a Moute,149,667,14.606,15.744,-1.14,2017-18,1610612745
Chinanu Onuaku,3,813,16.714,15.518,1.20,2017-18,1610612745
Tarik Black,19,797,15.585,15.521,0.06,2017-18,1610612745
Ryan Anderson,95,721,15.182,15.571,-0.39,2017-18,1610612745
Chris Paul,517,299,15.407,15.727,-0.32,2017-18,1610612745
Nene,107,709,14.300,15.712,-1.41,2017-18,1610612745
Gerald Green,272,544,14.630,15.982,-1.35,2017-18,1610612745
Clint Capela,520,296,15.992,14.734,1.26,2017-18,1610612745
Eric Gordon,549,267,15.059,16.532,-1.47,2017-18,1610612745
Aaron Jackson,17,799,15.528,15.523,0.01,2017-18,1610612745
James Harden,621,195,15.863,14.494,1.37,2017-18,1610612745
PJ Tucker,570,246,15.926,14.648,1.28,2017-18,1610612745
Joe Johnson,54,762,14.844,15.572,-0.73,2017-18,1610612745
Trevor Ariza,582,234,15.946,14.539,1.41,2017-18,1610612745
