PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Wayne Ellington,131,61,15.659,14.516,1.14,2018-19,1610612765
Reggie Jackson,108,84,15.679,14.811,0.87,2018-19,1610612765
Thon Maker,69,123,15.493,15.193,0.30,2018-19,1610612765
Bruce Brown,57,135,15.576,15.181,0.40,2018-19,1610612765
Andre Drummond,127,65,15.921,14.053,1.87,2018-19,1610612765
Blake Griffin,58,134,15.322,15.288,0.04,2018-19,1610612765
Langston Galloway,110,82,14.671,16.161,-1.49,2018-19,1610612765
Zaza Pachulia,22,170,13.600,15.514,-1.91,2018-19,1610612765
Jon Leuer,5,187,11.300,15.401,-4.10,2018-19,1610612765
Glenn Robinson III,36,156,15.986,15.147,0.84,2018-19,1610612765
Ish Smith,81,111,15.168,15.392,-0.22,2018-19,1610612765
Khyri Thomas,15,177,11.774,15.595,-3.82,2018-19,1610612765
Luke Kennard,133,59,15.402,15.065,0.34,2018-19,1610612765
Jose Calderon,10,182,10.619,15.558,-4.94,2018-19,1610612765
