PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Nicolas Batum,144,192,16.344,15.676,0.67,2015-16,1610612766
Spencer Hawes,53,283,14.231,16.312,-2.08,2015-16,1610612766
Troy Daniels,18,318,13.765,16.083,-2.32,2015-16,1610612766
Marvin Williams,228,108,16.230,15.410,0.82,2015-16,1610612766
Frank Kaminsky,190,146,16.087,15.797,0.29,2015-16,1610612766
Al Jefferson,168,168,16.857,15.124,1.73,2015-16,1610612766
Tyler Hansbrough,6,330,16.000,15.958,0.04,2015-16,1610612766
Courtney Lee,257,79,15.896,16.170,-0.27,2015-16,1610612766
Aaron Harrison,7,329,13.875,16.013,-2.14,2015-16,1610612766
Jeremy Lin,189,147,15.819,16.141,-0.32,2015-16,1610612766
Kemba Walker,260,76,16.138,15.380,0.76,2015-16,1610612766
Jeremy Lamb,12,324,14.000,16.036,-2.04,2015-16,1610612766
Jorge Gutierrez,12,324,14.000,16.036,-2.04,2015-16,1610612766
Cody Zeller,137,199,15.376,16.391,-1.01,2015-16,1610612766
