PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Amir Coffey,1,239,14.000,14.452,-0.45,2022-23,1610612746
Jason Preston,1,239,14.000,14.452,-0.45,2022-23,1610612746
Eric Gordon,149,91,14.327,14.669,-0.34,2022-23,1610612746
Ivica Zubac,130,110,14.858,13.964,0.89,2022-23,1610612746
Brandon Boston Jr.,1,239,14.000,14.452,-0.45,2022-23,1610612746
Marcus Morris Sr.,68,172,13.868,14.694,-0.83,2022-23,1610612746
Norman Powell,167,73,13.618,16.493,-2.87,2022-23,1610612746
Russell Westbrook,192,48,14.297,15.083,-0.79,2022-23,1610612746
Terance Mann,133,107,14.352,14.570,-0.22,2022-23,1610612746
Kawhi Leonard,80,160,15.665,13.840,1.82,2022-23,1610612746
Bones Hyland,82,158,14.652,14.353,0.30,2022-23,1610612746
Nicolas Batum,92,148,14.799,14.233,0.57,2022-23,1610612746
Robert Covington,12,228,16.286,14.369,1.92,2022-23,1610612746
Mason Plumlee,91,149,14.767,14.268,0.50,2022-23,1610612746
