PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
OG Anunoby,216,76,15.746,14.543,1.20,2021-22,1610612761
Pascal Siakam,260,33,15.678,13.594,2.08,2021-22,1610612761
Scottie Barnes,133,160,14.988,15.793,-0.80,2021-22,1610612761
Gary Trent Jr.,199,94,15.628,14.978,0.65,2021-22,1610612761
Fred VanVleet,140,153,15.960,14.970,0.99,2021-22,1610612761
Khem Birch,63,230,15.864,15.301,0.56,2021-22,1610612761
Precious Achiuwa,167,126,15.454,15.377,0.08,2021-22,1610612761
Chris Boucher,130,163,15.241,15.565,-0.32,2021-22,1610612761
Thaddeus Young,87,206,15.256,15.491,-0.23,2021-22,1610612761
Yuta Watanabe,10,283,12.435,15.549,-3.11,2021-22,1610612761
Malachi Flynn,36,257,14.726,15.525,-0.80,2021-22,1610612761
Dalano Banton,8,285,11.316,15.565,-4.25,2021-22,1610612761
Armoni Brooks,8,285,11.316,15.565,-4.25,2021-22,1610612761
Isaac Bonga,3,290,9.000,15.502,-6.50,2021-22,1610612761
Svi Mykhailiuk,5,288,12.667,15.481,-2.81,2021-22,1610612761
