PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Julius Randle,330,198,15.899,15.153,0.75,2022-23,1610612752
Jalen Brunson,443,85,15.830,14.528,1.30,2022-23,1610612752
Isaiah Hartenstein,220,308,15.538,15.675,-0.14,2022-23,1610612752
Quentin Grimes,242,286,15.009,16.147,-1.14,2022-23,1610612752
Immanuel Quickley,175,353,15.009,15.918,-0.91,2022-23,1610612752
RJ Barrett,377,151,15.651,15.537,0.11,2022-23,1610612752
Miles McBride,20,508,15.077,15.640,-0.56,2022-23,1610612752
DaQuan Jeffries,5,523,13.545,15.641,-2.10,2022-23,1610612752
Derrick Rose,2,526,14.714,15.625,-0.91,2022-23,1610612752
Mitchell Robinson,298,230,15.882,15.274,0.61,2022-23,1610612752
Josh Hart,353,175,15.951,14.958,0.99,2022-23,1610612752
Obi Toppin,175,353,15.078,15.885,-0.81,2022-23,1610612752
