PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Gary Clark,4,529,11.800,15.434,-3.63,2018-19,1610612745
Nene,53,480,16.010,15.334,0.68,2018-19,1610612745
Isaiah Hartenstein,2,531,11.429,15.427,-4.00,2018-19,1610612745
PJ Tucker,426,107,15.459,15.179,0.28,2018-19,1610612745
James Harden,424,109,15.374,15.507,-0.13,2018-19,1610612745
Gerald Green,97,436,14.768,15.544,-0.78,2018-19,1610612745
Austin Rivers,215,318,15.839,15.094,0.75,2018-19,1610612745
Danuel House Jr.,141,392,14.836,15.607,-0.77,2018-19,1610612745
Kenneth Faried,56,477,14.410,15.522,-1.11,2018-19,1610612745
Clint Capela,331,202,15.426,15.360,0.07,2018-19,1610612745
Iman Shumpert,109,424,15.592,15.349,0.24,2018-19,1610612745
Eric Gordon,410,123,15.425,15.320,0.11,2018-19,1610612745
Chris Paul,397,136,15.530,15.039,0.49,2018-19,1610612745
