PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Landry Shamet,243,386,14.922,14.160,0.76,2019-20,1610612746
Terance Mann,27,602,13.614,14.497,-0.88,2019-20,1610612746
Rodney McGruder,16,613,14.727,14.451,0.28,2019-20,1610612746
Joakim Noah,2,627,15.000,14.457,0.54,2019-20,1610612746
Amir Coffey,7,622,12.875,14.478,-1.60,2019-20,1610612746
Patrick Patterson,10,619,14.952,14.450,0.50,2019-20,1610612746
Kawhi Leonard,511,118,14.608,13.840,0.77,2019-20,1610612746
Marcus Morris Sr.,388,241,14.429,14.505,-0.08,2019-20,1610612746
Ivica Zubac,320,309,14.876,14.038,0.84,2019-20,1610612746
Paul George,479,150,14.501,14.326,0.18,2019-20,1610612746
Patrick Beverley,166,463,14.237,14.533,-0.30,2019-20,1610612746
Lou Williams,341,288,14.139,14.858,-0.72,2019-20,1610612746
Montrezl Harrell,243,386,14.290,14.565,-0.28,2019-20,1610612746
Reggie Jackson,170,459,14.161,14.571,-0.41,2019-20,1610612746
JaMychal Green,222,407,14.163,14.619,-0.45,2019-20,1610612746
