PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
201951,Ty Lawson,IND,14.1,148,44,5.37,2015-16
201946,Tyler Hansbrough,CHA,0.1,3,2,0.0,2015-16
204020,Tyler Johnson,MIA,3.9,85,60,2.54,2015-16
203092,Tyler Zeller,BOS,1.6,62,42,0.48,2015-16
2617,Udonis Haslem,MIA,2.8,97,61,0.51,2015-16
1713,Vince Carter,MEM,5.1,124,85,1.66,2015-16
202325,Wesley Johnson,LAC,1.4,62,30,0.45,2015-16
202083,Wesley Matthews,DAL,8.8,245,174,1.21,2015-16
204098,Xavier Munford,MEM,15.8,187,65,4.88,2015-16
2216,Zach Randolph,MEM,8.3,195,155,1.15,2015-16
2585,Zaza Pachulia,DAL,4.7,155,97,0.3,2015-16
