"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"LeBron James","CLE",18,744,1478,591,173,277,0.6245487364620939,44,107,0.411214953271028,0.411214953271028,113,124,222,51,81,0.3583815028901734,0.3668639053254438,0.38636363636363635,0.2786458333333333,0.5426078125,0.6223958333333334,0.652317880794702,8,15,0.05415162454873646,1,0.009345794392523364,31.411411411411414
"Kyrie Irving","CLE",18,653,1306,466,129,252,0.5119047619047619,44,118,0.3728813559322034,0.37606837606837606,76,70,188,51,81,0.2713178294573643,0.2713178294573643,0.38636363636363635,0.31891891891891894,0.48891314363143634,0.527027027027027,0.5651629072681704,0,16,0.06349206349206349,3,0.025423728813559324,30.26404874746107
"Avery Bradley","BOS",18,645,1253,301,80,158,0.5063291139240507,40,114,0.3508771929824561,0.36036036036036034,21,118,42,114,6,0.7375,0.7763157894736842,0.95,0.41911764705882354,0.526567843866171,0.5147058823529411,0.5300353356890459,8,15,0.0949367088607595,3,0.02631578947368421,22.341184867951462
"Al Horford","BOS",18,610,1172,271,84,138,0.6086956521739131,27,52,0.5192307692307693,0.5192307692307693,22,104,64,78,3,0.6190476190476191,0.6842105263157895,0.9629629629629629,0.2736842105263158,0.497468947368421,0.6552631578947369,0.6741293532338308,16,9,0.06521739130434782,0,0,17.687074829931973
"Stephen Curry","GSW",17,601,1272,477,79,140,0.5642857142857143,72,172,0.4186046511627907,0.43636363636363634,103,42,116,108,108,0.26582278481012656,0.2692307692307692,0.5,0.5512820512820513,0.5125238486842105,0.5993589743589743,0.6573816155988857,2,8,0.05714285714285714,1,0.005813953488372093,29.275158339197745
"Jae Crowder","BOS",18,596,1156,245,56,112,0.5,31,88,0.3522727272727273,0.3522727272727273,40,94,18,87,6,0.8392857142857143,0.8867924528301887,0.9354838709677419,0.44,0.528211,0.5125,0.5493273542600897,6,13,0.11607142857142858,1,0.011363636363636364,18.146718146718147
"Klay Thompson","GSW",17,596,1237,255,53,131,0.40458015267175573,41,106,0.3867924528301887,0.3867924528301887,26,74,32,108,15,0.6981132075471698,0.7115384615384616,0.8780487804878049,0.4472573839662447,0.49575889830508474,0.4831223628691983,0.5059523809523809,2,12,0.0916030534351145,2,0.018867924528301886,20.087336244541483
"Draymond Green","GSW",17,593,1238,222,40,83,0.4819277108433735,32,78,0.41025641025641024,0.42105263157894735,46,60,20,96,0,0.75,0.8333333333333334,1,0.484472049689441,0.5611088050314466,0.546583850931677,0.581151832460733,8,12,0.14457831325301204,0,0,16.61807580174927
"Kevin Love","CLE",18,578,1153,303,45,107,0.4205607476635514,50,111,0.45045045045045046,0.45045045045045046,63,52,38,141,9,0.5777777777777777,0.6666666666666666,0.94,0.5091743119266054,0.5247353211009175,0.5504587155963303,0.5968379446640316,12,12,0.11214953271028037,0,0,21.7357910906298
"Tristan Thompson","CLE",18,562,1105,148,54,92,0.5869565217391305,0,0,0,0,40,72,36,0,0,0.6666666666666666,0.8780487804878049,0,0,0.5978076086956522,0.5869565217391305,0.6166666666666667,26,10,0.10869565217391304,0,0,11.289031224979984
"Marcus Smart","BOS",18,538,1049,155,18,61,0.29508196721311475,29,73,0.3972602739726027,0.4027777777777778,32,16,20,75,12,0.4444444444444444,0.5,0.8620689655172413,0.5447761194029851,0.5045278195488722,0.458955223880597,0.4967948717948718,4,8,0.13114754098360656,1,0.0136986301369863,16.524701873935264
"LaMarcus Aldridge","SAS",16,537,1019,264,108,226,0.4778761061946903,2,14,0.14285714285714285,0.14285714285714285,42,116,100,6,0,0.5370370370370371,0.6373626373626373,1,0.058333333333333334,0.473988125,0.4625,0.5038167938931297,34,5,0.022123893805309734,0,0,24.555461473327686
"Kevin Durant","GSW",15,533,1115,428,111,182,0.6098901098901099,38,86,0.4418604651162791,0.4470588235294118,92,120,102,72,42,0.5405405405405406,0.5555555555555556,0.631578947368421,0.3208955223880597,0.5225642322097379,0.6268656716417911,0.6793650793650794,6,11,0.06043956043956044,2,0.023255813953488372,28.31858407079646
