"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"LeBron James","CLE",22,922,1747,748,236,396,0.5959595959595959,39,114,0.34210526315789475,0.34210526315789475,159,88,384,42,75,0.1864406779661017,0.19383259911894274,0.358974358974359,0.2235294117647059,0.5003232352941176,0.5774509803921568,0.6187707641196013,18,18,0.045454545454545456,0,0,35.35404992358635
"Draymond Green","GSW",21,818,1623,226,62,113,0.5486725663716814,21,79,0.26582278481012656,0.26582278481012656,39,82,42,60,3,0.6612903225806451,0.7735849056603774,0.9523809523809523,0.4114583333333333,0.5365520833333334,0.4869791666666667,0.5280373831775701,18,12,0.10619469026548672,0,0,15.509518477043674
"Kevin Durant","GSW",21,807,1618,608,165,297,0.5555555555555556,47,138,0.34057971014492755,0.34057971014492755,137,136,194,72,69,0.4121212121212121,0.4171779141104294,0.5106382978723404,0.31724137931034485,0.46840804597701147,0.5413793103448276,0.600990099009901,4,11,0.037037037037037035,2,0.014492753623188406,31.04026845637584
"Klay Thompson","GSW",21,794,1579,412,92,185,0.4972972972972973,67,157,0.4267515923566879,0.42948717948717946,27,136,48,189,12,0.7391304347826086,0.7391304347826086,0.9402985074626866,0.4590643274853801,0.4928829912023461,0.5628654970760234,0.5819209039548022,0,8,0.043243243243243246,4,0.025477707006369428,22.081656124209314
"JR Smith","CLE",22,706,1349,191,21,67,0.31343283582089554,44,120,0.36666666666666664,0.36134453781512604,17,22,20,120,12,0.5238095238095238,0.55,0.9090909090909091,0.6417112299465241,0.5034171195652174,0.46524064171123,0.4872448979591837,2,1,0.014925373134328358,1,0.008333333333333333,14.182058047493404
"Terry Rozier","BOS",19,696,1344,313,57,119,0.4789915966386555,51,147,0.3469387755102041,0.3493150684931507,46,36,78,120,33,0.3157894736842105,0.32727272727272727,0.7843137254901961,0.5526315789473685,0.5110188679245282,0.5018796992481203,0.535958904109589,4,7,0.058823529411764705,1,0.006802721088435374,20.905459387483358
"Jayson Tatum","BOS",19,683,1314,351,100,190,0.5263157894736842,23,71,0.323943661971831,0.323943661971831,82,102,98,39,30,0.51,0.5204081632653061,0.5652173913043478,0.2720306513409962,0.5047670498084291,0.5153256704980843,0.5754098360655737,4,18,0.09473684210526316,0,0,23.53342428376535
"Al Horford","BOS",19,679,1308,299,96,161,0.5962732919254659,15,43,0.3488372093023256,0.3488372093023256,62,114,78,45,0,0.59375,0.6195652173913043,1,0.2107843137254902,0.489921568627451,0.5808823529411765,0.6260504201680672,8,6,0.037267080745341616,0,0,18.59504132231405
"Kevin Love","CLE",21,660,1244,313,73,172,0.42441860465116277,36,106,0.33962264150943394,0.33962264150943394,59,86,60,102,6,0.589041095890411,0.6615384615384615,0.9444444444444444,0.381294964028777,0.5065926258992806,0.4568345323741007,0.5082508250825083,16,21,0.12209302325581395,1,0.009433962264150943,24.259520451339917
"James Harden","HOU",17,621,1220,486,106,211,0.5023696682464455,52,174,0.2988505747126437,0.30057803468208094,118,30,182,36,120,0.14150943396226415,0.14563106796116504,0.23076923076923078,0.45194805194805193,0.49671979166666663,0.4779220779220779,0.551487414187643,6,21,0.0995260663507109,3,0.017241379310344827,36.56227239621267
"Jaylen Brown","BOS",18,583,1122,324,80,154,0.5194805194805194,44,112,0.39285714285714285,0.39285714285714285,32,74,86,117,15,0.4625,0.5068493150684932,0.8863636363636364,0.42105263157894735,0.5184168560606061,0.5488721804511278,0.5605536332179931,14,27,0.17532467532467533,1,0.008928571428571428,24.703087885985745
"Trevor Ariza","HOU",17,582,1135,149,24,48,0.5,26,91,0.2857142857142857,0.2857142857142857,23,44,4,72,6,0.9166666666666666,0.9166666666666666,0.9230769230769231,0.6546762589928058,0.5635309352517985,0.45323741007194246,0.4837662337662338,0,5,0.10416666666666667,0,0,12.832550860719875
"PJ Tucker","HOU",17,570,1111,151,17,33,0.5151515151515151,35,75,0.4666666666666667,0.4666666666666667,12,28,6,105,0,0.8235294117647058,0.9333333333333333,1,0.6944444444444444,0.5524439814814814,0.6435185185185185,0.6508620689655172,4,3,0.09090909090909091,1,0.013333333333333334,10.416666666666666
"Marcus Morris","BOS",19,562,1099,236,52,151,0.3443708609271523,30,72,0.4166666666666667,0.4225352112676056,42,52,52,81,9,0.5,0.5416666666666666,0.9,0.32286995515695066,0.48194504504504504,0.4349775784753363,0.4718875502008032,8,14,0.09271523178807947,0,0,21.895424836601308
"George Hill","CLE",19,557,1062,175,43,80,0.5375,16,51,0.3137254901960784,0.3137254901960784,41,20,66,36,12,0.23255813953488372,0.2564102564102564,0.75,0.3893129770992366,0.5339446564885496,0.5114503816793893,0.5608974358974359,8,8,0.1,1,0.0196078431372549,14.920368818105617
"Stephen Curry","GSW",15,555,1121,383,73,142,0.5140845070422535,64,162,0.3950617283950617,0.39751552795031053,45,50,96,105,87,0.3424657534246575,0.352112676056338,0.546875,0.5328947368421053,0.4965154485049834,0.555921052631579,0.5959119496855346,4,18,0.1267605633802817,1,0.006172839506172839,29.25445705024311
