PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Archie Goodwin,1114,2827,14.519,14.667,-0.15,2015-16,1610612756
Jon Leuer,1255,2686,14.118,14.866,-0.75,2015-16,1610612756
Eric Bledsoe,1059,2882,14.222,14.776,-0.55,2015-16,1610612756
Chase Budinger,200,3741,14.131,14.652,-0.52,2015-16,1610612756
Orlando Johnson,47,3894,15.649,14.613,1.04,2015-16,1610612756
Alan Williams,68,3873,13.013,14.656,-1.64,2015-16,1610612756
Ronnie Price,1211,2730,14.672,14.605,0.07,2015-16,1610612756
Devin Booker,2108,1833,14.791,14.437,0.35,2015-16,1610612756
Phil Pressey,113,3828,13.470,14.662,-1.19,2015-16,1610612756
Brandon Knight,1870,2071,14.569,14.676,-0.11,2015-16,1610612756
Cory Jefferson,50,3891,14.782,14.623,0.16,2015-16,1610612756
Tyson Chandler,1618,2323,15.145,14.274,0.87,2015-16,1610612756
Markieff Morris,917,3024,14.842,14.560,0.28,2015-16,1610612756
Jordan McRae,82,3859,14.912,14.619,0.29,2015-16,1610612756
Lorenzo Brown,61,3880,15.207,14.616,0.59,2015-16,1610612756
TJ Warren,1070,2871,14.726,14.587,0.14,2015-16,1610612756
PJ Tucker,2540,1401,14.749,14.405,0.34,2015-16,1610612756
Alex Len,1821,2120,14.834,14.448,0.39,2015-16,1610612756
John Jenkins,287,3654,14.057,14.672,-0.61,2015-16,1610612756
Mirza Teletovic,1685,2256,14.468,14.745,-0.28,2015-16,1610612756
Sonny Weems,421,3520,14.168,14.681,-0.51,2015-16,1610612756
Kris Humphries,74,3867,14.025,14.637,-0.61,2015-16,1610612756
Bryce Cotton,33,3908,14.530,14.626,-0.10,2015-16,1610612756
