PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Markus Howard,205,3291,14.213,15.219,-1.01,2020-21,1610612743
Greg Whittington,12,3484,14.519,15.157,-0.64,2020-21,1610612743
Nikola Jokic,2488,1008,15.119,15.240,-0.12,2020-21,1610612743
Gary Harris,581,2915,14.904,15.203,-0.30,2020-21,1610612743
Jamal Murray,1704,1792,15.220,15.093,0.13,2020-21,1610612743
Will Barton,1736,1760,15.288,15.025,0.26,2020-21,1610612743
PJ Dozier,1088,2408,15.316,15.082,0.24,2020-21,1610612743
Monte Morris,1196,2300,14.994,15.237,-0.24,2020-21,1610612743
Facundo Campazzo,1425,2071,15.297,15.057,0.24,2020-21,1610612743
Isaiah Hartenstein,272,3224,14.870,15.178,-0.31,2020-21,1610612743
Michael Porter Jr.,1912,1584,15.116,15.201,-0.08,2020-21,1610612743
Bol Bol,160,3336,14.167,15.208,-1.04,2020-21,1610612743
Paul Millsap,1162,2334,15.390,15.040,0.35,2020-21,1610612743
JaMychal Green,1120,2376,15.477,15.005,0.47,2020-21,1610612743
Zeke Nnaji,397,3099,14.721,15.212,-0.49,2020-21,1610612743
Vlatko Cancar,281,3215,14.755,15.192,-0.44,2020-21,1610612743
R.J. Hampton,233,3263,14.653,15.191,-0.54,2020-21,1610612743
Aaron Gordon,648,2848,15.139,15.158,-0.02,2020-21,1610612743
Gary Clark,4,3492,17.375,15.152,2.22,2020-21,1610612743
JaVale McGee,175,3321,15.333,15.145,0.19,2020-21,1610612743
Shaquille Harrison,277,3219,15.072,15.161,-0.09,2020-21,1610612743
Austin Rivers,403,3093,15.252,15.141,0.11,2020-21,1610612743
