PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Tre Mann,1137,2786,14.056,13.760,0.30,2022-23,1610612760
Darius Bazley,555,3368,13.807,13.852,-0.04,2022-23,1610612760
Ousmane Dieng,524,3399,14.045,13.815,0.23,2022-23,1610612760
Aaron Wiggins,1289,2634,14.184,13.684,0.50,2022-23,1610612760
Chet Holmgren,0,3923,0.000,13.846,-13.85,2022-23,1610612760
Isaiah Joe,1395,2528,13.705,13.925,-0.22,2022-23,1610612760
Mike Muscala,622,3301,13.093,13.994,-0.90,2022-23,1610612760
Shai Gilgeous-Alexander,2416,1507,13.545,14.342,-0.80,2022-23,1610612760
Jeremiah Robinson-Earl,774,3149,13.663,13.891,-0.23,2022-23,1610612760
Josh Giddey,2368,1555,13.881,13.791,0.09,2022-23,1610612760
Luguentz Dort,2272,1651,13.810,13.895,-0.08,2022-23,1610612760
Dario Saric,273,3650,13.804,13.849,-0.04,2022-23,1610612760
Eugene Omoruyi,272,3651,13.835,13.846,-0.01,2022-23,1610612760
Jalen Williams,2276,1647,13.754,13.974,-0.22,2022-23,1610612760
Kenrich Williams,1206,2717,14.006,13.776,0.23,2022-23,1610612760
Jared Butler,31,3892,15.055,13.836,1.22,2022-23,1610612760
Olivier Sarr,71,3852,14.469,13.835,0.64,2022-23,1610612760
Aleksej Pokusevski,701,3222,13.969,13.819,0.15,2022-23,1610612760
Lindy Waters III,517,3406,13.668,13.873,-0.20,2022-23,1610612760
Jaylin Williams,914,3009,14.694,13.593,1.10,2022-23,1610612760
