PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Alex Len,1396,2546,14.337,14.405,-0.07,2017-18,1610612756
Devin Booker,1865,2077,14.248,14.505,-0.26,2017-18,1610612756
Tyler Ulis,1658,2284,14.443,14.337,0.11,2017-18,1610612756
Marquese Chriss,1527,2415,14.321,14.419,-0.10,2017-18,1610612756
Josh Jackson,1960,1982,14.132,14.630,-0.50,2017-18,1610612756
Dragan Bender,2070,1872,14.363,14.401,-0.04,2017-18,1610612756
Tyson Chandler,1151,2791,14.836,14.197,0.64,2017-18,1610612756
Josh Gray,86,3856,14.918,14.369,0.55,2017-18,1610612756
Eric Bledsoe,83,3859,13.923,14.391,-0.47,2017-18,1610612756
Greg Monroe,465,3477,15.174,14.278,0.90,2017-18,1610612756
T.J. Warren,2142,1800,14.454,14.294,0.16,2017-18,1610612756
Alan Williams,70,3872,15.468,14.362,1.11,2017-18,1610612756
Elfrid Payton,551,3391,13.833,14.471,-0.64,2017-18,1610612756
Isaiah Canaan,418,3524,15.244,14.283,0.96,2017-18,1610612756
Derrick Jones Jr.,33,3909,11.781,14.404,-2.62,2017-18,1610612756
Alec Peters,225,3717,14.156,14.395,-0.24,2017-18,1610612756
Danuel House Jr.,403,3540,14.910,14.322,0.59,2017-18,1610612756
Davon Reed,242,3700,14.059,14.402,-0.34,2017-18,1610612756
Shaquille Harrison,384,3558,13.913,14.432,-0.52,2017-18,1610612756
Jared Dudley,688,3255,14.022,14.456,-0.43,2017-18,1610612756
Mike James,670,3272,14.118,14.437,-0.32,2017-18,1610612756
Troy Daniels,1622,2320,14.566,14.253,0.31,2017-18,1610612756
