PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Ivan Rabb,516,3425,15.445,15.709,-0.26,2017-18,1610612763
Chandler Parsons,691,3250,15.466,15.719,-0.25,2017-18,1610612763
Wayne Selden,691,3250,15.168,15.786,-0.62,2017-18,1610612763
Vincent Hunter,7,3934,14.312,15.677,-1.36,2017-18,1610612763
Marc Gasol,2408,1533,16.082,15.051,1.03,2017-18,1610612763
Deyonta Davis,943,2998,15.121,15.851,-0.73,2017-18,1610612763
Myke Henry,378,3563,15.486,15.694,-0.21,2017-18,1610612763
Ben McLemore,1091,2850,15.310,15.814,-0.50,2017-18,1610612763
Brandan Wright,366,3575,15.468,15.695,-0.23,2017-18,1610612763
Xavier Rathan-Mayes,118,3823,14.745,15.704,-0.96,2017-18,1610612763
Omari Johnson,75,3866,15.236,15.682,-0.45,2017-18,1610612763
Marquis Teague,74,3867,15.270,15.682,-0.41,2017-18,1610612763
James Ennis III,1053,2888,15.858,15.607,0.25,2017-18,1610612763
Kobi Simmons,643,3298,15.620,15.684,-0.06,2017-18,1610612763
Dillon Brooks,2350,1591,15.697,15.641,0.06,2017-18,1610612763
JaMychal Green,1542,2399,15.847,15.565,0.28,2017-18,1610612763
Tyreke Evans,1607,2334,15.761,15.615,0.15,2017-18,1610612763
Mike Conley,373,3568,15.749,15.666,0.08,2017-18,1610612763
Brice Johnson,60,3881,14.800,15.688,-0.89,2017-18,1610612763
Andrew Harrison,1326,2615,16.327,15.355,0.97,2017-18,1610612763
Briante Weber,119,3822,15.302,15.686,-0.38,2017-18,1610612763
MarShon Brooks,193,3748,15.865,15.664,0.20,2017-18,1610612763
Jarell Martin,1661,2280,15.658,15.685,-0.03,2017-18,1610612763
Mario Chalmers,1421,2520,15.346,15.867,-0.52,2017-18,1610612763
