PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Gerald Henderson,1667,2299,14.934,14.590,0.34,2016-17,1610612755
Richaun Holmes,1193,2773,14.533,14.822,-0.29,2016-17,1610612755
Nik Stauskas,2188,1778,14.793,14.664,0.13,2016-17,1610612755
Joel Embiid,786,3180,14.546,14.781,-0.23,2016-17,1610612755
Alex Poythress,157,3809,14.513,14.744,-0.23,2016-17,1610612755
Hollis Thompson,561,3405,15.356,14.636,0.72,2016-17,1610612755
Sergio Rodriguez,1517,2449,15.031,14.555,0.48,2016-17,1610612755
Chasson Randle,74,3892,12.609,14.776,-2.17,2016-17,1610612755
Robert Covington,2119,1847,14.655,14.827,-0.17,2016-17,1610612755
Jahlil Okafor,1134,2832,15.737,14.346,1.39,2016-17,1610612755
Shawn Long,234,3732,14.356,14.758,-0.40,2016-17,1610612755
T.J. McConnell,2133,1833,14.539,14.968,-0.43,2016-17,1610612755
Jerryd Bayless,72,3894,15.500,14.721,0.78,2016-17,1610612755
Justin Anderson,518,3448,14.635,14.750,-0.11,2016-17,1610612755
Dario Saric,2129,1837,14.835,14.617,0.22,2016-17,1610612755
Nerlens Noel,564,3402,14.319,14.804,-0.49,2016-17,1610612755
Timothe Luwawu-Cabarrot,1190,2776,14.118,15.005,-0.89,2016-17,1610612755
Jerami Grant,41,3925,15.881,14.723,1.16,2016-17,1610612755
Justin Harper,31,3935,14.641,14.735,-0.09,2016-17,1610612755
Ersan Ilyasova,1447,2519,14.452,14.898,-0.45,2016-17,1610612755
Tiago Splitter,76,3890,15.351,14.723,0.63,2016-17,1610612755
