PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Myles Turner,2541,1430,14.666,15.822,-1.16,2016-17,1610612754
Rodney Stuckey,696,3275,15.550,14.980,0.57,2016-17,1610612754
Glenn Robinson III,1427,2544,15.052,15.094,-0.04,2016-17,1610612754
Georges Niang,93,3878,14.290,15.098,-0.81,2016-17,1610612754
Paul George,2689,1282,14.832,15.601,-0.77,2016-17,1610612754
Thaddeus Young,2237,1734,14.766,15.486,-0.72,2016-17,1610612754
Al Jefferson,931,3040,16.278,14.720,1.56,2016-17,1610612754
Lance Stephenson,132,3839,16.400,15.035,1.37,2016-17,1610612754
Monta Ellis,1998,1973,15.108,15.049,0.06,2016-17,1610612754
Kevin Seraphin,559,3412,15.337,15.036,0.30,2016-17,1610612754
Aaron Brooks,894,3077,15.920,14.840,1.08,2016-17,1610612754
CJ Miles,1776,2195,15.200,14.981,0.22,2016-17,1610612754
Rakeem Christmas,219,3752,15.162,15.074,0.09,2016-17,1610612754
Joe Young,135,3836,15.185,15.075,0.11,2016-17,1610612754
Lavoy Allen,871,3100,15.872,14.859,1.01,2016-17,1610612754
Jeff Teague,2657,1314,14.736,15.794,-1.06,2016-17,1610612754
