PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
James Harden,2778,1188,14.337,14.677,-0.34,2013-14,1610612745
Chandler Parsons,2783,1183,14.501,14.294,0.21,2013-14,1610612745
Robert Covington,34,3932,12.750,14.453,-1.70,2013-14,1610612745
Terrence Jones,2078,1888,14.903,13.942,0.96,2013-14,1610612745
Omer Asik,968,2998,14.048,14.567,-0.52,2013-14,1610612745
Omri Casspi,1283,2683,14.208,14.552,-0.34,2013-14,1610612745
Ronnie Brewer,158,3808,15.464,14.396,1.07,2013-14,1610612745
Francisco Garcia,1083,2883,14.430,14.441,-0.01,2013-14,1610612745
Aaron Brooks,716,3250,14.857,14.348,0.51,2013-14,1610612745
Jordan Hamilton,349,3617,13.920,14.489,-0.57,2013-14,1610612745
Greg Smith,100,3866,14.211,14.444,-0.23,2013-14,1610612745
Donatas Motiejunas,952,3014,13.886,14.617,-0.73,2013-14,1610612745
Jeremy Lin,2054,1912,14.107,14.805,-0.70,2013-14,1610612745
Isaiah Canaan,252,3714,13.547,14.502,-0.96,2013-14,1610612745
Troy Daniels,75,3891,14.021,14.446,-0.42,2013-14,1610612745
Josh Powell,19,3947,15.000,14.436,0.56,2013-14,1610612745
Dwight Howard,2397,1569,14.670,14.095,0.57,2013-14,1610612745
Patrick Beverley,1751,2215,14.783,14.177,0.61,2013-14,1610612745
