PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Justin Holiday,510,3471,14.540,15.071,-0.53,2015-16,1610612741
Cristiano Felicio,321,3660,14.859,15.015,-0.16,2015-16,1610612741
Doug McDermott,1860,2121,14.796,15.190,-0.39,2015-16,1610612741
Kirk Hinrich,555,3426,15.453,14.931,0.52,2015-16,1610612741
Pau Gasol,2292,1689,15.030,14.965,0.07,2015-16,1610612741
Derrick Rose,2098,1883,14.828,15.199,-0.37,2015-16,1610612741
Jimmy Butler,2474,1507,15.157,14.752,0.40,2015-16,1610612741
Nikola Mirotic,1646,2335,14.773,15.167,-0.39,2015-16,1610612741
Cameron Bairstow,103,3878,13.163,15.055,-1.89,2015-16,1610612741
Mike Dunleavy,703,3278,15.386,14.921,0.47,2015-16,1610612741
Bobby Portis,1102,2879,15.285,14.896,0.39,2015-16,1610612741
Joakim Noah,635,3346,14.973,15.008,-0.04,2015-16,1610612741
E'Twaun Moore,1263,2718,14.918,15.042,-0.12,2015-16,1610612741
Aaron Brooks,1108,2873,15.255,14.907,0.35,2015-16,1610612741
Tony Snell,1301,2680,14.748,15.127,-0.38,2015-16,1610612741
Taj Gibson,1936,2045,15.290,14.742,0.55,2015-16,1610612741
