PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Zach LaVine,1902,2059,15.212,15.281,-0.07,2014-15,1610612750
Thaddeus Young,1605,2356,15.427,15.126,0.30,2014-15,1610612750
Robbie Hummel,742,3219,15.289,15.239,0.05,2014-15,1610612750
Nikola Pekovic,815,3146,15.516,15.179,0.34,2014-15,1610612750
Jeff Adrien,215,3746,15.119,15.256,-0.14,2014-15,1610612750
Anthony Bennett,894,3067,15.209,15.259,-0.05,2014-15,1610612750
Arinze Onuaku,68,3893,14.128,15.267,-1.14,2014-15,1610612750
Miroslav Raduljica,23,3938,15.200,15.248,-0.05,2014-15,1610612750
Adreian Payne,720,3241,15.672,15.157,0.52,2014-15,1610612750
Lorenzo Brown,549,3412,15.125,15.267,-0.14,2014-15,1610612750
Kevin Martin,1303,2658,15.099,15.322,-0.22,2014-15,1610612750
Ricky Rubio,692,3269,14.749,15.356,-0.61,2014-15,1610612750
Gary Neal,262,3699,15.035,15.263,-0.23,2014-15,1610612750
Troy Daniels,154,3807,15.545,15.236,0.31,2014-15,1610612750
Shabazz Muhammad,866,3095,15.230,15.253,-0.02,2014-15,1610612750
Chase Budinger,1286,2675,14.889,15.422,-0.53,2014-15,1610612750
Andrew Wiggins,2969,992,15.377,14.872,0.51,2014-15,1610612750
Sean Kilpatrick,72,3889,14.254,15.266,-1.01,2014-15,1610612750
Glenn Robinson III,108,3853,13.954,15.285,-1.33,2014-15,1610612750
Kevin Garnett,98,3863,13.820,15.286,-1.47,2014-15,1610612750
Ronny Turiaf,19,3942,13.325,15.258,-1.93,2014-15,1610612750
Corey Brewer,680,3281,14.961,15.310,-0.35,2014-15,1610612750
Justin Hamilton,423,3538,14.808,15.301,-0.49,2014-15,1610612750
Gorgui Dieng,2193,1768,15.513,14.922,0.59,2014-15,1610612750
Mo Williams,1149,2812,15.516,15.138,0.38,2014-15,1610612750
