PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
P.J. Tucker,959,2502,14.705,14.192,0.51,2020-21,1610612745
Danuel House Jr.,932,2529,14.725,14.189,0.54,2020-21,1610612745
Christian Wood,1326,2135,14.361,14.315,0.05,2020-21,1610612745
David Nwaba,679,2782,14.004,14.413,-0.41,2020-21,1610612745
James Harden,290,3171,14.579,14.310,0.27,2020-21,1610612745
Sterling Brown,1229,2232,14.421,14.285,0.14,2020-21,1610612745
Jae'Sean Tate,2043,1418,14.291,14.392,-0.10,2020-21,1610612745
Brodric Thomas,24,3437,13.804,14.336,-0.53,2020-21,1610612745
Bruno Caboclo,36,3425,13.256,14.344,-1.09,2020-21,1610612745
John Wall,1288,2173,14.503,14.234,0.27,2020-21,1610612745
Kenyon Martin Jr.,1068,2393,14.358,14.321,0.04,2020-21,1610612745
Victor Oladipo,669,2792,14.257,14.351,-0.09,2020-21,1610612745
Dante Exum,0,3461,0.000,14.333,-14.33,2020-21,1610612745
Rodions Kurucs,75,3386,12.760,14.371,-1.61,2020-21,1610612745
Kevin Porter Jr.,835,2626,14.438,14.299,0.14,2020-21,1610612745
Ray Spalding,19,3442,12.628,14.343,-1.71,2020-21,1610612745
Justin Patton,247,3214,14.348,14.332,0.02,2020-21,1610612745
Chris Clemons,0,3461,0.000,14.333,-14.33,2020-21,1610612745
Eric Gordon,789,2672,14.220,14.366,-0.14,2020-21,1610612745
Ben McLemore,537,2924,13.933,14.409,-0.48,2020-21,1610612745
DeMarcus Cousins,506,2955,14.704,14.269,0.44,2020-21,1610612745
Mason Jones,307,3154,14.231,14.343,-0.11,2020-21,1610612745
Anthony Lamb,415,3046,14.157,14.357,-0.20,2020-21,1610612745
D.J. Augustin,416,3045,14.950,14.250,0.70,2020-21,1610612745
Kelly Olynyk,840,2621,14.068,14.419,-0.35,2020-21,1610612745
Avery Bradley,391,3070,14.319,14.334,-0.01,2020-21,1610612745
DaQuan Jeffries,261,3200,13.413,14.410,-1.00,2020-21,1610612745
Armoni Brooks,520,2941,14.184,14.359,-0.17,2020-21,1610612745
D.J. Wilson,328,3133,14.614,14.304,0.31,2020-21,1610612745
Cameron Reynolds,34,3427,14.423,14.332,0.09,2020-21,1610612745
Cameron Oliver,87,3374,13.848,14.345,-0.50,2020-21,1610612745
Khyri Thomas,153,3308,13.003,14.397,-1.39,2020-21,1610612745
